Date,Open,High,Low,Close
2021-12-31,994.42,1000.0,994.42,1000.0
2022-01-03,1003.86,1011.44,1003.86,1011.44
2022-01-04,1017.6,1018.41,1017.6,1018.41
2022-01-05,1017.12,1021.63,1017.12,1021.63
2022-01-06,1013.66,1015.1,1013.66,1015.1
2022-01-07,1022.03,1022.03,1008.87,1008.87
2022-01-10,1009.01,1024.15,1009.01,1024.15
2022-01-11,1021.11,1043.79,1021.11,1043.79
2022-01-12,1051.15,1052.88,1051.15,1052.88
2022-01-13,1052.28,1062.49,1052.28,1062.49
2022-01-14,1059.05,1076.03,1059.05,1076.03
2022-01-17,1078.01,1078.01,1072.48,1072.48
2022-01-18,1074.71,1074.71,1051.54,1051.54
2022-01-19,1050.73,1050.73,1037.92,1037.92
2022-01-20,1037.73,1037.73,1030.37,1030.37
2022-01-21,1026.7,1026.7,1006.56,1006.56
2022-01-24,1007.03,1007.03,971.83,971.83
2022-01-25,964.94,978.89,964.94,978.89
2022-01-27,966.18,967.25,966.18,967.25
2022-01-28,972.03,972.03,970.89,970.89
2022-01-31,983.86,983.86,983.42,983.42
2022-02-01,992.23,1007.54,992.23,1007.54
2022-02-02,1001.22,1018.19,1001.22,1018.19
2022-02-03,1019.17,1019.17,1009.89,1009.89
2022-02-04,1012.23,1012.23,1001.23,1001.23
2022-02-07,1002.63,1002.63,1000.33,1000.33
2022-02-08,1003.52,1003.52,999.88,999.88
2022-02-09,1005.31,1016.66,1005.31,1016.66
2022-02-10,1022.03,1022.03,1012.7,1012.7
2022-02-11,1003.23,1006.41,1003.23,1006.41
2022-02-14,988.28,988.28,955.31,955.31
2022-02-15,962.56,986.91,962.56,986.91
2022-02-16,990.97,998.91,990.97,998.91
2022-02-17,1001.76,1001.76,992.57,992.57
2022-02-18,987.48,987.48,982.26,982.26
2022-02-21,974.36,974.36,964.3,964.3
2022-02-22,939.4,950.12,939.4,950.12
2022-02-23,957.74,957.74,954.55,954.55
2022-02-24,922.05,922.05,884.24,884.24
2022-02-25,908.53,932.57,908.53,932.57
2022-02-28,921.94,942.21,921.94,942.21
2022-03-02,935.39,939.08,935.39,939.08
2022-03-03,947.67,947.67,931.38,931.38
2022-03-04,923.73,923.73,916.78,916.78
2022-03-07,901.16,901.16,890.07,890.07
2022-03-08,889.88,900.1,889.88,900.1
2022-03-09,911.96,937.41,911.96,937.41
2022-03-10,959.56,959.56,952.66,952.66
2022-03-11,950.29,957.82,950.29,957.82
2022-03-14,956.38,960.12,956.38,960.12
2022-03-15,965.79,965.79,946.95,946.95
2022-03-16,956.04,963.04,956.04,963.04
2022-03-17,973.86,973.86,972.09,972.09
2022-03-21,974.01,974.01,959.41,959.41
2022-03-22,958.74,965.0,958.74,965.0
2022-03-23,972.53,972.53,959.43,959.43
2022-03-24,956.57,964.06,956.57,964.06
2022-03-25,968.19,990.77,968.19,990.77
2022-03-28,992.9,992.9,980.93,980.93
2022-03-29,987.29,997.33,987.29,997.33
2022-03-30,1006.54,1006.54,1006.27,1006.27
2022-03-31,1008.6,1016.62,1008.6,1016.62
2022-04-01,1017.72,1031.61,1017.72,1031.61
2022-04-04,1036.1,1052.54,1036.1,1052.54
2022-04-05,1066.0,1070.43,1066.0,1070.43
2022-04-06,1071.62,1084.54,1071.62,1084.54
2022-04-07,1087.47,1087.47,1056.05,1056.05
2022-04-08,1063.29,1076.8,1063.29,1076.8
2022-04-11,1077.28,1083.52,1077.28,1083.52
2022-04-12,1082.74,1082.74,1067.08,1067.08
2022-04-13,1073.39,1073.39,1058.46,1058.46
2022-04-18,1051.04,1055.9,1051.04,1055.9
