Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,13.23,13.65,13.08,13.34,669130,669130
2021-10-01,13.06,13.46,12.76,13.17,702570,670175
2021-10-04,13.22,13.36,12.98,13.07,482320,664304
2021-10-05,13.3,14.35,13.14,13.51,1182110,680485
2021-10-06,13.57,14.3,13.31,13.6,993780,690276
2021-10-07,13.53,14.05,13.37,14.05,458880,683045
2021-10-08,14.03,14.53,13.52,13.73,2800660,749220
2021-10-11,14.35,14.81,14.06,14.45,1265170,765344
2021-10-12,16.1,16.53,14.17,14.64,6659650,949541
2021-10-13,17.39,17.74,15.58,16.3,3121810,1017424
2021-10-14,17.08,17.64,16.15,17.63,2471300,1062858
2021-10-18,17.36,18.28,16.58,16.86,1144230,1065401
2021-10-19,16.95,17.59,16.7,17.36,455130,1046330
2021-10-20,16.36,17.4,16.2,17.4,470420,1028332
2021-10-21,16.96,17.39,16.25,16.25,405100,1008856
2021-10-22,16.76,17.34,16.48,17.24,275770,985947
2021-10-25,17.17,18.32,16.91,16.94,1045750,987816
2021-10-26,17.36,17.71,17.11,17.71,293190,966109
2021-10-27,17.26,17.94,17.14,17.47,253620,943844
2021-10-28,16.82,17.34,16.65,17.34,335080,924820
2021-10-29,17.07,17.24,16.3,17.24,681720,917223
2021-11-01,17.21,17.54,16.75,17.07,294570,897765
2021-11-02,17.74,17.94,16.96,17.44,782290,894157
2021-11-03,17.7,18.57,17.3,18.1,749070,889623
2021-11-04,18.15,18.42,17.54,17.54,145450,866367
2021-11-08,18.11,19.12,17.97,18.34,512500,855309
2021-11-09,18.0,18.37,17.79,18.21,318200,838524
2021-11-10,18.6,18.93,18.09,18.09,494800,827783
2021-11-11,18.38,18.93,18.16,18.93,199950,808163
2021-11-12,19.66,21.13,18.44,18.56,2324390,855545
2021-11-15,19.58,20.05,19.08,19.75,740970,851965
2021-11-16,18.99,19.92,18.63,19.48,277810,834022
2021-11-17,18.62,19.44,18.46,18.99,356780,819108
2021-11-18,18.25,19.07,18.1,18.79,269810,801943
2021-11-22,18.2,18.74,17.47,18.5,795250,801734
2021-11-23,19.42,19.84,17.65,18.31,823500,802414
2021-11-24,19.37,20.15,19.25,19.83,1184050,814340
2021-11-25,19.4,19.74,19.28,19.74,208410,795405
2021-11-26,19.2,19.49,18.44,18.76,274960,779141
2021-11-29,19.08,19.54,18.0,19.01,2398260,829738
2021-11-30,18.71,19.74,18.26,19.08,560250,821317
2021-12-01,19.25,19.49,18.74,18.89,430010,809088
2021-12-02,19.37,19.93,19.02,19.34,391950,796053
2021-12-03,19.06,19.54,18.86,19.54,280600,779945
2021-12-06,18.98,19.54,18.6,19.18,716740,777970
2021-12-07,19.05,19.44,18.89,19.24,446550,767613
2021-12-08,18.68,19.2,18.56,19.19,290970,752718
2021-12-09,19.18,19.44,18.44,18.79,443350,743050
2021-12-10,20.14,20.43,18.85,19.18,1261820,759261
2021-12-13,20.47,21.03,20.33,20.62,580910,753688
2021-12-14,20.6,21.41,20.25,20.53,786540,754715
2021-12-15,21.12,21.41,20.63,20.71,503630,746868
2021-12-16,21.04,21.81,20.73,21.33,406390,736228
2021-12-17,20.16,21.28,19.94,21.28,257990,721283
2021-12-20,18.7,20.1,16.71,20.1,1734370,752942
2021-12-21,19.34,19.69,18.96,19.34,474860,744252
2021-12-22,19.53,19.85,19.18,19.85,225490,728041
2021-12-23,19.25,19.79,19.14,19.72,153800,710096
2021-12-24,19.24,19.43,19.04,19.06,67680,690020
2021-12-27,19.98,20.23,18.74,18.74,1390230,711902
2021-12-28,20.17,20.63,19.89,20.17,236730,697053
2021-12-29,20.76,20.93,19.83,20.33,1859470,733378
2021-12-30,20.29,20.85,20.17,20.85,249830,718267
2021-12-31,20.36,20.64,20.25,20.64,97210,698859
2022-01-03,21.71,22.43,20.07,20.48,1158090,713210
2022-01-04,21.56,21.81,21.14,21.61,712990,713203
2022-01-05,21.48,21.73,21.19,21.62,400740,703439
2022-01-06,21.26,22.63,20.99,21.43,886770,709168
2022-01-07,21.48,22.31,21.33,21.4,362800,698344
2022-01-10,21.58,21.74,21.03,21.67,348850,687422
2022-01-11,21.01,22.23,20.47,21.58,703890,687937
2022-01-12,21.2,21.26,20.73,21.01,235650,673803
2022-01-13,21.75,21.93,20.65,20.87,1477660,698923
2022-01-14,21.68,22.3,21.53,21.9,512890,693110
2022-01-17,21.02,22.22,20.94,22.22,299770,680818
2022-01-18,21.26,21.72,20.68,21.2,522390,675867
2022-01-19,21.02,21.72,20.78,21.72,251810,662615
2022-01-20,21.1,21.23,20.39,21.19,259670,650023
2022-01-21,20.68,21.03,20.19,21.01,334050,640149
2022-01-24,20.19,20.68,18.86,20.68,788530,644786
2022-01-25,20.47,20.74,19.07,19.34,859940,651509
2022-01-27,20.15,20.62,19.6,20.62,93140,634060
2022-01-28,19.77,20.88,19.27,20.31,200590,620514
2022-01-31,19.74,20.63,19.64,20.01,114110,604689
2022-02-01,19.43,19.92,19.31,19.75,508480,601683
2022-02-02,19.68,19.89,19.27,19.27,461160,597291
2022-02-03,20.06,20.53,19.85,20.53,217290,585416
2022-02-04,19.96,20.52,19.52,20.52,107050,570467
2022-02-07,19.69,20.16,19.52,20.13,1213770,590570
2022-02-08,18.98,20.31,18.25,20.31,421860,585298
2022-02-09,18.89,19.13,18.14,18.56,236050,574384
2022-02-10,18.89,19.13,18.64,18.88,94760,559396
2022-02-11,20.45,20.73,18.44,18.79,779500,566274
2022-02-14,20.17,20.42,18.88,20.23,222420,555529
2022-02-15,23.08,23.88,19.76,20.53,2743150,623892
2022-02-16,23.36,25.81,22.73,23.94,4201020,735677
2022-02-17,25.24,25.57,20.6,23.62,2801450,800233
2022-02-18,24.5,25.71,23.92,24.92,1168140,811730
2022-02-21,24.62,25.12,23.92,24.81,654570,806818
2022-02-22,23.64,24.62,22.72,24.22,614500,800808
2022-02-23,23.77,24.71,23.44,23.72,357340,786950
2022-02-24,23.27,23.72,21.29,22.26,635280,782210
2022-02-25,22.79,24.45,22.46,24.45,299230,767117
2022-02-28,23.05,23.42,21.66,22.06,262510,751348
