Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,721.31,739.49,719.45,729.03,4356469,4356469
2021-10-01,718.43,721.65,705.77,719.31,4008108,4345582
2021-10-04,727.47,730.69,719.5,722.24,3414151,4316475
2021-10-05,727.22,736.85,725.32,727.42,3270764,4283796
2021-10-06,707.72,732.16,705.62,730.89,3615568,4262914
2021-10-07,719.6,722.19,710.22,713.59,3237419,4230868
2021-10-08,723.27,730.21,717.01,723.07,2878232,4188598
2021-10-11,720.87,729.23,719.94,727.18,2118247,4123899
2021-10-12,720.33,724.29,712.46,721.07,2152513,4062293
2021-10-13,741.94,747.41,722.48,723.95,9083125,4219194
2021-10-14,794.53,799.32,747.07,748.88,19754735,4704680
2021-10-18,792.33,811.24,788.86,802.44,8883845,4835279
2021-10-19,774.44,801.56,767.35,796.68,5543852,4857422
2021-10-20,777.03,784.85,760.02,774.19,5467049,4876473
2021-10-21,761.83,784.85,757.87,781.04,4607499,4868067
2021-10-22,744.67,769.6,736.95,762.76,3860760,4836589
2021-10-25,735.14,748.34,721.95,747.8,2973109,4778355
2021-10-26,733.04,741.5,723.41,735.09,3093933,4725717
2021-10-27,729.08,739.54,726.93,736.71,3246881,4679503
2021-10-28,672.63,717.99,665.84,708.07,18160551,5100786
2021-10-29,677.42,693.65,671.55,681.33,7612968,5179292
2021-11-01,688.56,691.11,674.49,689.15,3233662,5118491
2021-11-02,686.56,698.93,684.9,691.11,3028354,5053174
2021-11-03,693.26,703.62,686.22,686.22,3036191,4990143
2021-11-04,697.65,700.34,696.97,696.97,453287,4848366
2021-11-08,714.03,718.57,693.16,700.88,3227351,4797710
2021-11-09,720.77,727.76,711.44,714.57,3456614,4755800
2021-11-10,721.31,728.3,713.69,719.84,2751881,4693178
2021-11-11,718.57,724.88,712.12,718.43,2325810,4619198
2021-11-12,733.43,738.51,717.74,721.11,4585484,4618144
2021-11-15,732.94,739.49,723.9,736.95,2434426,4549903
2021-11-16,729.67,744.58,726.74,735.78,3378779,4513305
2021-11-17,719.01,728.25,716.52,727.66,2444025,4448640
2021-11-18,709.73,724.63,700.05,722.83,2202581,4378451
2021-11-22,698.93,716.91,688.17,708.7,3557560,4352798
2021-11-23,712.85,717.11,689.35,697.95,3487221,4325749
2021-11-24,745.9,754.99,715.54,719.11,11647665,4554559
2021-11-25,745.31,756.89,738.51,747.61,6140941,4604133
2021-11-26,701.03,748.78,697.21,733.14,7219931,4685877
2021-11-29,686.8,698.93,667.3,691.11,5930351,4724766
2021-11-30,668.48,696.63,664.42,688.17,6190734,4770578
2021-12-01,692.03,695.06,667.4,679.38,5582125,4795939
2021-12-02,722.48,725.61,686.51,694.04,8478638,4911023
2021-12-03,720.87,729.72,717.5,722.39,5578503,4931882
2021-12-06,707.19,727.76,705.28,722.39,3537411,4888305
2021-12-07,727.96,733.09,709.48,712.61,3993342,4860337
2021-12-08,744.28,747.21,731.38,734.31,4621331,4852868
2021-12-09,752.44,758.36,742.91,749.46,4687479,4847700
2021-12-10,750.44,777.08,745.85,751.56,10049545,5010257
2021-12-13,741.4,761.29,733.24,757.58,4985928,5009497
2021-12-14,746.53,748.78,733.63,738.91,2919015,4944169
2021-12-15,728.74,749.41,726.25,746.53,4673906,4935724
2021-12-16,728.4,739.44,722.73,735.09,3303620,4884720
2021-12-17,707.67,727.76,704.99,727.76,4973404,4887492
2021-12-20,685.92,700.88,670.09,700.88,4559002,4877226
2021-12-21,709.29,711.63,685.92,694.04,6943546,4941799
2021-12-22,706.6,713.49,701.12,710.66,3626585,4900698
2021-12-23,714.86,730.69,712.46,716.33,6641505,4955099
2021-12-24,706.16,718.38,697.36,716.03,3946754,4923588
2021-12-27,706.94,710.07,696.97,700.88,2663285,4852953
2021-12-28,712.85,722.29,708.9,710.75,3604123,4813927
2021-12-29,706.5,717.69,703.91,712.61,2396416,4738380
2021-12-30,707.97,709.68,700.34,706.65,3654532,4704510
2021-12-31,713.88,718.48,708.7,708.7,2538092,4636809
2022-01-03,720.04,722.04,714.08,715.54,2377227,4566197
2022-01-04,722.63,730.21,716.18,726.3,4068551,4550646
2022-01-05,737.93,741.74,717.55,722.39,5409002,4577469
2022-01-06,723.17,732.06,713.69,732.06,5440633,4604443
2022-01-07,719.55,730.89,714.08,727.96,2590751,4541515
2022-01-10,722.24,726.3,717.6,720.53,2173107,4467503
2022-01-11,747.9,751.61,712.12,722.04,8959781,4607886
