Date,Close,High,Low,Open,Volume,EMA_63_Volume
2025-06-02,242.0,242.0,220.0,220.0,27206468,27206468
2025-06-03,255.31,264.9,236.06,249.0,14051020,26795360
2025-06-04,266.46,268.5,250.45,258.49,5617178,26133542
2025-06-05,260.17,266.24,254.05,266.0,2138915,25383709
2025-06-06,256.99,259.0,252.07,258.0,1691722,24643335
2025-06-09,258.08,262.0,253.0,257.1,2123712,23939597
2025-06-10,254.18,265.5,248.57,264.0,1436592,23236378
2025-06-11,251.73,255.14,239.91,254.5,1951880,22571237
2025-06-12,240.97,251.58,238.49,248.0,1172229,21902518
2025-06-13,235.7,239.53,230.0,233.0,1441586,21263114
2025-06-16,235.03,237.99,227.63,234.81,967118,20628864
2025-06-17,238.69,241.73,234.91,239.7,525867,20000645
2025-06-18,246.66,247.8,237.0,239.35,1088994,19409656
2025-06-19,246.8,251.3,240.41,246.66,814675,18828563
2025-06-20,245.13,246.74,241.02,241.02,2595060,18321266
2025-06-23,245.66,246.99,238.56,242.0,1576791,17798001
2025-06-24,252.26,255.5,244.0,246.09,933748,17270993
2025-06-25,250.06,253.03,249.21,251.99,780274,16755658
2025-06-26,252.22,263.5,250.46,254.0,3713455,16348089
2025-06-27,254.8,257.81,252.46,252.99,1307013,15878056
2025-06-30,245.37,253.09,243.97,252.05,3169116,15480901
2025-07-01,244.03,251.8,242.66,245.99,994302,15028195
2025-07-02,243.44,247.89,241.39,244.03,902297,14586761
2025-07-03,244.27,250.0,241.53,243.81,2148030,14198050
2025-07-04,240.48,246.17,234.43,245.0,883907,13781983
2025-07-07,249.75,252.72,238.16,240.5,1004720,13382694
2025-07-08,250.05,252.0,242.35,249.75,541627,12981411
2025-07-09,260.61,264.0,248.77,250.5,2802272,12663313
2025-07-10,261.3,266.36,255.93,260.74,2077945,12332520
2025-07-11,260.1,267.25,254.15,265.5,1478667,11993337
2025-07-14,258.3,268.0,256.0,259.39,1679118,11671018
2025-07-15,266.6,269.4,257.11,257.11,2670473,11389750
2025-07-16,278.95,282.3,263.21,271.0,3065911,11129630
2025-07-17,293.37,296.8,281.25,287.99,4781113,10931239
2025-07-18,291.05,302.0,285.77,292.0,1800958,10645918
2025-07-21,292.1,294.9,280.4,290.99,725147,10335894
2025-07-22,284.71,294.6,277.21,293.98,1289294,10053188
2025-07-23,278.27,284.45,275.3,284.45,882774,9766612
2025-07-24,268.95,278.8,267.0,278.8,536672,9478177
2025-07-25,256.87,268.79,254.25,268.0,1028912,9214137
2025-07-28,247.94,256.87,244.5,256.87,819705,8951811
2025-07-29,241.87,247.68,238.96,244.0,720603,8694586
2025-07-30,247.55,249.34,241.26,245.9,807897,8448127
2025-07-31,239.76,245.76,237.12,243.1,783052,8208593
2025-08-01,228.92,241.1,227.41,239.4,744233,7975332
2025-08-04,251.81,251.81,226.25,230.0,888106,7753856
2025-08-05,246.53,258.74,244.0,254.3,658041,7532112
2025-08-06,243.35,249.71,239.99,248.94,604106,7315612
2025-08-07,240.78,252.0,235.1,244.55,1338049,7128813
2025-08-08,246.87,249.99,234.75,242.0,1050486,6938865
2025-08-11,240.66,249.0,237.71,249.0,396695,6734422
2025-08-12,246.84,247.8,238.52,238.52,315361,6533826
2025-08-13,245.34,250.0,241.41,246.61,390354,6341843
2025-08-14,239.76,245.9,238.0,245.01,670615,6164617
2025-08-18,244.41,247.94,240.98,242.0,403953,5984596
2025-08-19,251.62,252.5,243.45,243.99,340757,5808226
2025-08-20,253.15,254.73,246.5,251.1,388175,5638850
2025-08-21,251.97,263.7,248.61,255.85,1089758,5496691
2025-08-22,253.58,255.55,249.13,253.8,174548,5330374
2025-08-25,258.87,260.74,248.6,252.31,386643,5175882
2025-08-26,255.19,260.0,243.66,257.0,587387,5032491
2025-08-28,247.87,252.77,245.51,250.25,226034,4882290
2025-08-29,247.77,250.0,244.51,249.1,639286,4749696
2025-09-01,242.87,250.79,239.67,247.1,335191,4611743
2025-09-02,243.35,248.6,242.0,243.85,224375,4474637
2025-09-03,243.98,248.0,241.35,243.0,457380,4349098
2025-09-04,241.19,246.67,240.05,245.8,613870,4232372
2025-09-05,237.05,243.64,236.0,241.5,369422,4111655
2025-09-08,246.0,249.9,234.99,235.0,336742,3993689
2025-09-09,243.46,246.5,241.31,246.0,93735,3871815
2025-09-10,249.86,254.8,240.92,246.95,713667,3773123
2025-09-11,249.71,254.4,247.52,249.03,625510,3674760
2025-09-12,247.09,253.81,246.13,249.1,357798,3571105
2025-09-15,251.19,254.5,244.66,247.0,513540,3475556
2025-09-16,248.96,252.18,247.43,250.0,1111655,3401684
2025-09-17,244.07,250.51,242.89,249.8,561669,3312934
2025-09-18,239.59,245.0,230.0,244.99,1798058,3265594
2025-09-19,242.47,245.35,238.73,239.59,692620,3185188
2025-09-22,248.97,250.8,240.25,240.25,1053345,3118568
2025-09-23,247.04,251.51,243.0,249.9,888183,3048869
2025-09-24,239.01,246.0,238.3,246.0,653749,2974021
2025-09-25,243.32,246.0,235.67,237.6,515973,2897207
2025-09-26,243.51,246.25,233.45,243.3,773260,2830834
2025-09-29,251.24,255.0,241.0,243.0,1729834,2796428
2025-09-30,260.48,262.6,249.0,253.2,846492,2735492
2025-10-01,261.35,263.7,257.75,261.95,438500,2663711
2025-10-03,283.4,286.5,259.85,261.0,3179803,2679839
2025-10-06,280.05,287.6,273.0,283.45,1132022,2631470
2025-10-07,273.05,279.55,270.9,279.55,579806,2567355
2025-10-08,264.2,270.0,261.5,270.0,561504,2504672
2025-10-09,268.7,273.0,264.2,269.0,699995,2448276
2025-10-10,276.7,282.3,266.65,269.0,970732,2402103
2025-10-13,276.65,278.7,268.6,276.0,401220,2339575
2025-10-14,276.95,284.2,274.0,275.0,564382,2284100
2025-10-15,281.3,285.75,274.0,278.35,1370362,2255546
2025-10-16,289.05,292.5,280.45,281.5,2506811,2263398
2025-10-17,279.65,289.0,273.4,289.0,978792,2223254
2025-10-20,283.55,285.95,277.05,279.95,427337,2167132
2025-10-21,284.15,286.95,283.3,285.95,37898,2100593
2025-10-23,289.2,292.0,281.75,289.0,1038377,2067399
2025-10-24,280.25,290.0,278.1,290.0,478880,2017758
2025-10-27,283.15,285.0,272.2,282.0,701701,1976631
2025-10-28,279.9,283.5,274.5,281.3,670153,1935803
2025-10-29,275.7,282.0,274.0,280.0,231523,1882545
2025-10-30,274.3,277.5,272.6,275.7,222649,1830673
2025-10-31,278.95,280.0,273.25,274.3,285445,1782384
2025-11-03,277.05,280.7,270.95,280.7,474767,1741521
2025-11-04,274.3,278.7,268.2,278.7,373228,1698762
2025-11-06,258.25,277.95,254.0,277.95,1221015,1683833
2025-11-07,260.15,263.0,251.8,259.65,587604,1649575
2025-11-10,264.05,265.7,253.7,262.5,434040,1611590
2025-11-11,271.85,275.0,257.05,264.0,688983,1582758
2025-11-12,270.65,274.45,268.2,270.5,215944,1540046
2025-11-13,272.6,274.0,266.8,271.0,226528,1498998
2025-11-14,270.85,272.8,266.85,271.0,271751,1460647
2025-11-17,266.75,270.4,265.7,268.5,221031,1421909
2025-11-18,262.3,267.0,261.0,267.0,140522,1381865
2025-11-19,261.3,266.0,259.35,262.4,325899,1348866
2025-11-20,259.4,261.7,258.5,259.85,110270,1310160
2025-11-21,260.85,268.2,253.5,261.95,976702,1299740
2025-11-24,258.4,261.1,255.8,258.6,148150,1263752
2025-11-25,254.95,259.2,254.0,258.4,94031,1227199
2025-11-26,261.7,263.5,254.8,255.1,148658,1193494
2025-11-27,264.65,266.45,259.1,262.0,400786,1168722
2025-11-28,260.55,263.4,258.05,262.1,380807,1144100
2025-12-01,272.95,284.4,271.0,278.55,5596657,1283242
2025-12-02,275.65,277.5,269.5,272.75,386520,1255219
2025-12-03,269.6,276.75,266.7,274.3,418530,1229073
2025-12-04,263.85,275.0,262.25,269.6,465665,1205216
2025-12-05,259.6,264.9,258.7,264.5,186394,1173378
2025-12-08,242.8,261.3,239.4,260.35,1081510,1170507
2025-12-09,239.65,244.05,235.35,242.8,891972,1161803
2025-12-10,242.6,245.0,238.85,239.9,734038,1148435
2025-12-11,246.7,247.5,240.85,242.2,262309,1120744
2025-12-12,249.8,256.05,244.85,248.9,727705,1108461
2025-12-15,249.45,250.2,244.45,247.05,325539,1083995
2025-12-16,254.7,259.3,243.5,250.0,530412,1066696
2025-12-17,259.15,261.75,250.0,252.55,478171,1048304
2025-12-18,260.65,264.15,251.4,256.2,431794,1029038
2025-12-19,261.15,265.9,256.5,257.65,623051,1016351
2025-12-22,256.0,264.0,255.05,263.85,293871,993774
2025-12-23,248.75,257.15,247.0,256.6,732455,985607
2025-12-24,247.2,250.2,246.0,248.8,262598,963013
2025-12-26,248.0,250.8,240.9,247.2,576207,950926
2025-12-29,247.5,248.35,241.0,246.1,637554,941133
2025-12-30,249.5,254.35,240.1,247.6,793399,936516
2025-12-31,249.35,254.9,247.5,251.5,541541,924173
2026-01-01,252.22,256.4,246.75,250.0,234577,902623
2026-01-02,248.82,252.78,247.99,251.75,260364,882553
2026-01-05,243.57,251.31,241.85,250.0,350290,865919
2026-01-06,239.59,244.06,238.55,243.57,360760,850133
2026-01-07,237.6,241.04,236.5,239.7,238513,831020
2026-01-08,236.1,243.38,235.38,237.3,485822,820232
2026-01-09,228.97,240.86,225.61,236.25,1580425,843988
2026-01-12,226.6,231.53,224.22,227.0,942961,847081
2026-01-13,230.38,231.71,226.6,226.6,191890,826607
2026-01-14,226.07,232.8,225.45,231.99,246243,808470
2026-01-15,226.07,226.07,226.07,226.07,0,783206
2026-01-16,217.62,226.1,213.62,226.0,781354,783148
2026-01-19,214.91,218.0,208.51,217.63,883100,786271
2026-01-20,204.0,214.81,200.3,214.81,593100,780235
2026-01-21,199.93,206.57,198.0,206.54,437654,769529
2026-01-22,205.41,206.5,200.3,200.64,441521,759279
2026-01-23,201.22,207.04,199.84,207.0,304743,745074
2026-01-27,220.37,221.34,201.0,201.22,8802716,996876
2026-01-28,212.63,225.0,212.0,225.0,2128478,1032238
2026-01-29,219.51,221.68,209.15,213.98,1390318,1043428
2026-01-30,226.81,234.0,211.27,217.05,8529614,1277371
2026-02-02,232.49,237.9,218.57,235.0,2381135,1311864
2026-02-03,223.55,240.0,219.05,236.29,2233629,1340669
2026-02-04,228.66,230.99,220.05,223.55,710369,1320972
2026-02-05,228.89,234.0,222.89,227.6,1294436,1320143
2026-02-06,217.81,225.29,215.0,225.0,830016,1304827
2026-02-09,218.86,220.89,214.28,218.49,508477,1279941
2026-02-10,220.4,222.74,219.0,219.0,257651,1247994
2026-02-11,219.12,222.13,217.36,222.13,211207,1215594
2026-02-12,213.01,218.95,211.68,217.55,332567,1188000
2026-02-13,214.25,217.14,204.5,212.0,674274,1171946
2026-02-16,206.94,214.1,205.76,211.37,600543,1154089
2026-02-17,219.57,222.65,206.4,207.99,2066229,1182594
2026-02-18,220.89,222.41,216.2,218.5,272036,1154139
2026-02-19,214.82,221.99,212.5,221.99,542436,1135023
2026-02-20,210.78,216.64,208.36,214.81,735804,1122548
2026-02-23,229.03,231.85,213.4,214.24,5491670,1259083
2026-02-24,227.8,230.79,222.0,225.2,991076,1250707
2026-02-25,235.69,240.01,224.52,225.0,1438355,1256571
2026-02-26,234.38,237.34,230.02,235.0,497775,1232859
2026-02-27,228.07,232.84,227.5,230.01,436751,1207981
2026-03-02,216.53,223.87,213.21,220.06,554672,1187565
2026-03-04,199.06,216.15,198.0,215.0,1142181,1186146
2026-03-05,188.8,203.99,184.2,199.0,3496317,1258339
2026-03-06,199.62,202.0,184.8,185.05,2414363,1294465
2026-03-09,192.38,200.05,189.65,198.65,923725,1282879
2026-03-10,194.1,196.85,189.1,196.85,765034,1266697
2026-03-11,193.27,199.09,191.29,194.69,529991,1243675
2026-03-12,193.47,198.0,189.0,191.51,522560,1221140
2026-03-13,192.81,195.55,191.7,193.47,339721,1193595
2026-03-16,188.95,193.74,183.01,192.25,661632,1176971
2026-03-17,191.82,194.6,189.25,189.59,378930,1152033
2026-03-18,189.28,194.19,188.05,192.0,444167,1129912
2026-03-19,176.24,186.76,171.67,185.56,809721,1119906
