Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,63.87,64.67,62.98,63.38,3312908,3312908
2021-10-01,67.76,68.24,63.2,63.85,7740700,3451276
2021-10-04,69.69,70.59,67.79,68.28,5805148,3524834
2021-10-05,70.76,75.48,68.93,69.54,12791408,3814415
2021-10-06,67.44,71.39,66.82,71.19,5238812,3858927
2021-10-07,68.0,70.24,67.53,68.0,3081800,3834642
2021-10-08,66.75,68.6,66.32,68.13,1994828,3777148
2021-10-11,66.29,68.79,65.98,66.92,2104264,3724870
2021-10-12,64.47,66.68,64.1,66.23,2557716,3688397
2021-10-13,66.7,67.63,64.97,65.02,2841972,3661946
2021-10-14,68.42,69.98,67.0,67.56,2632724,3629783
2021-10-18,66.42,69.65,66.12,69.17,2721464,3601398
2021-10-19,63.13,66.9,62.33,66.9,2969628,3581655
2021-10-20,61.18,63.14,60.65,62.19,3417424,3576523
2021-10-21,64.74,65.28,61.04,61.04,3907768,3586874
2021-10-22,64.62,66.23,63.14,65.28,2441020,3551066
2021-10-25,64.25,65.11,61.18,64.62,2325860,3512778
2021-10-26,65.03,65.41,63.45,64.08,1314816,3444092
2021-10-27,67.16,67.65,64.83,64.83,2637592,3418889
2021-10-28,62.83,67.65,62.01,67.34,3077016,3408205
2021-10-29,63.91,64.74,60.84,61.95,3475940,3410322
2021-11-01,65.03,67.52,64.44,64.44,3167804,3402743
2021-11-02,78.02,78.02,69.1,69.76,35284156,4399037
2021-11-03,80.29,83.38,77.38,79.28,31816092,5255820
2021-11-04,82.55,83.18,81.18,81.89,3902180,5213519
2021-11-08,89.02,89.73,81.66,83.08,20532288,5692231
2021-11-09,88.91,89.96,85.88,89.02,6169324,5707140
2021-11-10,87.6,94.0,86.88,87.59,7269172,5755953
2021-11-11,86.64,88.83,85.48,88.26,4004196,5701211
2021-11-12,88.53,89.04,86.64,87.09,2423644,5598787
2021-11-15,85.62,91.02,83.32,91.02,3794096,5542390
2021-11-16,88.04,88.71,85.51,86.05,1850552,5427020
2021-11-17,87.21,88.41,86.14,87.48,1342212,5299370
2021-11-18,84.13,87.83,82.23,87.47,2372940,5207919
2021-11-22,80.16,86.75,78.36,84.13,2558956,5125139
2021-11-23,84.74,85.17,78.81,80.16,1895940,5024226
2021-11-24,85.53,87.18,84.88,85.79,1177852,4904027
2021-11-25,87.19,87.8,85.56,87.12,1675344,4803131
2021-11-26,81.21,85.93,80.83,85.81,2206496,4721986
2021-11-29,75.51,80.68,72.01,79.76,2321120,4646959
2021-11-30,79.27,80.58,74.3,75.94,6455808,4703485
2021-12-01,80.29,81.17,78.57,81.06,966036,4586690
2021-12-02,80.66,81.51,79.67,81.42,1016320,4475116
2021-12-03,83.02,85.1,80.47,80.47,2329008,4408050
2021-12-06,80.99,83.76,80.28,83.08,956732,4300196
2021-12-07,81.47,83.08,80.77,81.78,540204,4182697
2021-12-08,85.32,86.39,81.68,82.13,1924216,4112119
2021-12-09,83.72,85.86,83.23,85.86,775300,4007844
2021-12-10,82.97,85.1,82.37,83.85,608040,3901600
2021-12-13,85.4,87.14,83.29,83.69,1668500,3831815
2021-12-14,86.57,87.59,84.27,84.74,1425332,3756613
2021-12-15,85.61,87.42,84.92,86.81,1488328,3685729
2021-12-16,85.28,89.16,84.73,86.38,1946244,3631370
2021-12-17,82.58,85.35,81.19,85.35,1200628,3555409
2021-12-20,79.24,82.42,77.16,81.42,1645964,3495739
2021-12-21,83.82,84.98,80.52,80.71,1080040,3420248
2021-12-22,85.98,86.17,83.08,83.98,1440500,3358381
2021-12-23,88.83,89.68,86.11,86.62,1922156,3313499
2021-12-24,89.23,94.66,88.74,90.39,7615748,3447944
2021-12-27,86.87,90.65,86.17,88.97,1555932,3388819
2021-12-28,89.05,89.77,86.65,87.38,2095632,3348407
2021-12-29,91.2,93.48,89.05,89.09,2771924,3330392
2021-12-30,90.21,92.07,88.84,91.27,670880,3247282
2021-12-31,92.58,92.94,90.27,90.27,1193044,3183087
2022-01-03,96.71,97.32,92.94,93.26,3714324,3199688
2022-01-04,94.91,97.8,93.49,97.2,1735192,3153923
2022-01-05,92.78,94.59,91.92,93.53,1166528,3091817
2022-01-06,91.16,92.22,90.4,91.41,858908,3022038
2022-01-07,88.88,93.05,88.3,91.86,1829968,2984786
2022-01-10,89.31,91.07,88.79,88.79,1112636,2926281
2022-01-11,89.26,90.32,88.1,89.35,978284,2865406
2022-01-12,89.26,90.55,88.79,89.47,1021308,2807778
2022-01-13,86.43,89.96,86.11,89.56,1764244,2775168
2022-01-14,86.55,88.16,84.74,86.4,997068,2719602
2022-01-17,85.95,87.82,85.57,87.33,861372,2661532
2022-01-18,84.87,88.04,84.3,86.15,1500884,2625262
2022-01-19,85.89,87.18,83.42,83.82,893148,2571134
2022-01-20,85.67,86.81,85.42,85.69,487620,2506024
2022-01-21,82.68,85.45,80.23,85.45,1435284,2472563
2022-01-24,75.44,81.89,75.01,80.72,2866312,2484868
2022-01-25,80.53,80.94,72.41,75.44,2198576,2475921
2022-01-27,80.3,80.71,77.47,79.52,1021120,2430459
2022-01-28,78.86,83.07,78.27,80.71,780128,2378886
2022-01-31,78.38,80.58,77.62,79.73,770976,2328639
2022-02-01,81.32,84.26,78.45,78.97,1851660,2313733
2022-02-02,81.21,83.69,80.71,82.53,527776,2257922
2022-02-03,80.34,81.66,79.65,81.66,356752,2198510
2022-02-04,83.78,84.27,80.47,80.47,1437360,2174724
2022-02-07,83.56,85.8,82.61,83.42,1458020,2152327
2022-02-08,85.28,85.63,80.83,83.77,1054124,2118008
2022-02-09,84.49,85.93,82.65,85.45,742692,2075030
2022-02-10,84.56,85.45,83.33,84.74,2702288,2094632
2022-02-11,84.97,86.3,83.37,84.5,4892876,2182077
2022-02-14,81.87,94.47,80.04,90.2,10687544,2447872
2022-02-15,80.28,83.72,79.01,81.66,3854996,2491845
2022-02-16,84.83,87.69,80.88,81.07,5109136,2573635
2022-02-17,84.92,86.64,83.89,84.91,2030856,2556674
2022-02-18,83.26,86.15,82.67,84.43,912796,2505302
2022-02-21,81.92,83.32,79.76,81.66,1282824,2467100
2022-02-22,78.29,80.15,75.6,79.35,2793460,2477299
2022-02-23,79.63,81.15,78.62,79.05,913816,2428440
2022-02-24,74.39,78.31,70.51,75.96,3025968,2447113
2022-02-25,77.78,79.2,73.59,73.59,1826312,2427712
2022-02-28,76.66,77.29,75.72,75.96,787528,2376457
2022-03-02,77.62,79.21,75.71,75.95,1112888,2336970
2022-03-03,77.23,79.16,75.97,78.76,1160276,2300198
2022-03-04,74.83,78.1,74.33,76.67,1009688,2259870
2022-03-07,71.32,73.95,68.91,73.82,2035920,2252872
2022-03-08,71.67,72.62,68.4,70.26,1775304,2237948
2022-03-09,71.16,73.04,70.74,72.4,1794848,2224101
2022-03-10,71.96,74.75,70.99,73.8,1931672,2214962
2022-03-11,75.45,76.24,71.69,71.92,2441360,2222037
2022-03-14,76.45,77.08,74.31,75.96,1920260,2212607
2022-03-15,75.46,77.86,74.9,77.62,1217756,2181518
2022-03-16,74.08,76.91,72.65,76.91,1870596,2171801
2022-03-17,77.51,78.26,75.01,75.45,3177956,2203244
2022-03-21,76.86,79.28,76.59,77.38,1216768,2172416
2022-03-22,77.09,77.62,75.72,77.62,785832,2129085
2022-03-23,78.75,80.59,77.15,77.4,1938968,2123144
2022-03-24,79.46,81.13,78.33,79.22,922856,2085635
2022-03-25,77.97,80.22,77.61,80.22,510004,2036397
2022-03-28,82.68,83.36,77.85,78.45,3817120,2092044
2022-03-29,84.57,86.1,82.89,83.12,2559548,2106654
