Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,163.39,165.67,162.39,163.67,3276,3276
2021-10-01,163.12,164.17,161.39,162.26,5605,3348
2021-10-04,163.49,167.13,162.26,167.13,12046,3620
2021-10-05,169.9,172.95,163.8,163.94,12603,3901
2021-10-06,168.26,174.68,167.49,171.5,11747,4146
2021-10-07,168.76,172.95,167.67,171.4,5555,4190
2021-10-08,166.22,171.54,165.72,171.27,5036,4216
2021-10-11,171.54,176.55,166.44,171.13,19421,4692
2021-10-12,178.91,186.33,171.13,172.82,50176,6113
2021-10-13,171.63,184.29,169.54,181.92,15713,6413
2021-10-14,167.17,175.73,166.35,170.45,6409,6413
2021-10-18,166.17,172.0,164.94,171.91,8619,6482
2021-10-19,165.67,168.4,164.76,167.49,6524,6483
2021-10-20,162.07,168.9,160.57,165.17,10721,6615
2021-10-21,162.67,167.22,159.43,162.21,11793,6777
2021-10-22,157.2,165.94,150.47,165.94,7962,6814
2021-10-25,154.88,159.21,150.2,156.66,8682,6873
2021-10-26,154.2,168.36,152.11,152.11,6505,6861
2021-10-27,154.88,158.16,153.47,153.47,6816,6860
2021-10-28,157.3,158.43,153.61,158.25,3706,6761
2021-10-29,160.57,164.3,157.48,157.48,13839,6982
2021-11-01,162.98,165.67,157.48,164.26,11757,7131
2021-11-02,168.49,170.27,162.03,162.62,26587,7739
2021-11-03,161.39,171.13,159.3,171.13,5614,7673
2021-11-04,163.85,165.49,159.84,161.39,1035,7466
2021-11-08,162.58,169.08,160.25,167.49,13304,7648
2021-11-09,158.98,164.76,157.98,164.67,20270,8042
2021-11-10,159.12,161.48,158.16,158.48,2070,7856
2021-11-11,157.98,160.85,152.93,158.52,3036,7705
2021-11-12,158.02,159.21,155.93,157.93,18781,8051
2021-11-15,148.69,158.75,146.87,158.75,12480,8190
2021-11-16,147.19,153.84,144.96,152.74,11122,8281
2021-11-17,145.6,151.11,143.82,151.11,18330,8595
2021-11-18,144.51,150.2,143.73,150.1,12259,8710
2021-11-22,135.68,145.69,133.86,145.69,10230,8757
2021-11-23,138.18,143.82,129.53,143.82,4993,8640
2021-11-24,139.04,144.1,137.82,144.1,8206,8626
2021-11-25,140.46,142.37,138.5,141.09,2429,8432
2021-11-26,127.35,140.18,122.89,139.5,19868,8790
