Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,14.1,14.85,14.05,14.85,14783,14783
2021-10-01,14.0,14.5,13.45,14.5,17567,14870
2021-10-04,13.75,14.0,13.55,14.0,18846,14994
2021-10-05,13.75,14.3,13.55,13.55,26224,15345
2021-10-06,13.65,14.0,13.15,13.2,33393,15909
2021-10-07,13.65,13.95,13.2,13.2,14428,15862
2021-10-08,13.85,14.1,13.25,14.1,29504,16289
2021-10-11,13.65,14.25,13.55,14.15,13833,16212
2021-10-12,13.05,13.9,13.0,13.8,129703,19758
2021-10-13,12.95,13.4,12.65,13.4,37982,20328
2021-10-14,13.35,13.45,13.05,13.25,40393,20955
2021-10-18,13.3,13.9,13.0,13.65,48668,21821
2021-10-19,13.05,13.55,13.0,13.55,35068,22235
2021-10-20,13.0,13.4,12.85,13.4,25032,22322
2021-10-21,12.95,13.5,12.5,13.5,33861,22683
2021-10-22,12.9,13.45,12.55,13.45,13096,22383
2021-10-25,13.0,13.4,12.75,13.4,54236,23379
2021-10-26,12.95,13.3,12.7,13.05,33684,23701
2021-10-27,13.5,13.55,12.85,13.25,50502,24538
2021-10-28,14.15,14.15,14.0,14.05,99121,26869
2021-10-29,14.85,14.85,14.15,14.85,65796,28085
2021-11-01,15.55,15.55,15.55,15.55,14612,27664
2021-11-02,16.3,16.3,16.3,16.3,39596,28037
2021-11-03,17.1,17.1,15.75,17.1,415283,40139
2021-11-04,17.95,17.95,17.9,17.9,40043,40136
2021-11-08,18.8,18.8,18.55,18.8,73241,41170
2021-11-09,19.7,19.7,19.55,19.7,36854,41035
2021-11-10,20.65,20.65,20.65,20.65,38235,40948
2021-11-11,21.65,21.65,21.65,21.65,55077,41389
2021-11-12,20.6,22.7,20.6,22.7,448868,54123
2021-11-15,19.6,20.0,19.6,19.6,51338,54036
2021-11-16,18.65,18.95,18.65,18.65,44120,53726
2021-11-17,17.75,18.25,17.75,17.8,64170,54052
2021-11-18,16.9,16.9,16.9,16.9,31787,53357
2021-11-22,17.65,17.7,16.1,16.1,100635,54834
2021-11-23,18.5,18.5,18.05,18.5,39518,54355
2021-11-24,19.4,19.4,19.4,19.4,19524,53267
2021-11-25,20.35,20.35,20.35,20.35,34845,52691
2021-11-26,21.3,21.35,19.35,21.35,186715,56879
2021-11-29,20.3,22.0,20.25,21.65,96978,58132
2021-11-30,19.3,21.0,19.3,19.4,63200,58291
2021-12-01,18.35,18.95,18.35,18.4,43335,57823
