Date,Close,High,Low,Open,Volume,EMA_63_Volume
2023-08-10,44.9,47.27,44.9,47.27,209145,209145
2023-08-11,42.69,42.69,42.69,42.69,81137,205144
2023-08-14,40.57,40.57,40.57,40.57,31863,199729
2023-08-16,38.55,38.55,38.55,38.55,27590,194350
2023-08-17,37.31,38.55,36.62,36.62,3125213,285939
2023-08-18,36.08,37.46,35.44,35.44,1125456,312174
2023-08-21,36.33,37.46,36.03,37.17,509059,318327
2023-08-22,34.5,35.49,34.5,34.8,529244,324918
2023-08-23,34.26,34.75,32.78,33.12,399218,327240
2023-08-24,35.79,35.93,34.26,34.45,568813,334789
2023-08-25,36.67,41.01,36.03,36.03,1922876,384417
2023-08-28,35.14,37.76,34.01,37.21,1190438,409605
2023-08-29,36.23,37.17,35.59,35.59,483888,411926
2023-08-30,35.24,36.72,34.55,36.23,367703,410544
2023-08-31,33.32,35.88,32.63,34.7,828051,423591
2023-09-01,32.88,34.01,32.38,33.47,707495,432463
2023-09-04,32.29,33.96,31.64,33.47,1019564,450810
2023-09-05,31.05,33.07,30.86,32.33,1228571,475115
2023-09-06,35.0,35.29,31.2,31.25,2515626,538881
2023-09-07,34.75,35.49,34.36,35.39,1689100,574825
2023-09-08,33.8,36.3,32.65,35.1,1878093,615552
2023-09-11,34.05,35.3,33.65,34.3,1318216,637511
2023-09-12,33.2,34.9,32.75,34.9,1039630,650077
2023-09-13,33.15,33.8,32.5,33.2,715646,652126
2023-09-14,33.15,33.7,32.75,33.65,701232,653660
2023-09-15,33.1,34.1,32.9,33.0,924420,662122
2023-09-18,34.75,35.55,32.7,33.2,2718743,726391
2023-09-20,35.05,35.45,34.0,34.55,1658734,755527
2023-09-21,36.6,37.45,34.8,35.1,5339885,898788
2023-09-22,36.1,37.8,35.7,37.2,3864281,991460
2023-09-25,36.4,37.2,35.5,36.1,1618168,1011044
2023-09-26,35.1,36.95,34.75,36.4,1606635,1029656
2023-09-27,34.0,35.65,33.85,35.2,984689,1028251
2023-09-28,34.0,34.75,33.8,34.3,965236,1026282
2023-09-29,34.15,35.5,33.9,34.25,2694566,1078416
2023-10-03,34.5,35.4,34.25,34.7,1807039,1101185
2023-10-04,34.1,35.0,33.55,35.0,957921,1096708
2023-10-05,36.15,36.8,34.3,34.45,4489025,1202718
2023-10-06,38.85,39.2,36.5,36.95,6982871,1383348
2023-10-09,36.9,39.5,36.75,38.25,2461660,1417045
2023-10-10,38.55,38.95,37.5,37.55,2109164,1438674
2023-10-11,40.8,42.0,38.75,39.3,4680859,1539992
2023-10-12,42.8,43.35,40.5,41.25,3626058,1605182
2023-10-13,41.75,43.25,41.45,43.25,1904876,1614547
2023-10-16,41.7,42.9,40.55,41.3,1772598,1619486
2023-10-17,43.2,44.4,41.6,42.05,2405718,1644056
2023-10-18,43.55,46.6,42.85,43.5,3824582,1712197
2023-10-19,44.65,45.25,42.75,43.6,2041352,1722483
2023-10-20,44.05,46.1,43.5,45.15,1609690,1718959
2023-10-23,40.85,45.45,40.65,44.4,2763263,1751593
2023-10-25,39.1,42.0,38.6,40.25,2784469,1783870
2023-10-26,38.55,39.4,37.25,39.0,2095301,1793603
2023-10-27,38.3,40.25,38.0,39.2,1513081,1784836
2023-10-30,38.65,39.5,37.95,38.5,1052381,1761947
2023-10-31,38.4,39.75,38.1,38.85,807386,1732117
2023-11-01,37.9,38.75,37.6,38.7,732984,1700894
2023-11-02,38.85,39.0,37.9,38.35,739181,1670841
2023-11-03,39.1,40.15,38.7,39.15,1046500,1651330
2023-11-06,46.9,46.9,39.3,40.0,5671635,1776964
2023-11-07,42.75,46.8,42.05,46.0,3879336,1842663
2023-11-08,41.4,43.85,41.0,42.6,1885000,1843986
2023-11-09,41.5,43.05,40.75,41.7,1703967,1839611
2023-11-10,41.35,42.5,41.0,41.5,819462,1807731
2023-11-13,42.6,43.9,42.05,43.85,964852,1781391
2023-11-15,45.25,46.4,42.75,43.05,2895777,1816216
2023-11-16,50.9,52.75,44.45,45.45,8977592,2040009
2023-11-17,52.6,53.95,51.3,53.05,3910690,2098468
2023-11-20,52.85,55.05,50.65,53.2,3934244,2155836
2023-11-21,53.7,55.65,52.6,53.3,2298801,2160303
2023-11-22,52.6,54.2,50.6,53.8,1088044,2126795
2023-11-23,53.4,54.4,52.85,53.45,1093136,2094493
2023-11-24,52.5,54.15,52.05,53.9,734206,2051984
2023-11-28,54.75,56.4,52.1,52.45,3506510,2097438
2023-11-29,53.2,56.0,52.65,55.9,1589787,2081574
2023-11-30,50.35,54.65,49.8,53.65,2472461,2093789
2023-12-01,50.1,52.3,49.55,51.15,1713135,2081894
2023-12-04,51.25,52.0,50.35,51.3,1299493,2057444
2023-12-05,51.75,54.3,51.0,51.15,2066927,2057740
2023-12-06,53.55,54.25,51.6,52.15,2087143,2058659
2023-12-07,52.3,54.0,52.05,53.7,1560471,2043090
2023-12-08,54.6,56.45,52.65,52.65,3114953,2076586
2023-12-11,54.75,56.95,54.1,55.0,2223531,2081178
2023-12-12,54.9,56.1,53.8,55.15,1785528,2071939
2023-12-13,53.55,55.3,53.35,55.15,1363562,2049802
2023-12-14,52.2,54.4,52.0,54.2,1298084,2026311
2023-12-15,51.85,53.8,51.5,52.7,2261181,2033651
2023-12-18,51.9,53.0,49.05,51.85,1993746,2032404
2023-12-19,51.9,53.65,51.6,52.0,2131578,2035503
