Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,56.59,56.59,56.59,56.59,0,0
2021-10-01,54.17,56.59,54.17,56.59,4800,150
2021-10-04,56.84,56.84,55.35,56.09,8400,407
2021-10-05,56.84,56.84,56.84,56.84,0,395
2021-10-06,56.84,56.84,56.84,56.84,0,382
2021-10-07,56.84,56.84,56.84,56.84,0,370
2021-10-08,59.65,59.65,59.31,59.31,4800,509
2021-10-11,59.65,59.65,59.65,59.65,0,493
2021-10-12,59.65,59.65,59.65,59.65,0,477
2021-10-13,62.27,62.27,62.27,62.27,1200,500
2021-10-14,62.27,62.27,62.27,62.27,1200,522
2021-10-18,62.27,62.27,62.27,62.27,0,505
2021-10-19,59.31,59.31,59.31,59.31,1200,527
2021-10-20,59.31,59.31,59.31,59.31,0,511
2021-10-21,59.31,59.31,59.31,59.31,7200,720
2021-10-22,59.31,59.31,59.31,59.31,0,697
2021-10-25,56.34,57.33,56.34,57.33,2400,750
2021-10-26,56.34,56.34,56.34,56.34,0,727
2021-10-27,56.34,56.34,56.34,56.34,0,704
2021-10-28,56.34,56.34,56.34,56.34,0,682
2021-10-29,59.16,59.16,59.16,59.16,1200,698
2021-11-01,57.33,57.33,57.33,57.33,2400,751
2021-11-02,55.6,60.2,55.6,60.2,2400,803
2021-11-03,55.6,55.6,55.6,55.6,0,778
2021-11-04,52.88,52.88,52.88,52.88,1200,791
2021-11-08,52.39,52.39,50.51,50.51,2400,841
2021-11-09,52.39,52.39,52.39,52.39,0,815
2021-11-10,52.39,52.39,52.39,52.39,0,790
2021-11-11,55.01,55.01,55.01,55.01,9600,1065
2021-11-12,57.73,57.73,57.73,57.73,6000,1219
2021-11-15,60.59,60.59,57.73,57.73,2400,1256
2021-11-16,63.61,63.61,61.78,61.78,7200,1442
2021-11-17,63.61,63.61,63.61,63.61,0,1397
2021-11-18,66.18,66.18,60.44,60.89,3600,1465
2021-11-22,66.18,66.18,66.18,66.18,0,1420
2021-11-23,66.18,66.18,66.18,66.18,0,1375
2021-11-24,66.18,66.18,66.18,66.18,0,1332
2021-11-25,66.18,66.18,66.18,66.18,0,1291
