Date,Close,High,Low,Open,Volume,EMA_63_Volume
2024-11-22,260.05,285.9,255.35,280.9,6737252,6737252
2024-11-25,263.75,270.85,253.0,260.0,1220081,6564840
2024-11-26,253.15,261.3,248.35,260.25,610591,6378770
2024-11-27,265.15,268.35,250.6,250.6,926033,6208372
2024-11-28,270.4,274.0,263.1,265.95,662453,6035062
2024-11-29,271.1,277.0,265.85,269.95,878299,5873913
2024-12-02,325.3,325.3,262.9,267.25,5755861,5870224
2024-12-03,319.3,341.45,295.05,329.0,4802212,5836848
2024-12-04,361.9,382.85,316.1,316.85,6062982,5843915
2024-12-05,347.7,368.0,341.2,351.0,1306989,5702136
2024-12-06,340.75,356.55,334.7,347.7,493260,5539359
2024-12-09,344.6,362.0,337.8,341.95,552110,5383507
2024-12-10,356.35,381.75,345.05,347.8,1042518,5247851
2024-12-11,357.85,371.9,355.0,357.0,489340,5099148
2024-12-12,424.1,429.4,358.5,360.0,4771978,5088924
2024-12-13,423.2,460.5,408.6,441.2,3682964,5044987
2024-12-16,403.15,425.65,399.2,410.0,647777,4907574
2024-12-17,422.45,443.45,400.3,407.45,1333265,4795877
2024-12-18,453.0,462.3,427.45,429.0,1307812,4686875
2024-12-19,498.05,498.3,433.3,444.0,1105717,4574964
2024-12-20,501.65,514.7,460.6,496.95,2253098,4502406
2024-12-23,510.85,550.7,502.3,509.4,1743530,4416191
2024-12-24,517.9,528.95,487.15,513.0,904704,4306457
2024-12-26,522.35,543.75,520.0,520.35,582871,4190095
2024-12-27,533.95,547.8,526.0,526.0,478833,4074118
2024-12-30,507.25,536.5,507.25,534.0,300212,3956183
2024-12-31,481.9,481.9,481.9,481.9,18307,3833125
2025-01-01,457.8,471.1,457.8,457.8,223057,3720310
2025-01-02,451.3,465.0,434.95,444.0,665037,3624833
2025-01-03,453.4,461.45,440.0,451.25,261161,3519718
2025-01-06,432.3,453.4,430.75,453.4,178687,3415311
2025-01-07,425.1,439.0,415.0,424.6,272415,3317095
2025-01-08,421.4,442.0,414.0,420.0,173126,3218846
2025-01-09,408.85,423.7,404.5,420.0,85267,3120922
2025-01-10,403.5,408.75,393.0,408.75,123230,3027244
2025-01-13,383.35,404.65,383.35,390.0,63137,2934616
2025-01-14,394.1,398.45,366.3,385.55,125557,2846832
2025-01-15,394.6,403.0,388.0,400.0,66711,2759954
2025-01-16,404.65,407.3,398.2,402.95,192306,2679715
2025-01-17,421.5,424.85,399.1,400.0,50922,2597565
2025-01-20,428.4,442.55,414.0,442.55,161194,2521428
2025-01-21,416.7,438.15,407.0,428.0,79621,2445122
2025-01-22,398.7,416.7,395.9,416.7,85616,2371387
2025-01-23,379.95,394.6,378.8,394.6,149544,2301955
2025-01-24,361.65,388.0,360.95,385.3,90082,2232834
2025-01-27,343.6,365.85,343.6,361.65,72875,2165335
2025-01-28,332.55,348.75,326.45,345.0,102150,2100860
2025-01-29,349.15,349.15,329.45,329.95,28541,2036100
2025-01-30,366.6,366.6,355.1,366.6,34526,1973551
2025-01-31,384.9,384.9,384.9,384.9,17725,1912431
2025-02-01,404.1,404.1,376.15,397.65,93145,1855579
2025-02-03,409.3,411.75,395.0,400.85,82672,1800175
2025-02-04,429.75,429.75,413.95,414.0,209980,1750482
2025-02-05,444.0,451.2,433.3,451.2,146566,1700359
