Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,6381.3,6491.24,6331.92,6491.24,45988,45988
2021-10-01,6295.79,6374.53,6286.27,6374.53,6568,44756
2021-10-04,6203.99,6328.54,6179.47,6298.04,15064,43828
2021-10-05,6307.11,6368.65,6207.82,6207.82,16470,42973
2021-10-06,6265.87,6403.37,6231.35,6362.77,11455,41988
2021-10-07,6443.04,6466.72,6227.43,6278.03,31752,41668
2021-10-08,6306.62,6482.41,6287.35,6482.41,19930,40989
2021-10-11,6320.4,6433.38,6261.75,6345.11,19448,40315
2021-10-12,6454.17,6467.7,6276.46,6362.77,35232,40157
2021-10-13,6373.85,6467.7,6356.1,6462.8,17231,39440
2021-10-14,6382.97,6457.89,6312.65,6457.89,7976,38457
2021-10-18,6371.45,6411.8,6336.29,6374.54,11897,37627
2021-10-19,6351.0,6408.86,6317.65,6403.96,15152,36925
2021-10-20,6118.62,6354.92,6081.36,6351.0,15505,36255
2021-10-21,6152.9,6188.69,5818.92,6120.53,46641,36580
2021-10-22,6145.79,6259.35,6055.86,6149.96,18252,36007
2021-10-25,6004.27,6135.83,5904.78,6099.94,15068,35353
2021-10-26,6115.92,6160.3,6011.19,6034.33,13092,34657
2021-10-27,6511.54,6648.93,6081.26,6115.92,72871,35851
2021-10-28,6451.62,6606.96,6384.69,6521.64,32338,35741
2021-10-29,6526.25,6609.9,6325.5,6462.8,33734,35679
2021-11-01,6863.66,6922.75,6516.74,6526.54,122987,38407
2021-11-02,6609.22,6903.33,6497.61,6902.44,32013,38207
2021-11-03,6676.39,6741.95,6524.14,6536.59,34266,38084
2021-11-04,6693.51,6767.79,6644.28,6742.89,4700,37041
2021-11-08,6939.81,7010.96,6694.54,6698.17,50718,37468
2021-11-09,6910.04,7134.58,6855.08,6865.03,30237,37242
2021-11-10,6885.77,6978.11,6850.17,6913.92,15308,36557
2021-11-11,6869.15,6910.93,6835.22,6840.37,11263,35766
2021-11-12,6812.02,6892.34,6801.14,6869.79,7356,34878
2021-11-15,6983.45,7035.28,6765.83,6765.83,20084,34416
2021-11-16,6865.52,6993.8,6855.22,6983.45,17241,33879
2021-11-17,6909.7,7006.99,6884.5,6885.14,16698,33342
2021-11-18,6740.19,6951.48,6551.06,6951.48,26301,33122
2021-11-22,6461.33,6800.21,6381.45,6800.21,18047,32651
2021-11-23,6605.83,6710.33,6385.32,6473.44,15428,32113
2021-11-24,6519.43,6705.72,6484.77,6636.38,8948,31389
2021-11-25,6671.54,6716.8,6501.93,6559.89,8322,30668
2021-11-26,6666.78,6860.96,6570.68,6663.84,15756,30202
2021-11-29,6720.43,6757.01,6367.33,6602.3,10814,29596
2021-11-30,6424.89,6776.57,6354.92,6761.91,19731,29288
2021-12-01,6351.44,6536.2,6320.65,6472.6,15672,28862
2021-12-02,6580.04,6668.74,6367.18,6394.15,21834,28643
2021-12-03,6455.98,6621.82,6441.27,6609.9,10961,28090
2021-12-06,6349.82,6474.57,6222.33,6474.57,10857,27552
2021-12-07,6322.75,6439.85,6310.89,6374.54,11725,27057
2021-12-08,6399.15,6438.28,6301.18,6322.76,22410,26912
2021-12-09,6421.02,6496.14,6381.45,6423.57,19140,26669
2021-12-10,6345.51,6456.33,6307.36,6438.28,29132,26746
2021-12-13,6389.98,6488.88,6300.98,6374.53,21346,26577
2021-12-14,6302.55,6417.69,6256.95,6384.34,15586,26234
2021-12-15,6191.49,6347.52,6183.3,6321.58,26359,26238
