Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,661.64,670.61,658.31,664.08,2088535,2088535
2021-10-01,660.89,667.56,650.23,663.52,1255262,2062495
2021-10-04,664.27,678.27,660.61,664.18,2187223,2066392
2021-10-05,666.15,673.01,658.54,667.8,1460282,2047451
2021-10-06,654.17,670.52,651.5,668.88,1340297,2025353
2021-10-07,652.86,662.58,649.29,658.54,1638029,2013249
2021-10-08,643.56,658.96,638.86,657.6,1845098,2007994
2021-10-11,645.95,662.91,644.45,651.03,1879221,2003970
2021-10-12,655.77,658.96,640.74,645.95,1230182,1979789
2021-10-13,646.94,661.97,638.81,661.97,1717145,1971582
2021-10-14,636.32,655.72,634.12,652.9,3084539,2006361
2021-10-18,643.18,652.86,636.32,643.13,1245681,1982590
2021-10-19,626.93,649.9,621.72,643.79,2130322,1987207
2021-10-20,633.46,644.4,624.96,631.49,2784461,2012121
2021-10-21,624.16,641.26,618.15,638.81,1416668,1993513
2021-10-22,638.95,643.51,617.77,639.33,3869614,2052141
2021-10-25,627.07,646.0,623.36,643.93,2117356,2054179
2021-10-26,635.53,639.89,626.6,627.07,1691659,2042850
2021-10-27,637.73,646.33,635.67,636.93,1356035,2021387
2021-10-28,619.84,641.16,615.52,636.93,1059481,1991328
2021-10-29,615.42,628.86,595.6,609.69,1321021,1970381
2021-11-01,626.65,628.34,615.14,624.58,596587,1927450
2021-11-02,631.13,642.84,628.54,631.42,749534,1890640
2021-11-03,643.4,652.23,632.83,634.34,2000086,1894060
2021-11-04,648.08,649.92,645.67,649.44,174389,1840320
2021-11-08,648.22,652.23,644.11,652.23,804641,1807955
2021-11-09,662.14,670.73,646.61,646.61,2999385,1845187
2021-11-10,665.02,670.97,655.2,660.87,1974732,1849236
2021-11-11,646.75,670.68,642.65,664.55,967435,1821679
2021-11-12,648.69,654.16,646.75,649.44,688301,1786261
2021-11-15,642.55,652.13,638.26,652.13,961049,1760473
2021-11-16,635.14,648.12,632.5,641.7,645057,1725617
2021-11-17,627.97,634.81,625.85,634.81,483272,1686793
2021-11-18,616.74,629.76,609.8,627.73,1210622,1671913
2021-11-22,592.95,619.19,584.41,617.35,1916154,1679545
2021-11-23,601.96,609.23,591.49,591.86,1934790,1687522
2021-11-24,593.85,605.36,588.32,603.0,860804,1661687
2021-11-25,587.28,595.64,583.84,595.64,1445024,1654916
2021-11-26,570.15,584.12,566.38,584.12,1596347,1653086
2021-11-29,564.72,576.52,549.24,570.15,1815662,1658166
2021-11-30,585.26,592.19,565.76,570.39,4036435,1732487
2021-12-01,595.97,599.98,582.57,590.92,2052399,1742484
2021-12-02,603.43,609.18,580.06,596.58,1653609,1739707
2021-12-03,604.89,613.39,599.23,606.02,1601872,1735400
2021-12-06,594.13,614.42,592.0,598.85,759744,1704910
2021-12-07,600.08,608.85,595.64,597.39,885700,1679310
2021-12-08,593.99,607.91,592.81,603.19,1945693,1687635
2021-12-09,603.62,605.79,591.39,598.75,920524,1663662
2021-12-10,615.6,619.57,603.38,603.38,1115715,1646539
2021-12-13,609.37,617.4,606.16,616.97,1127079,1630306
2021-12-14,605.69,613.57,601.92,607.91,574501,1597312
2021-12-15,603.71,611.17,600.22,609.09,545713,1564449
2021-12-16,609.47,613.29,603.71,606.97,501955,1531246
2021-12-17,589.98,610.74,586.67,609.8,957081,1513304
2021-12-20,574.35,583.37,560.05,582.85,2068382,1530650
2021-12-21,574.97,583.37,571.99,576.57,1051138,1515665
2021-12-22,579.97,586.86,572.98,576.0,858345,1495124
2021-12-23,587.52,591.25,580.49,580.49,954050,1478215
2021-12-24,568.5,591.67,566.85,591.58,1114790,1466858
2021-12-27,574.16,575.53,561.8,566.38,540989,1437925
2021-12-28,577.51,581.53,573.03,575.82,455357,1407220
2021-12-29,579.31,582.85,574.4,577.47,395287,1375597
2021-12-30,570.67,579.21,568.26,576.0,620247,1351992
2021-12-31,580.11,582.28,571.9,572.04,255735,1317734
2022-01-03,585.07,601.87,579.64,584.12,453839,1290737
2022-01-04,592.57,598.99,581.67,588.09,889836,1278209
2022-01-05,594.65,601.16,590.92,594.69,917088,1266924
2022-01-06,598.71,604.04,589.03,589.98,1052909,1260236
2022-01-07,600.93,605.08,594.69,602.06,792623,1245623
2022-01-10,609.18,609.8,599.46,599.46,618751,1226033
2022-01-11,610.51,614.71,600.36,600.36,1177009,1224501
2022-01-12,619.8,624.85,609.18,618.29,2059079,1250582
2022-01-13,632.31,633.4,614.52,615.46,1294997,1251970
2022-01-14,653.74,656.05,628.72,634.2,2775937,1299594
2022-01-17,649.35,657.42,647.18,653.22,1018457,1290808
2022-01-18,642.74,655.44,639.63,649.44,1340956,1292375
2022-01-19,633.59,649.63,632.17,640.01,748775,1275388
2022-01-20,623.44,632.97,615.56,630.57,628188,1255163
2022-01-21,588.65,628.54,584.31,624.85,4373737,1352618
2022-01-24,587.66,598.85,579.59,591.77,1587007,1359943
2022-01-25,586.25,594.41,572.23,580.54,885983,1345132
2022-01-27,581.62,589.27,566.9,580.58,1405220,1347009
2022-01-28,598.85,611.54,585.26,585.26,1564122,1353794
2022-01-31,610.03,614.52,602.39,607.91,1193089,1348772
2022-02-01,619.47,625.75,611.07,618.29,1158958,1342840
2022-02-02,628.51,630.21,617.77,620.56,1028191,1333008
2022-02-03,625.44,628.51,620.28,628.51,818006,1316914
2022-02-04,608.64,627.19,607.03,624.54,739708,1298876
2022-02-07,595.72,612.47,593.4,602.77,437862,1271969
2022-02-08,582.52,598.89,580.11,596.15,1182518,1269174
2022-02-09,583.56,586.64,579.49,584.23,582303,1247709
2022-02-10,587.82,595.53,582.05,584.79,1241177,1247505
2022-02-11,578.55,585.31,575.52,577.22,653640,1228947
2022-02-14,556.74,572.44,544.77,570.55,1541957,1238728
2022-02-15,566.1,567.9,553.0,561.94,1112068,1234770
2022-02-16,568.66,575.76,561.14,565.87,1029921,1228369
2022-02-17,567.33,573.91,561.18,568.66,1067084,1223328
2022-02-18,561.7,571.4,554.37,566.81,1520502,1232615
2022-02-21,556.93,565.63,552.62,558.39,760162,1217851
2022-02-22,543.77,547.84,533.74,544.58,2185096,1248077
2022-02-23,553.76,561.94,545.52,547.18,891349,1236930
2022-02-24,528.35,544.77,526.12,539.37,1933204,1258688
2022-02-25,547.51,559.29,534.92,539.37,772903,1243507
2022-02-28,567.0,568.85,539.47,546.75,1242329,1243470
2022-03-02,568.99,575.33,557.73,563.08,575424,1222594
2022-03-03,563.64,578.55,560.99,572.02,808715,1209660
2022-03-04,548.79,562.08,546.94,558.3,740709,1195006
2022-03-07,542.73,548.6,531.9,537.39,1676862,1210064
2022-03-08,538.85,548.03,526.12,539.37,1106111,1206815
2022-03-09,562.65,564.64,539.47,540.32,700987,1191008
2022-03-10,561.04,570.6,558.53,566.1,864553,1180806
2022-03-11,564.35,569.51,549.73,557.02,1135613,1179394
2022-03-14,566.86,572.35,557.26,564.87,922125,1171354
2022-03-15,558.25,571.55,555.32,567.38,624447,1154263
2022-03-16,582.95,585.5,561.14,563.22,1442863,1163282
2022-03-17,583.0,588.58,579.78,584.79,865280,1153969
2022-03-21,581.86,594.54,577.22,586.59,1047910,1150655
2022-03-22,582.14,583.94,574.95,577.22,1045609,1147372
2022-03-23,581.91,593.31,578.5,582.52,716804,1133917
