Date,Close,High,Low,Open,Volume,EMA_63_Volume
2022-05-24,536.35,568.9,467.5,495.2,14210358,14210358
2022-05-25,510.7,544.0,500.3,543.8,3810345,13885357
2022-05-26,499.8,518.8,495.0,508.0,913963,13480001
2022-05-27,541.55,547.3,505.1,505.5,1894346,13117949
2022-05-30,521.25,541.55,511.75,535.5,898144,12736080
2022-05-31,530.25,539.0,516.7,527.0,1268888,12377731
2022-06-01,535.65,540.0,523.25,527.0,371604,12002539
2022-06-02,570.45,617.35,536.05,537.65,5643844,11803830
2022-06-03,535.65,586.85,531.0,576.2,1888694,11493982
2022-06-06,510.2,541.0,506.05,538.95,2364548,11208687
2022-06-07,511.3,520.0,500.2,514.7,1122664,10893499
2022-06-08,517.4,526.95,511.05,516.7,933745,10582256
2022-06-09,522.0,533.95,509.0,509.0,692111,10273189
2022-06-10,519.4,523.4,510.7,511.0,262592,9960358
2022-06-13,502.4,510.4,490.0,500.0,372491,9660737
2022-06-14,500.2,504.95,492.8,501.0,494431,9374290
2022-06-15,498.55,504.85,490.55,504.2,1053969,9114280
2022-06-16,492.55,506.65,488.75,505.0,255921,8837456
2022-06-17,466.55,491.15,457.8,480.0,842273,8587607
2022-06-20,469.25,479.65,456.35,465.0,1917909,8379179
2022-06-21,513.65,530.0,457.0,464.0,569427,8135124
2022-06-22,504.0,517.0,498.1,515.1,279721,7889643
2022-06-23,500.7,514.0,487.2,505.0,628786,7662741
2022-06-24,492.1,514.0,488.65,509.9,818374,7448854
2022-06-27,491.4,506.2,488.85,500.0,315410,7225934
2022-06-28,501.95,505.0,488.95,491.0,279123,7008846
2022-06-29,504.75,507.95,490.1,490.1,212296,6796454
2022-06-30,506.8,514.5,499.25,504.0,510348,6600013
2022-07-01,500.95,505.0,495.0,504.0,80202,6396269
2022-07-04,505.95,508.8,496.05,498.0,326557,6206591
2022-07-05,507.55,512.2,504.85,510.0,269200,6021047
2022-07-06,524.3,529.8,506.05,507.6,818454,5858466
2022-07-07,595.3,615.0,523.05,528.6,3777107,5793424
2022-07-08,595.25,628.7,575.5,604.0,2776856,5699156
2022-07-11,590.9,607.95,584.85,593.0,506731,5536893
2022-07-12,616.25,621.0,586.25,588.05,1042265,5396436
