Date,Close,High,Low,Open,Volume,EMA_63_Volume
2022-09-06,460.55,546.81,446.21,506.67,26837695,26837695
2022-09-07,449.85,473.0,436.3,457.96,6692726,26208164
2022-09-08,451.24,461.0,444.72,455.18,1777443,25444704
2022-09-09,428.68,456.17,422.06,456.17,1488527,24696074
2022-09-12,406.12,427.34,403.18,427.29,1848396,23982084
2022-09-13,422.95,435.16,405.42,408.36,2725630,23317819
2022-09-14,410.16,420.02,408.56,413.24,873939,22616448
2022-09-15,407.52,421.31,406.22,412.25,681335,21930976
2022-09-16,393.97,412.5,386.45,408.36,642712,21265718
2022-09-19,387.9,401.34,384.61,394.42,509436,20617084
2022-09-20,401.29,416.28,391.78,396.41,974664,20003258
2022-09-21,390.68,409.01,388.94,398.7,426519,19391485
2022-09-22,390.39,397.86,387.5,388.54,307885,18795123
2022-09-23,386.8,393.37,384.06,393.37,297626,18217076
2022-09-26,365.44,386.35,363.54,386.35,367723,17659283
2022-09-27,373.75,381.92,368.62,368.62,228650,17114576
2022-09-28,365.24,373.4,363.09,369.52,151683,16584486
2022-09-29,367.93,380.28,366.53,373.35,314609,16076052
2022-09-30,371.11,379.33,364.74,368.52,253218,15581588
2022-10-03,367.33,376.49,365.53,371.11,409371,15107457
2022-10-04,363.84,374.5,362.55,372.51,205203,14641761
2022-10-06,373.65,377.59,363.54,365.83,447338,14198185
2022-10-07,373.25,376.89,368.82,372.51,184405,13760255
2022-10-10,367.03,372.46,364.84,369.07,176765,13335771
2022-10-11,390.29,392.92,367.43,368.52,648458,12939292
2022-10-12,388.69,393.17,376.49,386.55,295696,12544180
2022-10-13,385.26,392.13,379.73,388.39,148129,12156803
2022-10-14,398.1,409.26,384.26,391.43,859279,11803756
2022-10-17,404.18,407.77,394.27,396.71,355141,11445986
2022-10-18,400.39,412.0,398.4,401.39,306611,11097881
2022-10-19,397.11,407.37,394.07,401.34,218134,10757889
2022-10-20,410.26,412.8,392.97,394.92,569142,10439490
2022-10-21,399.95,412.25,398.5,411.35,111891,10116753
2022-10-24,412.89,416.33,399.5,403.18,178157,9806172
2022-10-25,406.47,412.3,404.68,410.85,116482,9503369
2022-10-27,428.13,430.18,406.27,407.37,733962,9229325
2022-10-28,417.73,431.27,413.39,431.22,221120,8947819
2022-10-31,416.98,426.29,413.84,421.01,182737,8673910
2022-11-01,406.22,418.52,404.83,417.63,170133,8408167
2022-11-02,404.48,412.3,402.39,408.01,188453,8151301
2022-11-03,403.03,408.91,397.9,408.01,187121,7902420
2022-11-04,436.3,447.21,405.52,408.26,1087711,7689460
2022-11-07,431.97,455.77,428.33,450.2,566070,7466854
2022-11-09,419.57,437.75,416.98,432.96,236823,7240916
2022-11-10,403.58,419.57,399.4,418.32,228531,7021779
2022-11-11,392.88,412.35,390.43,408.36,293743,6811528
2022-11-14,384.16,400.2,382.47,398.4,195484,6604776
2022-11-15,379.08,387.45,378.48,387.45,143703,6402868
2022-11-16,376.49,385.01,374.0,383.41,270307,6211225
2022-11-17,369.67,380.47,361.4,378.48,275629,6025738
2022-11-18,379.48,383.41,370.71,373.5,151413,5842165
2022-11-21,383.06,390.29,375.89,382.82,254661,5667556
2022-11-22,378.13,387.25,369.67,387.25,134829,5494658
2022-11-23,380.62,383.61,374.65,382.47,146539,5327529
2022-11-24,374.25,383.76,372.26,380.28,106768,5164380
2022-11-25,369.67,378.43,368.92,378.18,104265,5006252
2022-11-28,369.42,373.35,368.52,372.51,88698,4852578
2022-11-29,368.32,376.84,365.39,371.51,138734,4705271
2022-11-30,366.33,374.3,364.69,365.63,298697,4567565
2022-12-01,364.44,370.46,362.65,368.52,339204,4435429
2022-12-02,372.91,376.39,362.6,366.53,413948,4309758
2022-12-05,372.06,377.49,369.02,377.49,112704,4178600
2022-12-06,376.99,385.45,374.7,376.34,337057,4058551
2022-12-07,378.23,383.11,373.5,376.79,269787,3940152
2022-12-08,375.74,380.47,373.5,380.47,96864,3820050
2022-12-09,373.75,383.41,371.51,383.41,114560,3704253
2022-12-12,374.7,381.47,372.16,376.49,157834,3593427
2022-12-13,374.9,377.44,371.91,373.5,118334,3484831
2022-12-14,376.64,380.38,374.3,376.49,99884,3379051
2022-12-15,376.89,382.47,374.8,378.38,121102,3277240
2022-12-16,381.97,384.41,374.25,376.29,115708,3178442
2022-12-19,405.38,412.75,378.58,381.67,579019,3097210
2022-12-20,415.24,432.02,406.42,409.36,1514690,3047757
2022-12-21,399.95,418.17,395.41,415.24,654224,2972959
2022-12-22,377.09,402.34,374.05,400.64,254310,2888001
2022-12-23,364.64,375.69,363.74,374.45,171349,2803106
2022-12-26,360.7,370.22,358.21,363.54,165871,2720692
2022-12-27,352.14,369.52,346.61,367.93,345633,2646471
2022-12-28,363.84,368.42,352.24,354.93,175335,2569248
2022-12-29,361.25,367.23,360.36,361.55,61267,2490874
2022-12-30,362.95,368.52,362.05,363.54,36936,2414188
2023-01-02,366.93,370.37,357.92,363.39,115642,2342359
2023-01-03,371.61,373.0,365.14,368.52,53082,2270819
2023-01-04,378.58,383.01,367.43,372.51,115991,2203480
2023-01-05,376.69,382.72,372.36,382.47,54907,2136337
2023-01-06,375.94,382.47,372.81,382.47,64988,2071608
2023-01-09,383.51,385.45,379.28,381.27,81818,2009427
2023-01-10,377.44,392.13,374.1,383.46,81823,1949189
2023-01-11,378.43,381.47,376.49,381.47,24068,1889029
2023-01-12,370.56,378.73,369.42,378.58,42148,1831314
2023-01-13,372.46,378.48,369.32,378.48,103275,1777313
2023-01-16,371.56,373.5,369.52,372.91,74202,1724091
2023-01-17,370.07,373.5,369.52,373.5,35221,1671313
2023-01-18,385.06,386.7,375.49,380.47,259123,1627182
2023-01-19,390.88,395.66,379.28,383.96,115155,1579932
2023-01-20,406.42,416.13,391.08,391.48,429740,1543988
2023-01-23,397.71,410.06,393.42,407.37,73546,1498037
2023-01-24,391.58,401.29,387.45,395.81,61174,1453135
2023-01-25,381.67,391.33,376.99,391.33,64653,1409745
2023-01-27,373.05,388.39,367.48,388.39,120627,1369460
2023-01-30,363.09,379.98,361.75,373.45,112623,1330184
2023-01-31,378.58,383.46,366.53,368.52,97022,1291647
2023-02-01,368.22,389.99,358.56,389.94,119377,1255014
2023-02-02,366.28,375.64,364.39,366.53,61513,1217717
2023-02-03,369.07,373.55,360.26,368.52,83215,1182264
2023-02-06,379.63,383.96,367.78,372.41,83547,1147929
2023-02-07,382.42,384.86,371.56,380.47,86826,1114769
2023-02-08,397.76,406.37,374.35,388.44,479632,1094921
2023-02-09,402.34,411.3,394.37,402.59,395104,1073052
2023-02-10,395.56,402.29,391.63,402.29,124273,1043403
2023-02-13,389.59,399.8,384.46,399.8,175872,1016292
2023-02-14,385.95,392.73,378.08,392.73,152429,989297
2023-02-15,385.41,398.3,382.72,387.45,399394,970862
2023-02-16,403.03,405.97,389.44,389.44,272551,949040
2023-02-17,417.38,423.75,403.38,403.43,318450,929334
2023-02-20,425.69,444.02,417.97,421.31,863777,927285
2023-02-21,419.82,428.08,411.65,424.3,167995,903557
2023-02-22,428.38,433.26,412.45,417.83,273069,883855
2023-02-23,427.24,436.7,418.62,430.18,269876,864668
2023-02-24,426.54,432.91,422.36,430.28,105250,840936
2023-02-27,421.01,430.82,416.63,427.69,122147,818474
2023-02-28,434.06,438.24,421.36,423.3,280546,801663
2023-03-01,435.06,440.19,430.37,439.04,146155,781179
2023-03-02,438.49,443.22,431.37,438.59,238003,764205
2023-03-03,462.3,468.12,440.24,446.21,763543,764184
2023-03-06,446.56,469.97,443.22,466.03,321324,750344
2023-03-08,429.63,446.21,428.33,444.22,171962,732270
2023-03-09,433.41,440.24,425.49,431.17,146825,713975
2023-03-10,424.9,431.22,419.92,429.13,118281,695359
2023-03-13,404.18,427.49,400.05,424.95,188249,679512
2023-03-14,406.27,416.93,396.61,408.36,173011,663684
2023-03-15,419.42,423.3,409.26,409.31,179599,648556
2023-03-16,424.95,427.29,416.88,421.01,148403,632927
2023-03-17,422.71,433.21,416.73,426.29,140583,617541
2023-03-20,422.9,425.89,418.17,423.8,95746,601235
2023-03-21,426.24,433.26,421.56,424.3,148393,587083
2023-03-22,431.02,440.38,425.1,429.08,130831,572825
2023-03-23,422.95,432.96,420.51,428.98,79852,557420
2023-03-24,414.84,424.9,412.4,423.45,61691,541928
2023-03-27,407.32,420.96,405.03,417.33,129997,529056
2023-03-28,411.35,416.73,403.38,409.36,64476,514537
2023-03-29,436.45,443.07,408.76,411.35,352448,509472
2023-03-31,428.73,447.11,426.29,440.24,211871,500172
2023-04-03,440.58,442.63,428.28,434.86,75553,486903
2023-04-05,437.25,454.13,433.31,443.12,217464,478483
2023-04-06,433.96,441.53,429.88,439.94,62758,465491
2023-04-10,428.38,437.25,426.34,437.25,82347,453518
2023-04-11,432.91,446.21,426.29,428.78,172474,444735
2023-04-12,447.66,451.19,428.38,439.24,195030,436932
2023-04-13,445.41,456.62,442.28,452.64,217963,430089
2023-04-17,450.25,454.08,433.26,443.87,106820,419987
2023-04-18,457.57,471.61,451.44,451.44,383488,418847
2023-04-19,438.99,460.9,436.25,460.55,200201,412014
2023-04-20,434.91,446.81,433.81,442.73,101805,402320
2023-04-21,436.3,438.64,429.93,438.14,68531,391889
2023-04-24,433.56,438.44,431.52,438.09,53301,381308
2023-04-25,425.0,440.93,418.42,438.19,76112,371771
2023-04-26,427.64,431.77,426.34,430.28,38711,361362
2023-04-27,433.06,435.95,424.3,429.23,72159,352325
2023-04-28,438.29,453.18,430.03,435.26,410595,354146
2023-05-02,436.95,444.52,435.35,444.52,75226,345430
2023-05-03,433.61,439.19,430.32,436.65,131005,338729
2023-05-04,435.75,445.71,432.57,435.21,223442,335126
2023-05-05,426.99,437.5,419.67,433.36,193601,330703
2023-05-08,440.43,443.12,428.38,429.23,240648,327889
2023-05-09,447.46,459.91,441.43,442.13,438715,331352
2023-05-10,485.7,488.14,448.2,448.9,1211204,358848
2023-05-11,482.96,509.21,479.13,490.04,775988,371883
2023-05-12,484.66,493.02,470.86,484.96,278631,368969
2023-05-15,482.91,489.24,477.24,486.65,103705,360680
2023-05-16,475.59,487.65,473.65,486.95,80240,351916
2023-05-17,481.02,484.01,472.8,477.09,119044,344639
2023-05-18,494.27,506.97,481.17,483.76,400653,346389
2023-05-19,492.33,502.14,478.28,497.95,222999,342533
2023-05-22,507.81,511.95,488.19,493.82,294467,341031
2023-05-23,536.4,538.74,500.0,512.94,2159261,397851
2023-05-24,561.45,589.49,537.84,542.62,2636665,467814
2023-05-25,570.21,578.73,559.81,570.11,559850,470690
2023-05-26,566.83,587.1,559.41,572.51,429143,469391
2023-05-29,564.29,572.95,547.8,570.51,392207,466979
2023-05-30,570.96,572.95,557.81,565.73,302947,461853
2023-05-31,577.88,609.56,568.02,573.5,1078078,481110
2023-06-01,564.19,597.5,552.78,581.27,654466,486528
2023-06-02,572.95,584.81,562.84,569.02,415833,484318
2023-06-05,572.01,578.68,568.27,577.49,195776,475302
2023-06-06,585.95,594.57,573.5,573.5,328462,470713
2023-06-07,617.13,623.5,591.53,591.58,787778,480621
2023-06-08,606.37,634.46,601.44,627.34,387646,477716
2023-06-09,598.65,609.51,593.62,608.46,267268,471139
2023-06-12,587.35,602.34,582.81,602.34,191075,462387
2023-06-13,578.08,594.92,574.7,589.74,256611,455957
2023-06-14,579.23,586.6,563.89,568.77,492731,457106
2023-06-15,587.3,593.37,572.7,582.61,399691,455311
2023-06-16,579.98,593.12,578.28,592.57,218808,447921
2023-06-19,579.78,584.91,575.69,580.57,159148,438897
2023-06-20,560.2,580.62,557.76,579.68,410896,438022
2023-06-21,572.75,580.97,553.18,553.78,464422,438847
2023-06-22,561.55,571.61,557.96,563.74,233776,432438
2023-06-23,567.92,582.27,543.07,557.86,605623,437850
2023-06-26,576.74,583.16,560.7,562.94,599875,442913
2023-06-27,585.3,601.64,578.68,582.07,439350,442802
2023-06-28,598.1,607.07,588.29,588.29,383001,440933
2023-06-30,643.92,652.38,604.43,606.57,1110447,461855
2023-07-03,637.84,653.28,628.58,650.24,521792,463728
2023-07-04,641.63,646.41,632.96,637.44,315129,459085
2023-07-05,648.5,665.18,630.62,641.63,551514,461973
2023-07-06,655.77,668.32,649.55,652.19,410960,460379
2023-07-07,655.27,661.75,646.96,657.27,263696,454233
2023-07-10,644.91,657.61,634.31,655.27,246007,447726
2023-07-11,651.99,659.11,648.4,652.38,200148,439989
2023-07-12,650.69,666.83,647.45,657.66,151433,430971
2023-07-13,679.43,714.98,672.4,694.22,1041072,450037
2023-07-14,682.66,688.19,674.2,685.25,221021,442880
2023-07-17,693.52,700.19,687.25,689.49,303736,438532
2023-07-18,765.83,807.26,691.23,691.23,3079854,521073
2023-07-19,758.16,791.23,752.43,771.91,824686,530561
2023-07-20,791.68,808.46,763.99,764.93,978711,544566
2023-07-21,777.68,801.59,769.91,790.63,348614,538442
2023-07-24,762.29,797.6,752.73,781.67,358909,532832
2023-07-25,761.7,781.07,755.32,768.12,312563,525948
2023-07-26,766.03,785.35,760.4,765.88,448477,523527
2023-07-27,771.81,801.64,766.98,778.68,472594,521936
2023-07-28,777.18,801.64,772.01,773.3,615839,524870
2023-07-31,780.17,791.33,777.93,783.16,334134,518910
2023-08-01,785.9,796.21,777.93,781.87,259945,510817
2023-08-02,813.19,843.62,784.85,788.44,1268194,534485
2023-08-03,780.77,824.49,768.02,821.71,518846,533996
2023-08-04,773.75,790.23,762.0,784.26,284324,526194
2023-08-07,768.57,784.31,760.5,774.84,239737,517242
2023-08-08,773.3,785.75,768.87,771.71,233129,508364
2023-08-09,651.94,795.51,618.67,777.88,2095093,557949
2023-08-10,561.65,594.72,557.76,577.68,6417693,741066
2023-08-11,561.4,577.58,551.39,575.54,1657192,769695
2023-08-14,555.22,569.77,548.8,568.77,497301,761183
2023-08-16,524.85,550.24,514.09,550.24,872238,764653
2023-08-17,508.66,536.85,506.62,524.85,881487,768304
2023-08-18,517.58,526.64,510.75,510.95,564507,761935
2023-08-21,499.1,524.8,497.21,521.91,481074,753158
2023-08-22,497.16,506.28,487.63,494.66,581219,747785
2023-08-23,503.29,510.42,500.1,501.54,523495,740776
2023-08-24,493.02,507.27,490.13,507.27,508130,733506
2023-08-25,485.54,497.95,483.05,494.91,404664,723230
2023-08-28,502.94,510.47,479.06,489.53,883262,728231
2023-08-29,497.55,512.46,496.21,506.48,425436,718768
2023-08-30,499.4,507.32,497.5,504.23,293207,705470
2023-08-31,502.69,519.94,498.7,517.44,1136015,718924
2023-09-01,505.58,510.47,503.88,508.47,429571,709882
2023-09-04,502.29,508.47,499.9,508.37,289293,696738
2023-09-05,500.45,509.22,499.5,499.8,334594,685421
2023-09-06,512.41,526.87,500.89,501.49,3679960,779001
2023-09-07,505.28,520.04,503.34,512.46,687501,776141
2023-09-08,505.88,512.46,504.48,507.47,383540,763872
2023-09-11,508.62,516.35,506.48,508.32,413344,752918
2023-09-12,486.79,510.81,482.15,509.47,524063,745767
2023-09-13,487.83,496.51,475.62,486.54,377756,734266
2023-09-14,489.58,495.01,485.79,491.37,229389,718489
2023-09-15,493.02,497.4,490.23,493.17,245568,703710
2023-09-18,487.23,495.51,483.55,493.02,229637,688895
2023-09-20,481.1,490.82,479.56,486.79,263280,675595
2023-09-21,475.27,481.95,474.27,479.56,187890,660354
2023-09-22,467.64,479.26,466.05,478.26,270212,648162
2023-09-25,448.85,470.29,447.85,468.04,675621,649020
2023-09-26,459.07,464.8,447.16,450.74,602721,647573
2023-09-27,464.75,467.39,458.77,461.11,199546,633572
2023-09-28,493.67,497.5,456.58,465.3,1235890,652395
2023-09-29,502.59,505.18,488.68,499.95,590804,650470
2023-10-03,496.41,502.89,491.42,501.44,241704,637696
2023-10-04,485.09,495.96,482.35,493.22,234795,625105
2023-10-05,498.45,502.14,487.38,488.43,277766,614251
2023-10-06,510.76,512.76,497.06,502.29,607775,614049
2023-10-09,498.55,503.09,487.53,499.6,386770,606946
2023-10-10,498.25,513.26,495.51,499.55,189685,593907
2023-10-11,492.07,504.08,490.57,504.08,166366,580546
2023-10-12,490.72,498.5,488.53,495.06,125904,566339
2023-10-13,489.53,498.5,488.03,489.28,169589,553940
2023-10-16,493.27,498.75,489.53,489.53,212434,543268
2023-10-17,493.37,502.39,491.02,497.01,175179,531765
2023-10-18,488.13,496.16,485.04,494.96,190131,521089
2023-10-19,488.78,495.01,486.14,486.19,121005,508586
2023-10-20,495.66,500.5,487.23,488.53,276289,501327
2023-10-23,503.39,511.46,483.65,498.5,881483,513207
2023-10-25,505.68,520.04,474.62,505.48,1495679,543909
2023-10-26,489.33,508.47,483.4,508.47,605494,545834
2023-10-27,488.48,498.2,486.64,488.73,175560,534263
2023-10-30,486.84,493.42,479.56,491.07,297877,526876
2023-10-31,483.3,492.52,481.7,487.53,178488,515989
2023-11-01,509.67,517.44,481.85,488.53,1069260,533278
2023-11-02,526.27,532.4,517.44,517.44,979652,547227
2023-11-03,521.43,536.79,518.94,531.7,420916,543280
2023-11-06,515.65,525.67,514.35,522.33,262683,534511
2023-11-07,511.06,518.44,509.52,516.8,197304,523974
2023-11-08,504.63,518.24,501.64,511.06,208977,514130
2023-11-09,508.57,512.46,501.74,504.63,143165,502537
2023-11-10,502.29,508.17,500.35,508.17,122134,490650
2023-11-13,504.68,512.46,503.49,510.42,118491,479020
2023-11-15,506.13,515.45,505.03,508.27,147621,468664
2023-11-16,549.2,553.34,503.74,508.87,2341710,527196
2023-11-17,560.12,566.8,551.19,553.14,1436329,555607
2023-11-20,565.75,571.78,550.94,565.2,792814,563019
2023-11-21,556.23,568.94,552.39,568.69,297237,554714
2023-11-22,563.06,569.29,553.34,559.12,362351,548702
2023-11-23,552.14,567.24,549.5,565.7,167077,536776
2023-11-24,545.16,558.32,543.62,554.63,168191,525258
2023-11-28,536.54,550.35,534.39,548.35,168997,514125
2023-11-29,550.84,561.36,538.38,540.28,409841,510866
2023-11-30,557.32,565.3,553.34,555.28,489739,510206
2023-12-01,553.98,563.26,551.74,558.72,128008,498262
2023-12-04,556.28,567.29,554.33,562.31,241110,490226
2023-12-05,547.15,561.26,544.76,556.23,160952,479936
2023-12-06,543.22,552.74,541.47,550.74,179161,470537
2023-12-07,534.99,544.66,534.39,540.47,183835,461578
2023-12-08,532.8,547.85,529.46,543.37,181107,452813
2023-12-11,533.35,537.78,528.91,533.4,173155,444074
2023-12-12,535.09,545.31,533.3,537.28,231203,437421
2023-12-13,540.77,543.37,534.39,538.28,134772,427964
2023-12-14,548.4,552.34,537.43,543.37,263553,422826
2023-12-15,542.57,557.22,538.98,550.35,361577,420912
2023-12-18,540.13,548.35,521.08,548.35,362851,419097
2023-12-19,553.24,554.43,533.4,543.37,408904,418779
2023-12-20,540.42,559.52,523.68,556.33,492563,421084
