Date,Close,High,Low,Open,Volume,EMA_63_Volume
2024-09-04,439.52,452.27,376.89,386.81,32762919,32762919
2024-09-05,470.57,485.0,448.65,450.34,11296661,32092098
2024-09-06,435.36,476.82,419.54,474.78,3796661,31207866
2024-09-09,477.96,493.33,408.68,436.1,7791301,30476098
2024-09-10,488.17,520.36,470.17,495.91,6591929,29729718
2024-09-11,478.25,496.55,471.41,488.37,2569103,28880948
2024-09-12,498.79,504.24,462.53,476.57,2431929,28054416
2024-09-13,492.04,501.76,483.51,500.87,1533976,27225653
2024-09-16,490.7,496.9,475.08,493.08,1308694,26415748
2024-09-17,585.02,588.84,495.91,495.91,9639643,25891494
2024-09-18,554.18,582.15,541.93,578.23,2608417,25163898
2024-09-19,496.65,563.35,486.19,548.48,2601754,24458831
2024-09-20,502.5,515.75,488.02,502.75,1739872,23748864
2024-09-23,508.16,522.04,496.01,507.17,1124826,23041863
2024-09-24,495.12,507.71,489.96,507.71,585324,22340096
2024-09-25,481.97,487.68,470.17,472.45,1020097,21673846
2024-09-26,471.46,485.84,467.25,482.02,470282,21011234
2024-09-27,456.53,473.2,450.14,470.82,624854,20374160
2024-09-30,448.95,459.71,436.45,455.24,988302,19768352
2024-10-01,466.8,475.97,449.0,452.67,600590,19169359
2024-10-03,471.31,476.37,453.26,456.24,611338,18589421
2024-10-04,471.76,479.59,460.35,466.15,423023,18021721
2024-10-07,463.92,477.96,448.85,471.11,460286,17472926
2024-10-08,462.34,471.11,454.95,454.95,570022,16944711
2024-10-09,486.09,490.75,462.34,462.34,410707,16428023
2024-10-10,475.63,489.46,473.1,489.16,156039,15919523
2024-10-11,467.54,475.08,463.72,473.99,120926,15425817
2024-10-14,460.95,472.5,456.34,470.12,84564,14946403
2024-10-15,454.55,465.71,451.28,463.13,102669,14482536
2024-10-16,447.41,455.69,444.33,451.28,114956,14033549
2024-10-17,441.71,451.72,431.94,445.33,249892,13602810
2024-10-18,441.71,446.32,429.51,441.36,115205,13181322
2024-10-21,430.4,445.23,425.99,440.76,143601,12773894
2024-10-22,394.0,435.21,391.32,430.4,306645,12384292
2024-10-23,422.27,439.57,389.14,396.73,481218,12012321
2024-10-24,389.88,422.27,386.81,422.27,356567,11648079
2024-10-25,368.21,394.64,364.99,389.88,504291,11299835
2024-10-28,366.77,374.61,354.92,374.61,314815,10956553
2024-10-29,372.08,374.91,365.14,366.68,172518,10619552
2024-10-30,393.5,401.09,368.36,370.84,368967,10299221
2024-10-31,395.74,401.64,390.83,395.19,110478,9980823
2024-11-01,399.31,402.63,395.74,401.29,24661,9669693
2024-11-04,388.05,400.69,381.21,400.35,114862,9371105
2024-11-05,390.18,395.69,383.88,383.88,53807,9079939
2024-11-06,429.56,432.93,392.36,393.65,519209,8812416
2024-11-07,413.24,431.14,408.93,424.5,212591,8543672
2024-11-08,408.08,415.42,400.79,415.32,106711,8280017
2024-11-11,402.48,429.95,399.5,408.53,396512,8033657
2024-11-12,379.07,401.49,374.16,394.74,203045,7788950
2024-11-13,348.87,376.35,346.14,376.35,371195,7557146
2024-11-14,347.73,358.44,345.65,347.14,193780,7327040
2024-11-18,340.99,355.27,334.64,351.55,299113,7107418
2024-11-19,331.76,353.09,328.44,349.07,295828,6894555
2024-11-21,323.68,334.69,320.9,331.76,283739,6687967
2024-11-22,328.04,331.47,320.01,323.68,291021,6488063
2024-11-25,324.08,338.21,321.4,334.69,249950,6293122
2024-11-26,332.85,345.75,323.68,326.71,676989,6117618
2024-11-27,336.87,339.7,333.65,335.28,127225,5930418
2024-11-28,339.8,351.75,336.38,340.89,410147,5757909
2024-11-29,338.81,345.95,333.3,341.88,114005,5581537
2024-12-02,329.58,337.22,324.97,333.75,407282,5419842
2024-12-03,327.99,337.66,325.32,334.54,377352,5262264
2024-12-04,334.74,349.86,328.64,331.66,803823,5122938
2024-12-05,333.0,340.19,330.72,338.31,179212,4968446
2024-12-06,333.55,342.57,331.81,334.34,196044,4819309
2024-12-09,329.88,341.19,328.39,336.18,286205,4677649
2024-12-10,326.95,335.83,324.37,329.88,227709,4538589
2024-12-11,327.3,331.47,325.91,328.19,91262,4399610
2024-12-12,322.84,329.93,319.91,327.3,108848,4265523
2024-12-13,313.27,324.77,309.45,322.79,244435,4139864
2024-12-16,306.72,315.89,304.49,314.06,216020,4017244
2024-12-17,311.53,317.33,302.5,307.46,246699,3899415
2024-12-18,300.57,313.41,293.08,312.42,250052,3785372
2024-12-19,298.59,304.24,294.57,296.55,104572,3670347
2024-12-20,290.16,300.97,288.67,299.43,147010,3560243
2024-12-23,279.49,296.75,275.92,291.55,218487,3455813
2024-12-24,287.08,291.45,278.4,280.19,161425,3352863
2024-12-26,284.5,290.9,283.26,289.61,75941,3250459
2024-12-27,283.41,293.58,282.02,286.54,110793,3152345
2024-12-30,277.26,289.61,276.22,284.55,106550,3057164
2024-12-31,278.11,280.64,273.05,276.57,93889,2964561
2025-01-01,284.5,287.63,278.7,281.18,64902,2873947
2025-01-02,285.94,294.47,284.8,289.61,100156,2787266
2025-01-03,284.5,294.12,283.36,288.62,102504,2703367
2025-01-06,264.07,285.54,261.2,284.65,216543,2625654
2025-01-07,262.48,267.69,259.66,263.82,127134,2547575
2025-01-08,267.59,269.73,256.68,263.53,164010,2473089
2025-01-09,260.85,268.68,258.42,268.29,66132,2397871
2025-01-10,249.1,260.15,247.06,260.15,96175,2325943
2025-01-13,234.61,248.45,232.33,246.32,169548,2258556
2025-01-14,253.41,257.67,234.81,238.14,167141,2193199
2025-01-15,247.66,263.38,246.32,253.41,112475,2128176
2025-01-16,250.63,256.78,246.12,252.91,89380,2064464
2025-01-17,250.58,255.74,248.1,251.43,54938,2001666
2025-01-20,261.54,285.89,251.48,254.35,730466,1961941
2025-01-21,254.75,280.68,252.81,262.78,607452,1919614
2025-01-22,247.95,258.86,240.81,258.57,157266,1864540
2025-01-23,235.95,248.8,234.07,247.95,156106,1811152
2025-01-24,226.33,243.05,224.15,238.93,166865,1759768
2025-01-27,220.98,228.12,214.73,228.12,124033,1708651
2025-01-28,223.9,231.09,213.24,223.95,156152,1660135
2025-01-29,241.26,245.82,225.14,227.28,194693,1614340
2025-01-30,236.85,248.2,235.61,245.97,109793,1567323
2025-01-31,241.46,245.18,232.83,237.04,94263,1521290
2025-02-01,241.26,249.95,236.21,242.0,92156,1476629
2025-02-03,245.76,246.99,234.12,240.62,75815,1432854
2025-02-04,239.22,249.72,237.93,246.86,102605,1391284
2025-02-05,287.05,287.05,241.11,241.11,881983,1375368
2025-02-06,277.0,301.44,272.9,293.58,678565,1353593
2025-02-07,267.21,276.01,263.34,272.75,168509,1316559
2025-02-10,257.11,283.67,254.3,269.97,262762,1283628
2025-02-11,240.32,262.62,236.58,260.95,153498,1248311
2025-02-12,230.65,242.39,220.98,238.04,364953,1220706
2025-02-13,227.3,236.55,222.17,226.03,258950,1190651
2025-02-14,207.93,230.7,205.31,230.7,278652,1162151
2025-02-17,201.27,211.75,197.41,211.75,257494,1133881
2025-02-18,187.44,207.69,173.92,200.37,807995,1123697
2025-02-19,189.58,194.16,184.49,187.84,329569,1098880
2025-02-20,190.91,194.56,183.98,190.83,311418,1074272
2025-02-21,184.99,195.78,182.84,191.87,325404,1050870
2025-02-24,182.38,185.22,175.76,181.01,284995,1026936
2025-02-25,182.76,186.46,179.64,183.68,213402,1001513
2025-02-27,176.25,184.47,172.22,182.76,346537,981045
2025-02-28,177.49,181.3,169.94,173.57,246632,958095
2025-03-03,174.72,180.16,165.74,180.16,361177,939441
2025-03-04,179.67,182.45,167.61,168.61,243645,917698
2025-03-05,188.08,195.18,179.33,179.67,544241,906027
2025-03-06,190.84,197.37,186.41,191.92,505121,893499
2025-03-07,195.0,204.12,190.22,191.4,303135,875050
2025-03-10,194.37,200.74,189.53,197.37,157977,852641
2025-03-11,187.21,194.37,185.67,189.79,104738,829269
2025-03-12,184.75,190.79,184.28,189.89,73036,805637
2025-03-13,183.34,190.32,182.59,187.5,100926,783615
2025-03-17,183.35,186.46,181.36,186.25,144361,763638
2025-03-18,183.35,183.35,183.35,183.35,0,739774
2025-03-19,194.78,198.06,190.34,192.51,151244,721383
2025-03-20,197.72,204.48,194.0,197.72,354044,709903
2025-03-21,203.24,209.37,197.38,198.71,295754,696961
2025-03-24,204.51,212.66,202.83,207.69,217059,681964
2025-03-25,200.3,208.14,197.67,207.49,357838,671835
2025-03-26,191.94,202.92,190.9,200.3,328567,661108
2025-03-27,190.35,194.0,186.44,191.94,278535,649153
2025-03-28,189.48,196.64,186.47,193.4,194315,634939
2025-04-01,189.72,194.79,185.48,187.82,153371,619890
2025-04-02,193.46,197.27,185.63,190.99,319617,610507
2025-04-03,198.33,203.32,190.13,192.46,256191,599434
2025-04-04,189.83,200.35,186.46,200.25,333724,591131
2025-04-07,184.77,189.83,163.65,168.68,201984,578970
2025-04-08,190.81,194.52,187.7,191.12,138930,565219
2025-04-09,187.48,190.43,186.27,190.43,41045,548838
2025-04-11,190.76,192.81,186.48,192.81,84692,534334
2025-04-15,194.7,202.46,192.26,192.26,373379,529304
2025-04-16,199.64,201.63,194.57,197.27,192050,518765
2025-04-17,195.09,200.73,193.4,199.85,194927,508645
2025-04-21,201.04,203.7,193.42,195.09,335785,503243
