Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,9.85,10.0,9.7,10.0,77116,77116
2021-10-01,10.0,10.15,9.8,9.85,67411,76812
2021-10-04,10.15,10.25,9.95,10.0,157047,79320
2021-10-05,10.15,10.45,10.1,10.2,108545,80233
2021-10-06,9.95,10.3,9.9,10.25,137046,82008
2021-10-07,11.1,11.3,9.95,10.15,956367,109332
2021-10-08,11.65,11.9,11.05,11.3,659764,126533
2021-10-11,13.05,13.95,11.65,12.1,3034150,217396
2021-10-12,12.3,13.5,11.9,13.4,727870,233348
2021-10-13,11.65,12.75,11.45,12.5,519190,242281
2021-10-14,11.15,11.85,11.0,11.85,503666,250449
2021-10-18,11.0,11.9,10.95,11.15,421206,255785
2021-10-19,10.3,11.55,10.0,11.05,464608,262311
2021-10-20,10.0,10.7,9.5,10.3,440615,267883
2021-10-21,9.95,10.3,9.75,10.2,173819,264943
2021-10-22,10.25,10.5,9.95,10.2,125592,260589
2021-10-25,10.0,10.75,9.95,10.5,75550,254806
2021-10-26,10.15,10.4,9.9,10.15,91202,249693
2021-10-27,10.15,10.3,9.95,10.25,63814,243885
2021-10-28,9.9,10.2,9.85,10.2,168664,241534
2021-10-29,9.8,9.95,9.15,9.75,114285,237558
2021-11-01,9.85,10.1,9.65,10.1,86709,232843
2021-11-02,10.0,10.2,9.8,10.15,92308,228452
2021-11-03,9.9,10.1,9.8,10.1,68674,223459
2021-11-04,10.0,10.2,9.55,9.9,33748,217530
2021-11-08,9.85,10.2,9.75,10.1,120076,214485
2021-11-09,9.9,10.05,9.85,9.95,81589,210332
2021-11-10,9.85,10.05,9.75,10.05,73512,206056
2021-11-11,9.75,9.95,9.7,9.95,122195,203435
2021-11-12,9.85,9.95,9.7,9.7,91231,199929
2021-11-15,9.55,10.3,9.5,10.05,142195,198125
2021-11-16,9.65,9.9,9.55,9.55,151511,196668
2021-11-17,9.6,9.8,9.5,9.8,72519,192788
2021-11-18,9.35,9.9,9.15,9.9,91004,189608
2021-11-22,9.15,9.75,9.1,9.55,130533,187762
2021-11-23,9.15,9.5,9.05,9.5,153836,186701
2021-11-24,9.25,9.7,9.15,9.15,243419,188474
2021-11-25,9.25,9.6,9.15,9.4,193329,188625
2021-11-26,9.1,9.25,9.05,9.25,81274,185271
2021-11-29,8.95,9.3,8.75,9.1,76868,181883
2021-11-30,8.85,9.2,8.7,8.95,139343,180554
2021-12-01,9.15,9.15,8.85,9.0,43895,176283
2021-12-02,8.95,9.25,8.9,9.2,86295,173471
2021-12-03,9.05,9.2,8.9,9.15,110154,171492
2021-12-06,9.1,9.35,9.05,9.15,135320,170362
2021-12-07,9.1,9.4,9.05,9.4,124475,168928
2021-12-08,9.2,9.3,9.15,9.25,145242,168188
