Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,86.5,87.75,84.8,86.05,49084,49084
2021-10-01,86.4,87.75,84.3,86.5,80326,50060
2021-10-04,87.1,88.0,86.0,86.0,60797,50395
2021-10-05,91.05,92.4,86.3,87.6,158611,53777
2021-10-06,95.65,98.0,91.4,91.4,440357,65858
2021-10-07,95.55,100.5,95.05,97.0,254576,71755
2021-10-08,93.4,96.1,92.45,94.5,68536,71654
2021-10-11,91.4,95.1,89.5,94.7,111173,72889
2021-10-12,92.0,93.35,90.2,91.4,57241,72400
2021-10-13,92.3,97.0,90.0,91.05,107070,73484
2021-10-14,89.35,94.15,88.5,94.15,67419,73294
2021-10-18,90.85,95.0,89.95,91.0,161811,76060
2021-10-19,90.6,93.35,88.0,93.35,103619,76922
2021-10-20,88.55,91.15,87.05,91.0,92384,77405
2021-10-21,87.55,89.0,85.3,88.85,47828,76480
2021-10-22,86.05,89.85,85.05,86.55,59087,75937
2021-10-25,85.65,89.25,85.2,88.95,67281,75666
2021-10-26,90.0,91.0,86.55,87.3,193094,79336
2021-10-27,89.45,91.65,88.25,91.35,48612,78376
2021-10-28,85.4,89.95,84.25,89.05,55498,77661
2021-10-29,86.6,88.55,84.1,85.8,31237,76210
2021-11-01,85.8,87.9,85.55,87.9,37446,74999
2021-11-02,87.2,87.8,86.05,87.4,23836,73400
2021-11-03,85.4,87.2,85.05,86.55,37196,72269
2021-11-04,85.75,87.9,85.2,86.9,18665,70593
2021-11-08,86.45,87.9,84.1,84.1,32943,69417
2021-11-09,87.9,88.9,85.55,87.3,39778,68491
2021-11-10,90.85,92.35,87.3,88.3,98069,69415
2021-11-11,90.05,91.45,88.75,90.55,41412,68540
2021-11-12,87.95,91.5,85.8,91.0,31770,67391
2021-11-15,83.45,85.0,81.45,83.15,123117,69132
2021-11-16,83.25,85.8,82.25,82.25,55335,68701
2021-11-17,82.75,85.0,82.0,84.05,47469,68037
2021-11-18,82.2,84.5,81.55,82.2,33393,66955
2021-11-22,78.65,82.9,76.15,82.15,90242,67683
2021-11-23,80.55,81.5,76.55,77.1,20811,66218
2021-11-24,80.25,83.55,80.0,83.55,46448,65600
2021-11-25,82.15,82.95,80.0,80.2,29594,64475
