Date,Close,High,Low,Open,Volume,EMA_63_Volume
2022-03-22,63.99,63.99,60.98,60.98,111351,111351
2022-03-23,60.8,66.24,60.8,64.92,1379448,150979
2022-03-24,61.6,63.77,57.8,57.8,1485373,192678
2022-03-25,61.86,62.88,59.3,62.09,582339,204855
2022-03-28,60.58,62.26,59.65,62.26,517596,214628
2022-03-29,61.95,63.46,59.34,60.54,1306472,248748
2022-03-30,59.79,63.46,59.39,62.75,1612893,291378
2022-03-31,58.99,60.14,57.13,59.61,1771077,337619
2022-04-01,61.91,61.91,59.34,59.61,2339092,400165
2022-04-04,64.87,65.0,61.91,62.66,614508,406863
2022-04-05,67.92,76.94,66.82,70.27,2244983,464304
2022-04-06,66.2,68.1,64.92,67.79,1239969,488544
2022-04-07,68.36,69.12,66.33,67.17,671895,494273
2022-04-08,69.56,71.64,67.75,68.98,657183,499364
2022-04-11,68.54,69.87,68.06,69.56,405209,496422
2022-04-12,66.07,68.54,65.53,68.19,1186899,517999
2022-04-13,67.26,68.54,66.77,67.13,472692,516583
2022-04-18,68.28,69.69,67.83,69.43,525124,516850
2022-04-19,70.8,73.23,68.45,69.07,5223483,663932
2022-04-20,70.04,72.96,68.67,72.52,1284964,683340
2022-04-21,72.88,73.41,70.4,70.75,834905,688076
2022-04-22,72.03,73.1,70.8,73.1,483759,681691
2022-04-25,69.78,71.9,68.94,70.75,435364,673993
2022-04-26,67.48,71.37,63.06,71.37,2449194,729468
2022-04-27,66.37,68.81,64.21,68.1,2566750,786883
2022-04-28,66.51,68.01,65.36,68.01,680314,783553
2022-04-29,65.93,68.01,65.4,67.48,440409,772830
2022-05-02,65.27,66.77,64.56,66.29,263031,756899
2022-05-04,68.6,69.72,67.16,67.74,820684,758892
2022-05-05,66.89,69.81,66.26,69.27,250989,743020
2022-05-06,65.49,66.57,64.91,65.72,663956,740549
2022-05-09,65.36,66.53,63.07,64.14,1583059,766878
2022-05-10,65.0,66.17,64.23,64.77,639607,762900
2022-05-11,65.31,66.39,63.56,65.67,464671,753581
2022-05-12,64.14,65.85,63.2,65.85,259032,738126
2022-05-13,65.49,66.93,62.98,66.21,370516,726638
2022-05-16,66.12,66.57,64.1,65.49,243629,711544
2022-05-17,66.17,66.35,65.22,65.67,132480,693448
2022-05-18,66.75,67.16,65.4,67.11,263659,680017
2022-05-19,66.8,67.11,64.41,64.77,283589,667629
2022-05-20,67.56,67.92,65.81,66.8,1372003,689641
2022-05-23,70.13,70.53,66.75,68.37,1478610,714296
2022-05-24,67.2,71.03,66.48,71.03,1829315,749140
2022-05-25,66.21,70.17,64.05,70.17,848069,752232
2022-05-26,68.33,68.82,66.12,66.39,267710,737090
2022-05-27,67.43,69.27,66.66,69.27,1054166,746999
2022-05-30,67.7,68.37,67.2,67.47,587619,742018
2022-05-31,67.92,68.73,67.47,68.73,159926,723828
2022-06-01,65.67,68.37,64.77,68.37,230811,708421
2022-06-02,66.93,67.92,65.81,66.66,751022,709753
2022-06-03,65.9,67.47,65.72,66.08,131338,691677
2022-06-06,65.58,66.17,64.1,65.9,128218,674069
2022-06-07,65.18,66.21,64.37,66.21,102195,656198
2022-06-08,65.58,66.17,64.86,65.67,415930,648689
2022-06-09,64.91,66.21,64.59,64.77,849643,654969
2022-06-10,66.17,67.25,62.66,64.91,2916692,725648
2022-06-13,62.84,65.31,61.22,65.31,212464,709611
2022-06-14,63.02,64.59,61.18,61.18,723119,710033
2022-06-15,64.23,64.77,62.12,63.87,75473,690203
2022-06-16,63.69,65.22,63.02,65.22,323568,678746
2022-06-17,60.55,63.78,59.65,62.75,1046491,690238
2022-06-20,58.75,61.45,57.76,59.65,222106,675609
2022-06-21,59.38,59.96,58.88,59.38,342945,665213
2022-06-22,59.78,60.95,59.33,59.96,249007,652206
2022-06-23,60.32,60.5,59.56,59.96,83676,634440
2022-06-24,60.68,62.66,59.69,60.28,925775,643544
2022-06-27,60.91,62.35,60.28,61.18,193552,629482
2022-06-28,61.18,61.9,59.92,59.92,79685,612301
2022-06-29,60.23,61.63,59.83,61.63,521635,609467
2022-06-30,60.46,61.36,59.65,59.83,46102,591862
2022-07-01,59.6,61.36,58.93,61.36,402563,585947
2022-07-04,60.1,60.86,59.38,60.64,181829,573318
2022-07-05,61.49,61.81,60.14,60.95,400134,567906
2022-07-06,61.9,62.26,61.0,61.67,396118,562537
2022-07-07,62.89,64.14,61.81,62.84,184000,550708
2022-07-08,62.48,63.42,60.37,63.07,117006,537155
2022-07-11,62.71,62.98,62.26,62.89,45585,521793
2022-07-12,61.63,63.42,60.5,63.42,82205,508056
2022-07-13,60.59,62.53,60.28,62.53,126561,496134
2022-07-14,60.23,61.09,60.14,61.09,245526,488303
2022-07-15,60.68,61.63,59.65,59.65,265177,481330
2022-07-18,61.0,61.99,60.64,61.27,124230,470171
2022-07-19,61.18,64.32,60.86,62.48,420119,468607
