Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,0.6,0.65,0.6,0.6,132447,132447
2021-10-01,0.6,0.65,0.6,0.6,102705,131517
2021-10-04,0.6,0.65,0.55,0.55,99030,130502
2021-10-05,0.6,0.65,0.6,0.6,14365,126873
2021-10-06,0.6,0.65,0.6,0.65,90023,125721
2021-10-07,0.6,0.65,0.6,0.6,9553,122091
2021-10-08,0.65,0.65,0.6,0.65,61653,120202
2021-10-11,0.7,0.7,0.7,0.7,208586,122964
2021-10-12,0.75,0.75,0.75,0.75,10749,119457
2021-10-13,0.8,0.8,0.8,0.8,48764,117248
2021-10-14,0.85,0.85,0.85,0.85,21504,114256
2021-10-18,0.9,0.9,0.9,0.9,22526,111389
2021-10-19,0.95,0.95,0.95,0.95,76894,110311
2021-10-20,1.0,1.0,1.0,1.0,101344,110031
2021-10-21,1.05,1.05,1.05,1.05,69329,108759
2021-10-22,1.1,1.1,1.1,1.1,206482,111813
2021-10-25,1.05,1.15,1.05,1.15,538465,125146
2021-10-26,1.0,1.0,1.0,1.0,38010,122423
2021-10-27,0.95,0.95,0.95,0.95,14086,119037
2021-10-28,0.9,0.9,0.9,0.9,24300,116077
2021-10-29,0.85,0.85,0.85,0.85,17250,112988
2021-11-01,0.8,0.8,0.8,0.8,35750,110575
2021-11-02,0.75,0.8,0.75,0.8,41951,108430
2021-11-03,0.8,0.8,0.7,0.75,67137,107140
2021-11-04,0.75,0.8,0.75,0.8,1750,103846
2021-11-08,0.8,0.8,0.75,0.75,12913,101005
2021-11-09,0.85,0.85,0.75,0.75,6104,98039
2021-11-10,0.9,0.9,0.85,0.85,26318,95798
2021-11-11,0.95,0.95,0.9,0.95,61075,94713
2021-11-12,0.95,1.0,0.9,0.95,104938,95032
2021-11-15,1.0,1.0,0.9,0.95,147539,96673
2021-11-16,1.0,1.05,0.95,1.0,88882,96429
2021-11-17,0.95,1.05,0.95,1.0,49105,94951
2021-11-18,0.9,0.95,0.9,0.9,60517,93875
2021-11-22,0.85,0.9,0.85,0.9,47350,92421
2021-11-23,0.8,0.85,0.8,0.8,120134,93287
2021-11-24,0.8,0.85,0.8,0.8,203484,96730
2021-11-25,0.85,0.85,0.8,0.85,226008,100770
2021-11-26,0.8,0.85,0.8,0.85,263210,105846
2021-11-29,0.8,0.8,0.75,0.8,156289,107423
2021-11-30,0.75,0.8,0.75,0.8,55000,105785
2021-12-01,0.8,0.8,0.7,0.8,154690,107313
2021-12-02,0.75,0.85,0.75,0.85,75753,106327
2021-12-03,0.7,0.75,0.7,0.75,322426,113080
2021-12-06,0.7,0.75,0.65,0.7,148827,114197
2021-12-07,0.75,0.75,0.7,0.75,141582,115053
2021-12-08,0.75,0.8,0.7,0.7,49151,112993
2021-12-09,0.7,0.75,0.7,0.75,87168,112186
2021-12-10,0.7,0.75,0.7,0.75,305495,118227
2021-12-13,0.75,0.75,0.7,0.75,213786,121213
2021-12-14,0.8,0.8,0.7,0.8,295577,126662
2021-12-15,0.85,0.85,0.85,0.85,258119,130770
2021-12-16,0.9,0.9,0.9,0.9,892619,154578
2021-12-17,0.95,0.95,0.9,0.95,2151415,216979
2021-12-20,1.0,1.0,0.95,1.0,1475422,256305
2021-12-21,1.05,1.05,1.05,1.05,501936,263981
2021-12-22,1.1,1.1,1.1,1.1,338450,266308
2021-12-23,1.15,1.15,1.05,1.1,3036714,352883
2021-12-24,1.2,1.2,1.2,1.2,348467,352745
2021-12-27,1.25,1.25,1.25,1.25,242332,349295
2021-12-28,1.25,1.25,1.25,1.25,0,338380
2021-12-29,1.25,1.25,1.25,1.25,0,327805
2021-12-30,1.25,1.25,1.25,1.25,0,317561
2021-12-31,1.25,1.25,1.25,1.25,0,307637
2022-01-03,1.2,1.2,1.2,1.2,351882,309020
2022-01-04,1.2,1.2,1.2,1.2,0,299363
2022-01-05,1.2,1.2,1.2,1.2,0,290008
2022-01-06,1.2,1.2,1.2,1.2,0,280945
2022-01-07,1.2,1.2,1.2,1.2,0,272166
2022-01-10,1.15,1.15,1.15,1.15,160137,268665
2022-01-11,1.15,1.15,1.15,1.15,0,260269
2022-01-12,1.15,1.15,1.15,1.15,0,252136
2022-01-13,1.15,1.15,1.15,1.15,0,244256
2022-01-14,1.15,1.15,1.15,1.15,0,236623
2022-01-17,1.1,1.1,1.1,1.1,93262,232143
2022-01-18,1.1,1.1,1.1,1.1,0,224889
2022-01-19,1.1,1.1,1.1,1.1,0,217861
2022-01-20,1.1,1.1,1.1,1.1,0,211053
2022-01-21,1.1,1.1,1.1,1.1,0,204457
2022-01-24,1.05,1.05,1.05,1.05,15660,198557
2022-01-25,1.05,1.05,1.05,1.05,0,192353
2022-01-27,1.05,1.05,1.05,1.05,0,186341
2022-01-28,1.05,1.05,1.05,1.05,0,180518
2022-01-31,1.0,1.0,1.0,1.0,18410,175452
2022-02-01,1.0,1.0,1.0,1.0,0,169969
2022-02-02,1.0,1.0,1.0,1.0,0,164658
2022-02-03,1.0,1.0,1.0,1.0,0,159512
2022-02-04,1.0,1.0,1.0,1.0,0,154528
2022-02-07,0.95,0.95,0.95,0.95,120042,153450
2022-02-08,0.95,0.95,0.95,0.95,0,148655
2022-02-09,0.95,0.95,0.95,0.95,0,144009
2022-02-10,0.95,0.95,0.95,0.95,0,139509
2022-02-11,0.95,0.95,0.95,0.95,0,135149
2022-02-14,0.9,0.9,0.9,0.9,515394,147032
2022-02-15,0.85,0.85,0.85,0.85,47173,143911
2022-02-16,0.8,0.8,0.8,0.8,67971,141538
2022-02-17,0.75,0.75,0.75,0.75,189779,143046
2022-02-18,0.7,0.7,0.7,0.7,171741,143942
2022-02-21,0.65,0.65,0.65,0.65,263258,147671
2022-02-22,0.7,0.7,0.6,0.6,6199495,336790
2022-02-23,0.75,0.75,0.65,0.7,567263,343993
2022-02-24,0.7,0.7,0.7,0.7,360512,344509
2022-02-25,0.7,0.75,0.65,0.65,399834,346238
2022-02-28,0.75,0.75,0.65,0.75,385441,347463
