Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,312.57,318.5,309.52,313.67,355505,355505
2021-10-01,311.34,317.74,309.52,309.69,168697,349667
2021-10-04,313.67,323.84,312.44,313.67,646901,358955
2021-10-05,315.62,318.5,312.91,315.2,366905,359204
2021-10-06,311.04,324.05,310.28,317.06,763685,371844
2021-10-07,312.95,321.09,311.21,314.52,505279,376014
2021-10-08,313.08,319.6,311.97,314.52,1152857,400290
2021-10-11,316.59,318.33,312.27,315.11,412047,400657
2021-10-12,314.39,319.52,312.48,317.06,360172,399392
2021-10-13,307.27,316.34,305.66,315.79,441185,400698
2021-10-14,303.88,309.85,302.1,308.67,185543,393975
2021-10-18,292.56,306.63,291.33,305.19,403265,394265
2021-10-19,284.89,298.41,284.0,294.85,330215,392263
2021-10-20,282.39,288.66,279.08,284.17,186681,385839
2021-10-21,272.81,285.19,271.2,285.19,420243,386914
2021-10-22,269.08,279.21,266.45,274.38,265238,383112
2021-10-25,266.7,272.77,264.84,270.86,190647,377097
2021-10-26,266.75,270.35,263.48,266.2,228197,372444
2021-10-27,277.68,283.45,266.49,267.04,434914,374396
2021-10-28,268.44,277.72,267.04,277.68,132831,366847
2021-10-29,272.94,275.52,266.07,269.59,117921,359068
2021-11-01,279.97,281.46,276.45,277.05,214185,354541
2021-11-02,290.06,296.55,280.1,282.98,819977,369085
2021-11-03,290.99,293.32,285.69,291.29,229983,364738
2021-11-04,290.61,293.75,289.93,291.84,33293,354381
2021-11-08,294.68,296.55,290.91,294.17,210227,349876
2021-11-09,293.75,298.49,293.15,295.87,114817,342530
2021-11-10,289.89,294.26,286.37,292.82,226517,338905
2021-11-11,289.76,292.3,288.56,291.95,66106,330380
2021-11-12,286.63,291.99,282.85,291.82,142737,324516
2021-11-15,276.49,288.22,274.94,288.22,127364,318355
2021-11-16,275.5,280.05,273.74,278.16,126617,312363
2021-11-17,278.85,280.91,276.62,276.92,110597,306058
2021-11-18,274.21,280.23,272.24,278.85,101176,299655
2021-11-22,268.93,278.68,267.68,278.68,84097,292919
2021-11-23,269.62,274.77,265.97,266.31,111273,287243
2021-11-24,270.26,276.62,267.98,270.99,89467,281062
2021-11-25,271.98,274.38,265.97,271.38,88901,275057
2021-11-26,265.58,278.21,264.16,269.66,107167,269811
2021-11-29,258.88,265.92,254.33,263.73,145910,265939
2021-11-30,252.26,268.37,250.24,260.21,209673,264180
2021-12-01,257.03,258.1,252.05,255.4,118941,259642
2021-12-02,258.23,262.01,256.43,257.03,153375,256321
2021-12-03,254.88,261.15,252.65,259.18,170639,253643
2021-12-06,253.21,262.4,251.62,256.26,276829,254368
2021-12-07,257.93,262.01,253.42,253.42,121199,250206
2021-12-08,258.19,262.01,257.25,259.26,85292,245053
2021-12-09,257.5,261.15,256.04,258.49,310987,247113
2021-12-10,261.46,266.05,257.68,257.72,322216,249460
2021-12-13,257.59,265.58,257.03,262.57,168009,246915
2021-12-14,258.06,258.62,255.14,256.73,116606,242842
2021-12-15,252.56,259.52,251.7,259.18,154861,240093
2021-12-16,247.28,254.28,245.56,253.85,158670,237549
2021-12-17,238.26,247.93,236.28,247.93,194963,236218
2021-12-20,230.7,237.7,227.65,237.1,179888,234457
2021-12-21,233.36,239.25,229.03,231.43,184564,232898
2021-12-22,235.64,237.96,231.95,233.58,186106,231436
2021-12-23,253.34,257.68,246.59,253.59,4037608,350379
2021-12-24,253.55,256.56,247.41,255.14,707100,361526
2021-12-27,251.88,258.15,250.07,253.55,538026,367042
2021-12-28,253.47,256.3,245.26,249.13,1128948,390852
2021-12-29,255.14,256.73,250.89,253.34,689512,400185
2021-12-30,257.42,258.84,250.24,255.14,671559,408665
2021-12-31,256.17,258.49,254.15,257.29,421375,409062
2022-01-03,259.52,260.21,255.23,256.77,395148,408627
2022-01-04,257.72,261.71,254.28,261.71,734554,418813
2022-01-05,254.33,261.15,253.29,258.49,254867,413689
2022-01-06,258.32,260.9,253.08,253.81,197006,406918
2022-01-07,262.66,265.41,259.52,259.52,410207,407021
2022-01-10,266.18,269.7,262.19,264.5,254388,402251
2022-01-11,267.08,269.53,263.86,266.39,321251,399720
2022-01-12,269.62,271.25,267.17,269.49,410683,400062
2022-01-13,269.36,271.81,267.17,271.12,147937,392183
2022-01-14,269.7,271.89,266.74,270.35,192510,385943
2022-01-17,268.46,270.52,267.25,270.52,154661,378716
2022-01-18,270.6,274.81,267.34,268.03,398505,379334
2022-01-19,275.24,278.98,268.37,269.75,337957,378041
2022-01-20,275.8,279.71,274.99,278.12,167572,371464
2022-01-21,270.56,277.56,269.14,273.78,99161,362955
2022-01-24,263.0,275.76,261.11,274.9,187417,357469
2022-01-25,265.41,270.09,258.58,262.87,143150,350772
