Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,10.61,10.61,10.61,10.61,0,0
2021-10-01,10.61,10.61,10.61,10.61,0,0
2021-10-04,10.61,10.61,10.61,10.61,0,0
2021-10-05,10.61,10.61,10.61,10.61,0,0
2021-10-06,10.61,10.61,10.61,10.61,0,0
2021-10-07,10.61,10.61,10.61,10.61,0,0
2021-10-08,10.61,10.61,10.61,10.61,0,0
2021-10-11,10.61,10.61,10.61,10.61,0,0
2021-10-12,10.61,10.61,10.61,10.61,0,0
2021-10-13,10.61,10.61,10.61,10.61,0,0
2021-10-14,10.61,10.61,10.61,10.61,0,0
2021-10-18,10.61,10.61,10.61,10.61,0,0
2021-10-19,10.61,10.61,10.61,10.61,0,0
2021-10-20,10.61,10.61,10.61,10.61,0,0
2021-10-21,10.61,10.61,10.61,10.61,0,0
2021-10-22,10.61,10.61,10.61,10.61,0,0
2021-10-25,10.61,10.61,10.61,10.61,0,0
2021-10-26,10.61,10.61,10.61,10.61,0,0
2021-10-27,10.61,10.61,10.61,10.61,0,0
2021-10-28,10.61,10.61,10.61,10.61,0,0
2021-10-29,10.61,10.61,10.61,10.61,0,0
2021-11-01,10.61,10.61,10.61,10.61,0,0
2021-11-02,10.61,10.61,10.61,10.61,0,0
2021-11-03,10.61,10.61,10.61,10.61,0,0
2021-11-04,9.96,9.96,9.96,9.96,15000,468
2021-11-08,9.49,9.49,9.49,9.49,30000,1391
2021-11-09,9.49,9.49,9.49,9.49,0,1348
2021-11-10,9.49,9.49,9.49,9.49,0,1305
2021-11-11,9.49,9.49,9.49,9.49,0,1265
2021-11-12,9.49,9.49,9.49,9.49,0,1225
2021-11-15,9.49,9.49,9.49,9.49,0,1187
2021-11-16,9.49,9.49,9.49,9.49,0,1150
2021-11-17,9.49,9.49,9.49,9.49,0,1114
2021-11-18,9.49,9.49,9.49,9.49,0,1079
2021-11-22,9.49,9.49,9.49,9.49,0,1045
2021-11-23,9.49,9.49,9.49,9.49,0,1013
2021-11-24,9.49,9.49,9.49,9.49,0,981
2021-11-25,9.49,9.49,9.49,9.49,0,950
