Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,50.45,51.5,50.0,51.5,4540,4540
2021-10-01,50.25,51.75,49.0,50.8,12387,4785
2021-10-04,49.75,51.55,49.25,51.0,13189,5047
2021-10-05,52.0,52.2,49.1,49.3,18779,5476
2021-10-06,54.6,54.6,53.6,53.95,24780,6080
2021-10-07,57.55,59.5,56.1,56.6,63251,7866
2021-10-08,56.4,59.9,54.45,59.3,39534,8856
2021-10-11,59.35,59.85,58.45,58.8,41150,9865
2021-10-12,59.85,63.4,58.0,59.65,46936,11023
2021-10-13,59.1,62.35,58.1,61.5,41615,11979
2021-10-14,56.4,60.8,55.35,60.8,47270,13082
2021-10-18,57.0,59.0,55.0,57.5,55040,14393
2021-10-19,56.85,58.0,56.25,57.5,30156,14886
2021-10-20,57.3,58.6,55.25,55.25,28192,15302
2021-10-21,58.75,60.8,57.3,57.3,82501,17402
2021-10-22,56.3,60.0,56.0,59.85,25757,17663
2021-10-25,54.65,57.95,54.0,56.3,9583,17410
2021-10-26,55.15,56.8,54.0,56.8,10931,17208
2021-10-27,56.5,60.25,54.5,55.8,57123,18455
2021-10-28,56.25,59.9,54.2,56.15,16145,18383
2021-10-29,55.7,56.9,54.1,55.5,10232,18128
2021-11-01,54.8,55.95,54.5,55.75,2821,17650
2021-11-02,53.75,55.45,53.65,54.6,30932,18065
2021-11-03,54.1,54.75,53.5,53.7,6688,17709
2021-11-04,55.2,56.55,54.5,54.5,2814,17244
2021-11-08,53.4,56.45,52.3,55.5,22756,17416
2021-11-09,54.45,54.95,53.8,54.4,4906,17025
2021-11-10,54.25,54.95,53.35,54.5,5386,16661
2021-11-11,54.05,54.95,53.55,54.95,6979,16359
2021-11-12,53.3,55.35,52.35,52.35,17890,16407
2021-11-15,53.45,55.55,52.0,53.5,10985,16237
2021-11-16,55.4,56.85,53.0,53.95,15303,16208
2021-11-17,55.4,56.65,53.6,53.7,21367,16369
2021-11-18,53.95,54.7,53.4,54.0,5384,16026
2021-11-22,54.95,56.0,51.8,54.0,47181,16999
2021-11-23,57.2,60.4,54.0,54.0,100904,19621
2021-11-24,56.1,59.9,55.2,58.8,39793,20252
2021-11-25,59.25,59.9,55.2,56.0,24182,20375
2021-11-26,56.35,59.85,55.6,59.25,18288,20309
2021-11-29,53.05,56.0,52.55,56.0,14395,20125
2021-11-30,53.6,55.0,53.0,53.9,4975,19651
2021-12-01,53.9,56.75,53.5,54.4,7830,19282
2021-12-02,53.9,56.95,53.5,56.95,10013,18992
2021-12-03,53.35,54.4,53.0,53.2,6283,18595
2021-12-06,53.4,54.3,52.8,54.0,12558,18406
2021-12-07,52.2,54.4,50.25,53.9,31843,18826
2021-12-08,52.8,53.95,52.4,53.95,4758,18386
2021-12-09,53.0,53.95,52.7,52.7,6222,18006
2021-12-10,52.8,54.0,52.1,53.8,8103,17697
2021-12-13,53.4,53.8,52.8,53.6,9632,17445
2021-12-14,53.2,53.7,52.65,53.7,2708,16984
2021-12-15,52.55,53.2,52.5,53.15,5355,16621
2021-12-16,63.05,63.05,52.9,53.1,341807,26783
2021-12-17,69.45,75.5,68.0,68.9,1203062,63542
2021-12-20,63.55,70.85,62.15,65.8,444312,75441
2021-12-21,64.95,72.8,64.3,65.5,358435,84284
