Date,Close,High,Low,Open,Volume,EMA_63_Volume
2025-10-07,83.7,93.0,81.17,84.0,28034318,28034318
2025-10-08,83.71,88.15,82.28,83.0,6919424,27374477
2025-10-09,82.75,85.43,82.28,84.41,1918021,26578963
2025-10-10,81.81,84.2,81.0,83.08,1348956,25790525
2025-10-13,78.51,81.81,78.0,81.5,1844768,25042220
2025-10-14,74.11,79.32,73.42,79.1,2149069,24326809
2025-10-15,74.89,75.64,73.6,74.11,1302150,23607289
2025-10-16,75.24,76.32,74.83,75.5,731658,22892425
2025-10-17,71.51,75.75,71.0,75.75,1066430,22210363
2025-10-20,73.67,74.0,70.17,72.3,1478993,21562507
2025-10-21,74.6,74.89,74.0,74.3,193869,20894737
2025-10-23,74.65,76.0,73.9,76.0,563328,20259381
2025-10-24,74.53,75.1,73.55,74.55,356550,19637417
2025-10-27,79.59,80.55,74.24,75.3,3217463,19124294
2025-10-28,77.11,79.38,76.65,79.0,903707,18554900
2025-10-29,76.2,78.34,75.76,78.3,616972,17994340
2025-10-30,75.17,76.58,75.0,76.58,402032,17444581
2025-10-31,74.43,75.54,74.23,75.3,283850,16908308
2025-11-03,73.37,74.41,72.2,74.41,566201,16397617
2025-11-04,72.74,74.1,72.49,74.0,473177,15899978
2025-11-06,69.23,73.2,68.8,73.0,1458584,15448684
2025-11-07,69.52,70.12,68.06,69.59,617239,14985202
2025-11-10,69.7,71.1,69.2,71.0,301936,14526350
2025-11-11,71.72,73.0,69.05,69.89,819173,14098000
2025-11-12,72.54,72.8,71.01,72.0,331691,13667803
2025-11-13,73.69,74.3,71.75,72.5,555815,13258054
2025-11-14,73.74,74.1,72.28,73.51,266261,12852060
2025-11-17,70.65,72.1,70.29,70.3,457889,12464742
2025-11-18,70.83,71.3,69.57,70.99,327101,12085441
2025-11-19,68.12,70.95,67.5,70.95,519549,11724007
2025-11-20,68.02,69.36,67.73,68.12,311207,11367357
2025-11-21,67.66,69.1,67.1,68.41,231245,11019353
2025-11-24,66.69,68.34,66.5,67.98,256324,10683009
2025-11-25,66.79,67.53,66.36,66.92,176218,10354671
2025-11-26,66.97,67.64,66.7,66.99,155527,10035948
2025-11-27,66.72,67.63,66.55,67.1,127758,9726317
2025-11-28,65.74,67.01,65.65,67.0,241002,9429901
2025-12-01,64.2,67.0,63.65,66.61,348404,9146104
2025-12-02,63.53,64.2,63.1,64.0,237754,8867718
2025-12-03,60.76,63.98,60.0,63.2,461250,8605016
2025-12-04,61.09,62.68,59.15,60.76,490165,8351427
2025-12-05,59.78,61.39,59.0,61.09,312916,8100224
2025-12-08,57.38,60.03,57.0,59.0,367979,7858591
2025-12-09,59.37,59.95,56.24,57.0,415816,7626004
2025-12-10,58.44,60.39,58.25,59.6,204480,7394081
2025-12-11,59.19,59.67,57.73,58.65,148003,7167642
2025-12-12,60.29,61.5,59.2,59.2,272240,6952160
