Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,34.55,35.5,34.37,34.78,38091924,38091924
2021-10-01,36.94,37.52,33.78,34.51,128610116,40920617
2021-10-04,36.71,37.61,36.31,37.25,42423342,40967577
2021-10-05,36.53,37.57,36.4,36.76,27568370,40548852
2021-10-06,35.41,36.94,35.18,36.58,31986674,40281284
2021-10-07,35.95,36.89,35.63,35.72,21957438,39708664
2021-10-08,35.5,36.4,35.32,36.35,15374257,38948213
2021-10-11,38.78,40.54,35.68,35.81,86770506,40442660
2021-10-12,38.74,39.33,38.2,39.15,28775311,40078055
2021-10-13,40.09,41.53,38.65,38.74,58339376,40648722
2021-10-14,39.1,41.04,38.92,40.45,23522469,40113526
2021-10-18,38.74,40.05,38.47,39.28,21676738,39537377
2021-10-19,37.61,40.0,37.39,38.83,26751825,39137828
2021-10-20,37.79,38.38,36.4,37.88,25459256,38710373
2021-10-21,37.34,38.56,36.85,38.15,24576797,38268698
2021-10-22,35.9,37.61,35.68,37.39,21973410,37759471
2021-10-25,36.76,37.03,34.96,36.08,21335161,37246211
2021-10-26,37.12,37.48,36.58,37.03,13631329,36508246
2021-10-27,36.67,37.97,36.4,37.48,13948189,35803244
2021-10-28,35.81,36.98,35.59,36.53,18960794,35276917
2021-10-29,36.53,37.93,35.41,35.9,22813771,34887444
2021-11-01,38.06,38.24,36.4,36.67,25198564,34584667
2021-11-02,37.79,38.2,37.61,38.15,12921771,33907701
2021-11-03,36.98,38.78,36.8,37.93,30128778,33789610
2021-11-04,36.98,36.98,36.98,36.98,0,32733684
2021-11-08,37.97,38.47,37.07,37.25,16580627,32228901
2021-11-09,38.06,38.42,37.79,38.06,8594273,31490319
2021-11-10,37.66,38.78,37.52,38.02,19533922,31116682
2021-11-11,38.78,39.06,37.21,37.75,23687007,30884504
2021-11-12,37.88,39.06,37.43,39.06,24097228,30672402
2021-11-15,36.49,38.11,35.95,37.75,20417710,30351943
2021-11-16,36.76,37.57,36.49,36.49,12790870,29803159
2021-11-17,35.81,36.8,35.68,36.76,17039710,29404302
2021-11-18,35.36,36.4,35.14,36.08,17104869,29019944
2021-11-22,33.74,35.14,32.66,34.96,38650405,29320896
2021-11-23,35.5,35.81,33.56,33.74,31795243,29398219
2021-11-24,35.5,36.17,35.18,35.68,20601392,29123319
2021-11-25,35.5,36.17,35.05,35.36,24539886,28980086
2021-11-26,34.87,35.59,33.6,35.14,23310259,28802904
2021-11-29,33.74,35.14,33.06,34.24,19150115,28501255
2021-11-30,33.87,35.5,33.65,33.74,26410240,28435910
2021-12-01,34.64,34.87,33.56,34.01,12339640,27932902
2021-12-02,37.21,37.61,34.46,34.64,49501422,28606918
2021-12-03,38.24,38.6,36.89,37.07,27351208,28567677
2021-12-06,37.7,38.97,37.43,38.38,21371427,28342794
2021-12-07,38.6,38.69,37.79,37.97,15566540,27943536
2021-12-08,38.38,39.28,38.06,39.19,15876334,27566436
2021-12-09,39.51,40.05,38.2,38.6,27133250,27552899
2021-12-10,39.51,40.23,39.24,39.51,20153284,27321661
2021-12-13,38.78,39.96,38.56,39.82,14956034,26935235
2021-12-14,38.88,39.15,37.61,38.69,19626342,26706832
2021-12-15,38.02,39.19,37.93,38.92,9641686,26173547
2021-12-16,38.47,38.69,37.84,38.2,9547591,25653985
2021-12-17,37.34,38.42,37.16,38.42,18588940,25433203
2021-12-20,35.77,36.94,34.73,36.8,15753391,25130709
2021-12-21,35.9,36.8,35.72,35.99,13109221,24755037
2021-12-22,38.6,38.83,36.26,36.31,27974025,24855630
2021-12-23,38.38,39.55,38.2,39.55,38701940,25288328
2021-12-24,38.42,38.74,37.97,38.65,25043167,25280666
2021-12-27,41.58,43.7,38.15,38.42,114210835,28059734
2021-12-28,41.76,42.57,41.13,41.67,49574133,28732059
2021-12-29,42.48,43.38,41.49,41.62,49854631,29392139
2021-12-30,42.03,42.61,41.62,42.21,25189752,29260815
2021-12-31,41.22,42.52,40.99,42.25,24241161,29103951
2022-01-03,42.7,43.42,40.99,41.94,43342489,29548905
2022-01-04,43.42,43.92,41.71,42.88,44315880,30010373
2022-01-05,42.61,44.28,42.34,43.51,37310320,30238496
2022-01-06,43.51,44.24,42.12,42.34,47116357,30765929
2022-01-07,41.26,43.97,40.14,43.88,146407914,34379741
2022-01-10,43.65,44.19,40.9,41.8,128924989,37334280
2022-01-11,44.85,46.7,43.15,43.75,58181562,37985758
2022-01-12,45.1,45.4,43.95,45.0,23224952,37524483
2022-01-13,44.55,45.2,44.3,45.1,15851805,36847211
2022-01-14,45.35,45.95,44.25,44.5,23324620,36424630
2022-01-17,44.85,46.1,44.6,45.35,21995345,35973715
2022-01-18,43.4,45.2,43.1,45.2,16301907,35358971
2022-01-19,44.05,44.2,42.1,43.5,15624047,34742255
2022-01-20,43.35,44.4,43.05,44.0,15511799,34141303
2022-01-21,42.3,43.7,42.0,43.35,8765751,33348317
2022-01-24,39.95,42.75,39.6,42.3,11945896,32679491
2022-01-25,40.4,40.8,39.0,39.75,12643024,32053352
2022-01-27,40.0,40.3,39.05,40.3,16724976,31574340
2022-01-28,40.55,41.5,40.15,40.25,12378345,30974465
2022-01-31,42.1,42.4,40.8,41.05,16348373,30517400
2022-02-01,42.4,43.75,41.7,42.8,35041530,30658779
2022-02-02,43.8,44.2,42.7,42.7,29735952,30629940
2022-02-03,44.15,44.5,43.45,43.85,18409475,30248051
2022-02-04,43.15,44.15,42.95,44.15,12039836,29679044
2022-02-07,42.4,43.2,41.8,43.0,12543665,29143564
2022-02-08,42.6,42.85,41.3,42.55,20925822,28886759
2022-02-09,43.15,43.75,42.15,43.1,19589633,28596224
2022-02-10,42.55,44.0,42.25,44.0,22025673,28390894
2022-02-11,42.35,43.15,41.8,42.0,14180502,27946819
2022-02-14,39.2,41.4,39.0,41.1,22010298,27761303
2022-02-15,41.1,41.25,38.95,39.4,30187537,27837123
2022-02-16,40.65,41.45,40.5,41.25,10503655,27295452
2022-02-17,40.35,41.1,39.9,40.8,25686456,27245171
2022-02-18,39.95,40.8,39.8,40.1,8122542,26647589
2022-02-21,39.1,39.95,38.95,39.8,9207101,26102573
2022-02-22,38.1,38.45,37.4,37.6,13105892,25696427
2022-02-23,38.65,39.45,38.25,38.35,9393129,25186949
2022-02-24,34.5,37.5,33.85,37.15,18505953,24978168
2022-02-25,37.5,37.8,35.6,35.75,31393404,25178644
2022-02-28,37.9,38.2,36.2,36.8,13214229,24804756
2022-03-02,38.05,38.35,36.95,37.8,9916970,24339513
2022-03-03,38.4,38.95,37.95,38.6,10886063,23919092
2022-03-04,37.3,38.15,37.0,38.0,7970558,23420701
2022-03-07,36.4,36.95,35.7,36.95,7584430,22925817
2022-03-08,37.8,38.0,36.6,36.6,12066703,22586470
2022-03-09,39.65,39.95,38.0,38.1,16570605,22398474
2022-03-10,39.2,40.85,38.9,40.85,15544953,22184302
2022-03-11,39.35,39.6,38.7,39.0,35053659,22586469
2022-03-14,38.75,39.5,38.15,39.3,14545197,22335179
2022-03-15,37.6,39.05,37.4,38.9,9946649,21948038
2022-03-16,38.5,38.65,38.0,38.15,19650499,21876239
2022-03-17,38.15,39.25,38.0,39.25,35106874,22289697
2022-03-21,37.4,38.4,37.3,38.4,12932689,21997290
2022-03-22,38.05,38.15,36.75,37.5,16687586,21831362
2022-03-23,37.2,38.45,37.05,38.3,17675444,21701490
2022-03-24,36.85,37.2,36.75,37.1,12203143,21404666
2022-03-25,36.7,37.25,36.45,37.0,17302323,21276468
2022-03-28,35.9,36.8,35.7,36.7,36688989,21758109
2022-03-29,36.7,37.0,35.45,36.0,16891895,21606040
2022-03-30,37.1,37.6,36.6,36.95,9158273,21217047
2022-03-31,36.95,37.6,36.35,37.05,14694242,21013210
2022-04-01,38.9,39.3,36.6,36.9,15793675,20850099
2022-04-04,39.1,39.8,38.7,39.2,10241970,20518595
2022-04-05,39.5,40.05,38.95,39.1,20297181,20511676
2022-04-06,40.9,41.0,39.1,39.3,14368197,20319692
2022-04-07,40.25,41.3,39.85,40.8,11801778,20053507
2022-04-08,40.5,40.85,39.65,40.4,11480007,19785585
2022-04-11,40.0,41.0,39.75,40.4,8233912,19424596
2022-04-12,39.4,40.0,38.8,39.8,8712759,19089851
2022-04-13,38.95,39.75,38.8,39.6,5616753,18668816
2022-04-18,38.6,38.95,37.9,38.95,6329602,18283216
2022-04-19,37.15,38.95,36.5,38.85,6178874,17904955
2022-04-20,36.8,37.6,36.65,37.45,10742658,17681133
2022-04-21,38.0,38.15,37.0,37.0,8419032,17391693
2022-04-22,37.5,38.5,37.45,37.95,9196414,17135590
2022-04-25,37.0,37.2,36.4,37.0,9058577,16883184
2022-04-26,37.9,38.0,37.15,37.25,6225683,16550137
2022-04-27,37.1,37.85,36.8,37.75,5953207,16218983
2022-04-28,37.25,37.55,36.45,37.3,9462863,16007854
2022-04-29,37.65,38.5,37.45,37.5,7998805,15757571
2022-05-02,37.75,38.1,36.65,37.45,6556068,15470024
2022-05-04,36.1,37.95,35.65,37.95,9019333,15268440
2022-05-05,36.0,36.95,35.85,36.5,4540022,14933177
2022-05-06,35.15,35.6,34.7,35.4,6533719,14670694
2022-05-09,33.85,35.15,33.65,35.15,8739459,14485343
2022-05-10,33.55,34.8,33.4,33.85,6244642,14227821
2022-05-11,33.35,34.1,31.85,33.85,14373142,14232362
2022-05-12,32.45,33.15,31.75,33.0,10389381,14112269
2022-05-13,33.45,34.15,32.5,32.5,8994513,13952339
2022-05-16,34.85,35.0,33.2,33.4,7519764,13751321
2022-05-17,36.4,36.65,34.6,34.6,9110122,13606284
2022-05-18,35.9,36.4,35.15,36.0,11517497,13541009
2022-05-19,35.35,35.6,34.8,35.15,5759916,13297850
2022-05-20,36.6,36.95,35.6,35.75,6277156,13078453
2022-05-23,36.65,37.5,36.45,36.95,10715402,13004608
2022-05-24,37.0,37.5,36.55,36.95,113078690,16131923
2022-05-25,36.25,37.65,36.15,37.4,5882363,15811624
2022-05-26,36.9,37.45,35.45,36.65,6890668,15532844
2022-05-27,37.9,38.05,36.75,37.05,11738020,15414256
2022-05-30,38.4,38.85,37.9,38.0,7655983,15171810
2022-05-31,38.0,39.0,37.65,38.4,13388328,15116076
2022-06-01,38.6,38.75,38.1,38.4,6964281,14861332
2022-06-02,38.55,38.7,38.1,38.45,3928757,14519689
2022-06-03,37.25,38.9,37.05,38.7,6274012,14262012
2022-06-06,37.15,37.6,36.65,37.25,3640868,13930101
2022-06-07,36.75,37.45,36.35,37.0,4893891,13647720
2022-06-08,36.3,37.3,36.2,36.7,4559023,13363698
2022-06-09,36.5,36.75,35.85,36.35,7390869,13177047
2022-06-10,37.3,37.6,35.95,36.05,12695295,13161992
2022-06-13,35.7,36.8,35.3,36.75,12669173,13146592
2022-06-14,35.8,36.4,35.3,35.3,5239412,12899492
2022-06-15,35.85,36.15,35.5,35.8,3855428,12616865
2022-06-16,34.3,36.45,33.75,36.45,17534150,12770530
2022-06-17,34.15,34.45,33.25,34.0,11925300,12744117
2022-06-20,33.4,34.45,32.3,34.05,14776160,12807618
2022-06-21,35.05,35.6,33.55,33.6,7187200,12631980
2022-06-22,33.5,34.7,33.05,34.6,5521869,12409789
2022-06-23,33.9,34.25,33.35,33.55,5678741,12199444
2022-06-24,34.8,34.9,34.1,34.15,2966980,11910929
2022-06-27,34.9,35.5,34.55,35.25,3693611,11654138
2022-06-28,34.9,35.2,34.7,34.9,8836669,11566092
2022-06-29,34.65,34.95,34.5,34.75,3199376,11304632
2022-06-30,34.1,35.0,33.9,34.65,5553842,11124920
2022-07-01,34.5,34.75,33.6,34.0,4338629,10912848
2022-07-04,33.95,34.65,33.45,34.45,7255330,10798551
2022-07-05,33.55,34.4,33.45,34.15,4844618,10612491
2022-07-06,34.15,34.25,33.25,33.75,5771798,10461219
2022-07-07,34.7,34.95,34.0,34.3,4356864,10270458
2022-07-08,34.8,35.1,34.35,34.95,4084470,10077146
2022-07-11,35.3,35.55,34.45,34.8,4673120,9908270
2022-07-12,34.9,35.3,34.8,35.1,2719360,9683616
2022-07-13,34.85,35.3,34.45,35.3,5090865,9540093
2022-07-14,34.55,35.1,34.1,35.0,5252987,9406121
2022-07-15,34.95,35.05,34.35,34.7,4017648,9237731
2022-07-18,35.25,35.35,34.8,35.05,3560766,9060326
2022-07-19,34.75,35.2,34.5,35.2,7899923,9024063
2022-07-20,34.6,35.2,34.4,35.15,9498764,9038898
2022-07-21,35.3,35.5,34.3,34.6,9654460,9058134
2022-07-22,35.25,35.7,34.7,35.5,6208053,8969069
2022-07-25,35.8,36.15,34.8,35.4,8266996,8947129
2022-07-26,35.1,35.95,35.0,35.75,11053585,9012956
2022-07-27,35.5,35.7,34.6,34.9,6682240,8940121
2022-07-28,35.45,36.15,35.3,35.7,5352273,8828001
2022-07-29,37.5,38.05,35.6,35.9,20297669,9186428
2022-08-01,36.05,37.5,35.9,37.5,10873215,9239140
2022-08-02,35.5,35.8,34.6,35.5,14396230,9400299
2022-08-03,35.25,35.95,35.0,35.6,5125071,9266698
2022-08-04,34.8,35.65,34.55,35.35,5525906,9149798
2022-08-05,34.65,35.05,34.5,34.75,4493985,9004304
2022-08-08,34.3,34.95,34.2,34.7,4252123,8855798
2022-08-10,34.65,35.0,34.15,34.25,4503117,8719777
2022-08-11,34.7,35.1,34.55,34.95,3369931,8552594
2022-08-12,34.5,34.85,34.4,34.75,2896690,8375847
2022-08-16,35.0,35.15,34.4,34.6,4295718,8248343
2022-08-17,35.35,35.55,35.0,35.0,3889171,8112119
2022-08-18,35.5,35.75,35.05,35.35,4222665,7990574
2022-08-19,34.8,35.85,34.6,35.4,4590173,7884311
2022-08-22,34.2,34.85,33.75,34.75,8561624,7905477
2022-08-23,34.05,34.45,33.65,34.0,5359635,7825920
2022-08-24,33.7,34.25,33.35,34.05,10535335,7910589
2022-08-25,34.6,35.35,33.9,33.95,25828396,8470520
2022-08-26,35.2,35.5,35.0,35.25,5584037,8380318
2022-08-29,34.55,34.8,34.0,34.65,8692902,8390086
2022-08-30,35.95,36.4,34.9,35.1,13305459,8543691
2022-09-01,38.4,38.7,35.7,35.75,33028185,9308832
2022-09-02,39.4,40.75,38.0,38.6,40700527,10289822
2022-09-05,39.2,40.1,38.85,39.65,12656930,10363794
2022-09-06,39.1,39.8,39.0,39.3,7221209,10265588
2022-09-07,39.75,40.2,38.7,38.8,10014327,10257737
2022-09-08,39.6,40.1,39.35,39.95,5492603,10108826
2022-09-09,39.5,40.75,39.35,40.0,10870076,10132615
2022-09-12,39.3,39.9,39.05,39.55,5421299,9985386
2022-09-13,40.45,40.65,39.35,39.55,10303279,9995321
2022-09-14,40.0,40.35,39.4,39.7,10457980,10009779
2022-09-15,40.2,41.8,40.0,40.25,20227910,10329095
2022-09-16,38.4,40.25,38.2,40.2,15850342,10501634
2022-09-19,38.8,39.35,37.85,38.5,8085665,10426135
2022-09-20,38.25,39.35,38.15,39.0,9322597,10391650
2022-09-21,38.15,38.6,38.0,38.15,8215782,10323654
2022-09-22,37.95,38.4,37.55,38.2,6196072,10194667
2022-09-23,37.2,38.05,36.8,37.95,14295733,10322825
2022-09-26,35.6,36.75,35.05,36.7,13150203,10411181
2022-09-27,35.75,36.2,35.3,35.8,10975815,10428825
2022-09-28,35.25,36.1,35.0,35.65,6028076,10291302
2022-09-29,35.45,36.15,34.35,35.6,11259415,10321556
2022-09-30,35.55,35.9,34.5,35.15,16282366,10507831
2022-10-03,34.7,35.9,34.55,35.75,9884731,10488359
2022-10-04,35.65,35.75,35.0,35.15,4873009,10312879
2022-10-06,35.85,36.2,35.75,35.85,4147578,10120214
2022-10-07,35.45,35.9,35.1,35.9,4849512,9955504
2022-10-10,35.15,35.25,34.65,35.05,3648024,9758395
2022-10-11,34.8,35.35,34.75,35.3,4895330,9606425
2022-10-12,35.5,35.6,34.7,35.05,8077869,9558657
2022-10-13,34.6,35.85,34.3,35.55,7267888,9487071
2022-10-14,34.7,35.3,34.6,35.15,5255709,9354841
2022-10-17,34.85,35.1,34.1,34.8,4346349,9198325
2022-10-18,35.4,35.6,35.0,35.05,3988603,9035521
2022-10-19,34.9,35.65,34.85,35.5,4766651,8902119
2022-10-20,34.85,35.05,34.4,34.85,5542355,8797126
2022-10-21,34.9,35.15,34.35,34.9,8146367,8776790
2022-10-24,34.9,34.9,34.9,34.9,0,8502516
2022-10-25,35.55,35.8,34.55,34.95,5660598,8413706
2022-10-27,37.6,38.75,35.35,35.7,24528900,8917305
2022-10-28,36.9,37.9,36.7,37.85,7122916,8861231
2022-10-31,37.45,37.6,36.75,37.05,6265164,8780104
2022-11-01,37.5,37.8,37.05,37.7,5552739,8679248
2022-11-02,37.15,37.65,36.95,37.45,3311355,8511502
2022-11-03,37.45,37.55,36.95,37.0,4245120,8378177
2022-11-04,38.05,38.3,37.4,37.45,9116017,8401235
2022-11-07,38.2,38.55,37.5,38.1,9106718,8423281
2022-11-09,37.7,38.5,37.55,38.4,6610782,8366641
2022-11-10,38.0,38.3,37.35,37.7,6122726,8296518
2022-11-11,38.15,38.7,37.85,38.3,8573033,8305159
2022-11-14,38.6,38.85,37.8,38.25,11493494,8404795
2022-11-15,37.0,38.5,36.5,38.5,16657698,8662698
2022-11-16,36.4,37.3,36.15,37.0,7229949,8617924
2022-11-17,37.35,37.9,35.6,36.5,18778913,8935455
2022-11-18,37.35,37.55,36.9,37.55,6573934,8861658
2022-11-21,37.6,37.8,36.95,37.4,5539471,8757839
2022-11-22,37.8,37.9,37.2,37.8,5484529,8655548
2022-11-23,39.0,39.45,37.6,37.85,17946338,8945886
2022-11-24,39.05,39.4,38.55,39.25,9727309,8970305
2022-11-25,40.7,41.05,38.8,38.95,28774593,9589189
2022-11-28,40.35,41.15,40.05,41.0,11501562,9648951
2022-11-29,40.6,41.35,39.9,40.35,13669530,9774594
2022-11-30,42.9,43.2,40.5,40.6,45231360,10882618
2022-12-01,42.75,43.25,42.5,43.2,17635621,11093649
2022-12-02,42.9,43.65,42.6,42.75,14471407,11199204
2022-12-05,43.4,43.6,42.7,42.95,16381267,11361143
2022-12-06,43.35,44.15,43.15,43.6,16304243,11515615
2022-12-07,43.2,43.6,42.35,43.4,15698962,11646345
2022-12-08,43.85,44.1,42.85,43.15,14371642,11731510
2022-12-09,42.7,44.3,42.15,44.05,13292760,11780299
2022-12-12,43.15,43.4,42.25,42.7,9936989,11722696
2022-12-13,43.4,43.65,43.1,43.4,7876925,11602516
2022-12-14,43.35,44.3,43.1,43.6,14894126,11705378
2022-12-15,42.4,43.65,42.0,43.2,11356770,11694484
2022-12-16,41.45,42.75,41.25,42.2,13833563,11761331
2022-12-19,42.85,43.1,41.1,41.8,14673777,11852344
2022-12-20,42.65,43.1,41.9,42.75,10389812,11806640
2022-12-21,40.9,42.95,40.6,42.95,10930509,11779261
2022-12-22,40.0,41.4,39.6,41.0,11818673,11780493
2022-12-23,37.8,39.65,37.45,39.4,15566348,11898801
2022-12-26,38.7,39.0,37.15,38.0,8868913,11804117
2022-12-27,39.15,39.35,38.45,38.9,10690052,11769302
2022-12-28,39.0,39.45,38.75,39.1,7510693,11636221
2022-12-29,39.4,40.15,38.5,39.0,22903405,11988320
2022-12-30,39.75,40.1,39.45,39.9,9135104,11899157
2023-01-02,40.75,41.05,39.9,40.0,15383996,12008058
2023-01-03,40.8,41.1,40.6,40.7,6138079,11824621
2023-01-04,39.9,41.0,39.7,40.75,10825925,11793412
2023-01-05,40.4,40.5,39.7,40.2,8074807,11677206
2023-01-06,40.15,40.65,39.85,40.5,12696901,11709071
2023-01-09,40.65,40.8,40.0,40.3,21414107,12012354
2023-01-10,40.3,40.95,39.95,40.7,8725686,11909645
2023-01-11,40.4,40.75,40.1,40.45,14329791,11985275
2023-01-12,40.4,40.75,40.2,40.45,7557886,11846919
2023-01-13,41.1,41.35,40.2,40.4,20821760,12127383
2023-01-16,40.35,41.15,40.3,41.0,4563216,11891002
2023-01-17,40.15,40.5,39.9,40.5,5134556,11679863
2023-01-18,40.6,40.7,40.0,40.2,4451416,11453974
2023-01-19,40.3,40.5,40.15,40.45,3580608,11207932
2023-01-20,39.8,40.4,39.7,40.3,5824125,11039688
2023-01-23,40.15,40.5,39.4,39.95,5300712,10860345
2023-01-24,39.85,40.4,39.75,40.2,4482402,10661034
2023-01-25,38.9,39.95,38.65,39.85,8963391,10607983
2023-01-27,36.95,39.05,36.0,39.0,21890672,10960567
2023-01-30,37.0,37.65,36.45,36.95,7717632,10859225
2023-01-31,38.35,38.5,36.95,37.4,6037935,10708560
2023-02-01,37.55,39.3,36.65,38.4,12266304,10757239
2023-02-02,37.2,37.9,36.65,37.45,9416237,10715333
2023-02-03,37.55,37.8,36.4,37.75,17133484,10915900
2023-02-06,37.7,38.15,37.35,37.65,10648385,10907540
2023-02-07,38.05,38.2,37.45,37.85,11446799,10924392
2023-02-08,38.8,38.9,37.9,38.25,10364584,10906898
2023-02-09,38.75,38.9,38.3,38.7,4650203,10711376
2023-02-10,38.75,39.0,38.5,38.7,4137026,10505928
2023-02-13,38.45,39.0,38.2,38.8,3282490,10280195
2023-02-14,38.15,38.7,38.05,38.7,3824544,10078456
2023-02-15,38.4,39.1,38.1,38.25,10137218,10080292
2023-02-16,39.5,40.05,38.4,38.75,10513744,10093838
2023-02-17,39.6,39.75,39.1,39.45,9720405,10082168
2023-02-20,39.15,39.75,39.05,39.75,6419565,9967712
2023-02-21,38.9,39.45,38.75,39.2,9035581,9938583
2023-02-22,38.5,39.05,38.2,38.85,10373931,9952187
2023-02-23,37.5,38.4,37.4,38.4,8954009,9920994
2023-02-24,37.2,37.85,37.1,37.65,4336804,9746488
2023-02-27,37.45,37.55,36.8,37.2,4564380,9584547
2023-02-28,37.9,38.0,37.45,37.5,5779017,9465624
2023-03-01,38.3,38.4,37.75,37.85,2331797,9242692
2023-03-02,38.6,38.8,38.15,38.15,3854002,9074296
2023-03-03,38.7,38.95,38.5,38.8,3865994,8911536
2023-03-06,38.9,39.35,38.7,38.75,3709095,8748960
2023-03-08,39.5,39.7,38.5,38.5,4762739,8624391
2023-03-09,39.05,39.7,38.95,39.4,4063388,8481859
2023-03-10,39.45,39.65,38.6,38.8,8699641,8488665
2023-03-13,38.85,39.75,38.6,39.65,5941315,8409060
2023-03-14,39.45,40.1,38.7,39.1,10989097,8489686
2023-03-15,41.35,42.05,39.7,40.0,34395621,9299247
2023-03-16,41.75,42.25,40.4,41.45,17398465,9552347
2023-03-17,42.7,42.85,41.85,42.15,21468791,9924736
2023-03-20,41.25,43.25,40.85,42.75,12181923,9995273
2023-03-21,39.85,41.45,39.75,41.45,7213732,9908350
2023-03-22,39.7,40.35,39.65,39.65,5190595,9760920
2023-03-23,39.45,39.95,39.3,39.75,3211083,9556238
2023-03-24,38.75,39.65,38.6,39.5,4841603,9408905
2023-03-27,38.45,38.85,38.25,38.75,16254901,9622843
2023-03-28,37.5,38.35,37.2,38.25,9335014,9613848
2023-03-29,39.2,39.65,37.5,37.7,12104832,9691691
2023-03-31,40.55,40.7,39.15,39.4,12953895,9793635
2023-04-03,43.45,43.7,40.6,40.7,33649897,10539143
2023-04-05,43.7,44.05,42.85,43.05,15870617,10705752
2023-04-06,43.95,44.6,43.15,43.6,17931991,10931572
2023-04-10,43.6,44.1,43.1,43.9,7235715,10816076
2023-04-11,43.35,44.1,43.2,43.2,6046340,10667022
2023-04-12,43.7,43.95,42.9,43.35,7294155,10561620
2023-04-13,43.9,44.7,43.5,43.65,11309050,10584977
2023-04-17,44.65,44.9,43.45,43.55,11911474,10626430
2023-04-18,44.3,44.85,43.75,44.75,9065127,10577639
2023-04-19,44.35,44.8,44.1,44.4,7428629,10479233
2023-04-20,44.4,45.1,44.25,44.35,10637469,10484178
2023-04-21,44.45,44.65,43.95,44.55,6214319,10350745
2023-04-24,44.6,44.75,44.1,44.7,9107250,10311885
2023-04-25,44.8,45.4,44.2,44.6,13527189,10412364
2023-04-26,44.8,45.15,44.65,44.85,8563719,10354593
2023-04-27,45.1,46.15,44.7,44.8,19626606,10644344
2023-04-28,45.65,45.7,45.25,45.45,9432892,10606486
2023-05-02,45.8,46.15,45.4,45.65,10257295,10595574
2023-05-03,46.25,46.9,45.5,45.65,13862360,10697661
2023-05-04,46.45,46.9,46.0,46.2,8160122,10618363
2023-05-05,45.6,46.8,45.45,46.25,6882807,10501626
2023-05-08,46.55,46.95,45.9,46.95,6608306,10379960
2023-05-09,45.8,46.9,45.7,46.65,12432885,10444114
2023-05-10,46.75,46.85,45.7,45.8,11099648,10464599
2023-05-11,46.5,47.35,46.45,46.9,8537192,10404368
2023-05-12,46.1,46.85,46.0,46.85,8533066,10345890
2023-05-15,46.05,46.55,45.6,46.1,18043618,10586444
2023-05-16,45.4,46.3,45.3,46.1,4916050,10409244
2023-05-17,45.6,45.7,45.05,45.4,4715032,10231300
2023-05-18,45.0,45.85,44.9,45.65,4768281,10060580
2023-05-19,45.15,45.25,44.45,45.05,6689415,9955232
2023-05-22,45.35,45.5,44.7,45.0,8466292,9908702
2023-05-23,45.3,45.65,44.95,45.45,6388824,9798706
2023-05-24,44.9,45.3,44.65,45.05,4547387,9634602
2023-05-25,44.95,45.5,44.6,44.6,4923087,9487367
2023-05-26,45.0,45.65,44.5,45.2,12924791,9594787
2023-05-29,40.55,44.3,40.0,44.3,45153505,10705997
2023-05-30,40.85,41.55,40.4,40.75,19190583,10971140
2023-05-31,40.5,41.25,40.3,40.95,14188091,11071670
2023-06-01,40.8,41.2,40.65,40.8,6279111,10921902
2023-06-02,41.3,41.5,40.85,41.1,7492897,10814746
2023-06-05,41.55,42.0,41.1,41.5,8170749,10732121
2023-06-06,41.65,42.1,41.35,41.5,7807290,10640720
2023-06-07,42.2,42.65,41.75,42.15,12417151,10696233
2023-06-08,42.1,42.75,42.0,42.45,7149697,10585404
2023-06-09,42.35,42.6,41.85,42.15,9354290,10546932
2023-06-12,42.35,42.6,42.1,42.5,5306624,10383172
2023-06-13,42.05,42.55,41.95,42.5,4959560,10213684
2023-06-14,43.2,43.3,42.05,42.25,9470785,10190469
2023-06-15,43.25,43.7,43.15,43.45,7642550,10110846
2023-06-16,43.1,43.5,43.0,43.5,4730158,9942700
2023-06-19,42.55,43.35,42.5,43.2,7784184,9875246
2023-06-20,43.1,43.2,42.2,42.55,3018101,9660960
2023-06-21,43.35,43.6,42.65,43.2,7654601,9598261
2023-06-22,42.4,43.7,41.85,43.7,10836618,9636960
2023-06-23,42.4,42.75,41.85,42.45,8102957,9589022
2023-06-26,42.35,42.85,41.75,42.25,11545975,9650177
2023-06-27,42.8,43.05,42.3,42.4,10500420,9676747
2023-06-28,42.6,43.3,42.4,42.9,13691234,9802200
2023-06-30,43.7,44.1,42.65,42.65,14667901,9954253
2023-07-03,43.75,44.3,43.6,43.9,6506578,9846513
