Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,88.22,89.22,84.2,84.24,3944707,3944707
2021-10-01,85.87,87.99,85.19,87.75,958808,3851397
2021-10-04,83.64,86.31,83.36,86.31,789234,3755705
2021-10-05,84.32,85.67,83.36,83.64,525608,3654764
2021-10-06,85.03,87.35,84.44,84.87,947851,3570173
2021-10-07,83.96,86.15,83.52,85.35,420305,3471740
2021-10-08,86.15,87.35,83.84,84.48,882858,3390837
2021-10-11,89.06,89.5,86.47,86.91,1895643,3344112
2021-10-12,89.58,91.42,88.74,90.38,1974114,3301300
2021-10-13,89.54,90.62,89.34,90.1,888856,3225911
2021-10-14,90.26,92.53,89.5,90.3,1796477,3181241
2021-10-18,93.01,94.25,89.38,91.34,2713031,3166609
2021-10-19,91.65,94.93,90.42,93.61,1733322,3121819
2021-10-20,90.14,93.65,89.62,91.73,1653882,3075946
2021-10-21,92.41,93.57,88.62,90.7,1131784,3015191
2021-10-22,91.65,93.77,90.78,93.77,1076073,2954594
2021-10-25,87.87,92.01,86.95,92.01,784651,2886783
2021-10-26,87.47,89.06,86.35,87.87,516583,2812714
2021-10-27,88.74,89.7,86.71,86.95,952941,2754596
2021-10-28,88.58,89.58,88.22,89.22,528881,2685043
2021-10-29,89.14,89.66,86.95,88.54,393218,2613423
2021-11-01,88.58,89.94,87.91,89.54,603943,2550627
2021-11-02,90.38,91.65,88.9,89.3,386924,2483011
2021-11-03,91.57,93.25,90.62,90.78,823087,2431138
2021-11-04,91.54,92.61,90.94,91.73,106366,2358489
2021-11-08,92.13,93.13,91.18,91.97,418732,2297872
2021-11-09,91.26,92.53,90.7,92.45,229233,2233227
2021-11-10,90.7,92.45,90.14,90.86,265836,2171746
2021-11-11,89.74,92.33,88.94,90.9,292699,2113026
2021-11-12,87.71,89.74,85.99,89.02,591710,2065485
2021-11-15,87.35,88.86,86.55,87.35,437009,2014595
2021-11-16,84.2,88.14,83.76,87.35,676003,1972764
2021-11-17,84.04,85.91,83.36,83.76,349606,1922040
2021-11-18,80.93,85.11,80.77,84.56,474728,1876811
2021-11-22,78.49,81.56,77.38,81.32,1076285,1851795
2021-11-23,83.28,84.08,78.65,81.32,1205420,1831596
2021-11-24,85.22,86.48,83.56,84.25,465315,1788899
2021-11-25,83.4,86.07,82.87,85.79,281947,1741807
2021-11-26,81.17,84.17,80.61,82.31,491677,1702741
2021-11-29,80.36,82.91,79.11,80.73,380038,1661406
2021-11-30,79.8,84.25,78.18,80.2,1050275,1642308
2021-12-01,79.92,82.83,78.78,82.67,913626,1619537
2021-12-02,80.85,81.82,78.78,80.52,3241572,1670225
2021-12-03,81.46,83.24,81.17,82.23,357300,1629197
2021-12-06,80.12,82.06,79.88,81.82,247154,1586008
2021-12-07,82.02,82.67,80.24,80.52,233856,1543753
2021-12-08,82.95,83.32,82.39,82.63,190599,1501467
2021-12-09,82.59,83.64,82.31,83.64,142203,1458990
2021-12-10,82.27,82.95,81.74,82.59,366014,1424834
2021-12-13,81.29,83.85,80.93,83.44,559344,1397788
2021-12-14,80.61,82.55,80.32,80.85,272793,1362632
2021-12-15,80.93,81.38,79.59,80.85,1262212,1359494
2021-12-16,80.61,81.5,80.28,81.42,596300,1335644
2021-12-17,79.15,80.93,78.74,80.61,601704,1312708
2021-12-20,77.77,79.15,77.2,79.15,444212,1285568
2021-12-21,76.64,79.27,76.23,78.05,277461,1254064
2021-12-22,77.04,78.42,76.51,78.42,230728,1222085
2021-12-23,77.61,78.99,77.04,78.9,284528,1192786
2021-12-24,76.11,78.05,75.79,78.05,480122,1170515
2021-12-27,76.19,76.8,74.93,75.74,556245,1151320
2021-12-28,80.04,81.25,77.77,78.58,1992618,1177610
2021-12-29,79.92,80.69,79.39,80.04,1326842,1182274
2021-12-30,79.43,81.25,79.07,79.88,743399,1168559
2021-12-31,80.85,80.97,79.43,79.43,369788,1143597
2022-01-03,80.12,81.38,79.88,81.38,366287,1119306
2022-01-04,80.08,80.57,79.59,80.52,336528,1094844
2022-01-05,80.2,80.81,79.92,80.08,397842,1073063
2022-01-06,79.55,80.93,79.23,79.71,269533,1047953
2022-01-07,79.43,79.92,79.07,79.39,525265,1031619
2022-01-10,79.39,80.12,79.19,79.55,560870,1016908
2022-01-11,79.35,80.0,79.11,79.71,746354,1008453
2022-01-12,79.55,80.61,79.23,79.71,488805,992214
2022-01-13,81.58,81.98,79.96,79.96,986044,992021
2022-01-14,80.36,82.14,80.16,82.14,359064,972241
2022-01-17,80.81,81.82,80.36,80.52,306543,951438
2022-01-18,79.39,81.38,79.03,81.21,284508,930597
2022-01-19,76.88,79.55,76.39,79.11,796697,926412
2022-01-20,77.0,77.49,76.51,77.04,372429,909100
2022-01-21,76.11,77.57,75.58,76.92,393735,892995
2022-01-24,74.98,76.56,73.31,75.74,662479,885791
2022-01-25,75.34,75.95,73.8,74.61,2186565,926440
2022-01-27,75.66,77.53,74.73,75.3,683454,918847
2022-01-28,79.92,82.87,76.92,77.28,2997813,983815
2022-01-31,79.03,81.82,78.58,81.46,310950,962788
2022-02-01,79.07,80.61,78.7,79.75,255973,940700
2022-02-02,79.19,80.16,79.03,79.39,140869,915705
2022-02-03,79.67,80.61,78.82,79.59,2120925,953368
2022-02-04,78.74,80.69,78.58,80.2,233555,930874
2022-02-07,78.18,79.15,77.08,78.74,222955,908752
2022-02-08,76.88,78.58,76.68,78.58,2124752,946752
2022-02-09,77.32,78.09,77.0,77.16,124853,921067
2022-02-10,77.37,78.9,77.0,77.49,868905,919437
2022-02-11,75.66,76.72,75.14,76.6,266899,899045
2022-02-14,73.8,75.18,72.95,74.53,490094,886266
2022-02-15,74.65,75.02,72.99,74.21,188863,864472
2022-02-16,73.92,75.95,72.34,75.74,1391062,880928
2022-02-17,73.88,74.77,73.72,73.96,115059,856994
2022-02-18,75.62,76.56,73.72,73.88,331536,840574
2022-02-21,72.79,75.54,72.1,74.57,208823,820831
2022-02-22,69.59,73.68,69.06,71.78,809523,820478
2022-02-23,69.02,70.92,68.86,70.72,2387956,869462
2022-02-24,65.54,67.52,64.85,67.24,455842,856536
2022-02-25,66.43,68.21,65.54,66.02,399913,842267
2022-02-28,68.05,69.43,64.81,65.66,246637,823653
2022-03-02,67.4,68.86,66.79,68.78,1829989,855101
2022-03-03,66.79,70.16,66.67,67.64,535244,845106
2022-03-04,65.38,67.6,65.25,67.04,428285,832080
2022-03-07,66.02,67.2,63.67,65.13,769789,830133
2022-03-08,67.04,68.78,64.97,66.1,515252,820293
2022-03-09,67.08,67.77,65.98,67.77,819602,820272
2022-03-10,68.13,68.62,67.48,68.05,407722,807379
2022-03-11,68.05,68.7,67.24,68.05,595522,800759
2022-03-14,66.63,68.33,66.31,68.05,492390,791122
2022-03-15,65.42,67.24,64.85,66.91,354676,777483
2022-03-16,66.15,66.55,65.34,65.62,337988,763749
2022-03-17,67.52,68.01,66.02,66.75,510023,755820
2022-03-21,67.48,68.45,67.12,68.45,332417,742589
2022-03-22,66.51,67.77,66.1,67.6,282923,728224
2022-03-23,66.35,67.64,66.02,66.87,287011,714436
2022-03-24,66.23,67.24,66.02,66.23,415132,705083
2022-03-25,65.29,66.67,64.97,66.51,528728,699572
2022-03-28,64.4,65.21,64.08,65.21,886467,705412
2022-03-29,63.11,65.01,62.66,64.44,1069693,716796
2022-03-30,62.42,64.28,62.01,63.19,729228,717185
2022-03-31,61.89,65.34,61.61,63.11,1997074,757181
2022-04-01,63.67,64.4,61.97,61.97,716819,755920
2022-04-04,66.1,66.75,63.67,64.52,1794591,788378
