Date,Close,High,Low,Open,Volume,EMA_63_Volume
2025-08-12,120.75,120.75,115.0,115.0,5236750,5236750
2025-08-13,126.78,126.78,122.0,122.99,3127048,5170821
2025-08-14,120.44,131.4,120.44,131.4,2636454,5091622
2025-08-18,114.41,114.41,114.41,114.41,208614,4939028
2025-08-19,108.68,108.68,108.68,108.68,140426,4789072
2025-08-20,103.24,106.51,103.24,106.0,2686691,4723373
2025-08-21,104.37,107.18,98.07,98.07,3254196,4677461
2025-08-22,99.15,102.99,99.15,101.26,960058,4561292
2025-08-25,95.16,98.66,94.19,96.8,1615445,4469234
2025-08-26,91.95,94.98,91.1,94.9,574682,4347529
2025-08-28,94.1,96.8,88.01,91.99,1874584,4270250
2025-08-29,95.09,96.65,94.2,95.4,1005359,4168222
2025-09-01,95.82,97.5,93.01,96.5,1420485,4082355
2025-09-02,94.37,98.68,93.7,97.0,1307732,3995648
2025-09-03,93.99,96.0,93.06,95.11,779405,3895141
2025-09-04,93.0,97.0,92.21,96.05,640089,3793420
2025-09-05,90.77,93.81,90.52,93.8,596078,3693503
2025-09-08,85.71,91.47,85.0,90.77,2341089,3651240
2025-09-09,87.97,91.7,84.26,86.0,1903585,3596626
2025-09-10,88.14,89.0,87.16,88.7,653630,3504657
2025-09-11,87.78,91.25,87.0,91.25,1344933,3437166
2025-09-12,86.99,88.84,86.6,88.44,473424,3344549
2025-09-15,87.13,88.08,86.0,86.0,405780,3252712
2025-09-16,86.69,88.24,86.36,88.0,432963,3164595
2025-09-17,85.32,87.74,85.0,86.69,835686,3091817
2025-09-18,90.45,91.3,85.0,85.49,1864712,3053470
2025-09-19,87.52,90.37,87.0,90.37,711715,2980290
2025-09-22,86.52,87.75,86.05,87.75,351540,2898142
2025-09-23,85.81,87.2,85.6,86.85,316402,2817462
2025-09-24,84.83,86.58,84.25,86.0,332399,2739804
2025-09-25,83.44,85.86,82.5,85.4,339380,2664791
2025-09-26,80.66,83.44,80.0,83.4,514812,2597604
2025-09-29,80.88,82.7,79.57,82.7,345093,2527213
2025-09-30,79.6,82.37,79.1,80.7,332757,2458636
2025-10-01,80.15,80.95,78.46,80.39,463744,2396296
2025-10-03,80.06,81.46,79.4,80.78,276064,2330038
2025-10-06,83.39,86.35,81.25,81.25,1099576,2291586
2025-10-07,82.01,84.3,81.24,84.3,242426,2227550
2025-10-08,80.25,82.79,79.82,82.01,279447,2166672
2025-10-09,80.09,80.84,79.6,80.59,230838,2106177
2025-10-10,80.08,81.43,79.9,80.11,209065,2046892
2025-10-13,80.29,80.88,79.33,80.0,199588,1989164
2025-10-14,78.61,83.49,75.86,82.94,675457,1948111
2025-10-15,79.57,80.74,78.61,78.61,273917,1895792
2025-10-16,79.33,80.7,78.1,79.6,188797,1842449
2025-10-17,77.06,79.41,75.5,78.9,350441,1795823
2025-10-20,77.89,78.8,76.5,77.06,229888,1746888
2025-10-21,78.96,80.0,78.6,79.6,77256,1694712
2025-10-23,79.1,80.0,78.3,78.96,225458,1648798
2025-10-24,78.11,80.0,78.0,80.0,239402,1604754
2025-10-27,77.21,78.82,77.01,78.3,209000,1561137
2025-10-28,77.11,77.79,76.56,77.43,159525,1517336
2025-10-29,78.24,78.6,77.2,77.48,209478,1476466
