Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,2018.29,2037.01,1980.5,2023.83,683725,683725
2021-10-01,1972.72,2026.58,1954.9,2006.61,820838,688009
2021-10-04,1989.79,2009.4,1950.8,1976.66,424271,679767
2021-10-05,1967.72,2007.41,1958.69,1973.66,337980,669087
2021-10-06,1926.05,1984.1,1916.76,1982.2,499906,663800
2021-10-07,1944.41,1985.25,1933.08,1933.08,518119,659247
2021-10-08,1959.19,1985.15,1914.61,1963.68,815674,664135
2021-10-11,2044.74,2132.4,1926.74,1945.61,2311543,715617
2021-10-12,2036.86,2081.08,2007.21,2061.72,850605,719835
2021-10-13,2014.15,2136.39,2006.96,2136.39,1540619,745485
2021-10-14,2069.7,2083.48,2012.15,2016.59,628438,741827
2021-10-18,2049.39,2095.36,2041.55,2089.47,434290,732216
2021-10-19,2013.15,2081.33,2001.37,2076.49,386825,721423
2021-10-20,2008.56,2070.4,1983.25,2018.59,682880,720219
2021-10-21,2040.05,2054.08,1989.64,2028.62,696012,719462
2021-10-22,2015.29,2061.52,1997.77,2041.05,360974,708259
2021-10-25,1992.68,2064.26,1958.84,2026.58,859034,712971
2021-10-26,2017.79,2026.58,1985.94,2003.21,234685,698025
2021-10-27,2006.86,2075.49,1998.62,2026.58,759257,699938
2021-10-28,1994.58,2054.53,1972.87,2017.39,612492,697205
2021-10-29,2171.53,2186.01,1846.88,1996.63,5299099,841014
2021-11-01,2175.62,2201.28,2125.56,2164.34,984882,845510
2021-11-02,2175.07,2222.64,2157.35,2161.45,571371,836943
2021-11-03,2160.8,2193.39,2130.5,2172.33,329832,821096
2021-11-04,2167.29,2188.3,2160.35,2166.34,51064,797033
2021-11-08,2158.3,2231.23,2142.18,2171.33,622515,791579
2021-11-09,2151.56,2198.78,2139.93,2165.34,734072,789782
2021-11-10,2133.25,2196.19,2126.41,2155.36,783646,789590
2021-11-11,2143.83,2194.29,2122.96,2141.38,1105941,799476
2021-11-12,2302.36,2321.03,2156.36,2160.35,4162955,904585
2021-11-15,2342.69,2351.03,2281.19,2306.1,1313934,917377
2021-11-16,2360.41,2375.98,2321.43,2345.99,830737,914669
2021-11-17,2328.07,2365.9,2304.21,2359.01,438454,899788
2021-11-18,2247.35,2353.97,2237.02,2339.7,524409,888057
2021-11-22,2159.15,2270.11,2124.41,2256.49,838797,886518
2021-11-23,2175.77,2189.7,2118.47,2159.35,584703,877086
2021-11-24,2138.14,2199.28,2119.42,2187.2,476843,864578
2021-11-25,2068.11,2136.39,2056.52,2130.5,943511,867045
2021-11-26,1884.91,1996.53,1867.69,1987.84,2819594,928062
2021-11-29,1891.3,1941.72,1809.19,1866.85,2315808,971429
2021-11-30,1901.84,1964.68,1887.96,1897.79,2430528,1017026
2021-12-01,1899.59,1957.64,1850.37,1904.68,1712409,1038757
2021-12-02,1908.82,1931.74,1858.21,1858.21,879202,1033771
2021-12-03,1872.49,1975.66,1867.84,1909.77,1109110,1036125
2021-12-06,1855.91,1908.67,1844.88,1874.93,729396,1026540
2021-12-07,1941.97,1960.69,1892.0,1895.85,2025528,1057758
2021-12-08,1983.45,1994.08,1947.96,1968.67,805233,1049867
2021-12-09,2016.09,2025.53,1970.67,1993.93,987230,1047909
2021-12-10,1994.23,2023.08,1978.81,1988.64,743526,1038397
2021-12-13,2006.91,2016.59,1988.59,2014.6,519616,1022185
2021-12-14,1974.16,2021.58,1957.74,1986.64,932488,1019382
2021-12-15,1959.49,2015.54,1953.25,1967.67,468818,1002177
2021-12-16,1962.28,1990.99,1945.26,1982.55,484056,985986
2021-12-17,1952.1,1990.59,1938.72,1953.7,922125,983990
2021-12-20,1815.33,1938.47,1792.12,1938.47,769021,977272
2021-12-21,1835.35,1855.02,1768.01,1833.9,1165324,983149
2021-12-22,1912.32,1926.54,1836.9,1836.9,1071632,985914
2021-12-23,1966.33,1976.66,1918.76,1918.76,1012553,986746
2021-12-24,1964.28,1986.64,1943.82,1985.64,679232,977137
2021-12-27,1999.37,2008.56,1921.8,1938.72,796381,971488
2021-12-28,1997.57,2062.51,1986.64,2006.41,803912,966251
2021-12-29,2004.76,2014.5,1966.78,1986.64,483618,951169
2021-12-30,1976.21,2003.61,1970.67,2003.61,449008,935476
2021-12-31,2014.15,2021.58,1978.46,1986.64,417284,919283
2022-01-03,2010.6,2021.38,1931.74,1997.62,1313054,931588
2022-01-04,2038.26,2056.52,1999.12,2010.6,787910,927098
2022-01-05,1974.41,2024.53,1961.68,2011.6,903873,926372
2022-01-06,1956.84,1987.54,1936.88,1951.7,1064170,930679
2022-01-07,2002.07,2015.34,1966.68,1976.06,1430111,946286
2022-01-10,2051.63,2063.36,1973.66,1973.66,1307846,957585
2022-01-11,2032.12,2111.43,2021.93,2036.56,1461780,973341
2022-01-12,2085.48,2096.46,2037.26,2054.13,725042,965581
2022-01-13,2141.28,2157.25,2087.57,2092.46,1194980,972750
2022-01-14,2161.8,2165.34,2117.77,2117.77,628330,961987
2022-01-17,2161.6,2169.73,2132.4,2161.8,443336,945779
