Date,Close,High,Low,Open,Volume,EMA_63_Volume
2026-03-23,374.2,470.0,374.2,467.7,7314994,7314994
2026-03-24,350.8,383.3,311.1,369.0,2930604,7177981
2026-03-25,376.7,384.5,358.3,359.0,1827047,7010765
2026-03-27,356.45,376.1,345.5,376.05,872085,6818931
2026-03-30,322.9,351.05,315.35,351.05,713962,6628151
2026-04-01,335.55,350.85,328.0,329.65,279739,6429763
2026-04-02,333.65,339.15,320.0,332.0,135774,6233076
2026-04-06,336.9,345.6,331.05,331.05,172836,6043693
2026-04-07,325.25,340.0,323.0,336.6,125039,5858735
2026-04-08,318.2,339.85,315.0,339.85,232725,5682922
2026-04-09,315.75,324.95,314.35,322.0,154254,5510151
2026-04-10,311.2,322.0,306.5,315.6,201181,5344246
2026-04-13,317.25,331.65,303.5,303.7,432199,5190745
2026-04-15,322.0,330.0,313.2,324.7,307364,5038139
2026-04-16,319.05,326.45,315.3,322.0,112188,4884203
2026-04-17,316.6,322.35,313.65,319.0,87885,4734318
2026-04-20,322.55,343.7,312.35,318.15,2094224,4651815
2026-04-21,351.0,387.05,324.05,327.55,2400676,4581467
2026-04-22,344.25,355.8,341.0,347.8,260381,4446433
2026-04-23,342.3,347.05,324.95,346.0,438417,4321182
2026-04-24,327.85,344.75,325.0,342.0,99684,4189261
2026-04-27,330.45,332.15,327.05,331.0,74733,4060682
2026-04-28,326.5,334.9,325.5,330.95,30995,3934754
