Date,Close,High,Low,Open,Volume,EMA_63_Volume
2023-10-03,156.64,156.64,141.6,142.4,122117100,122117100
2023-10-04,164.26,167.99,159.73,164.41,55015120,120020163
2023-10-05,163.11,167.15,158.63,165.8,14856340,116733793
2023-10-06,170.88,172.62,163.31,164.46,14529440,113539907
2023-10-09,162.17,168.34,160.53,167.3,8685101,110263194
2023-10-10,169.04,174.07,162.37,163.31,11096550,107164237
2023-10-11,171.98,175.06,169.49,171.03,6367753,104014347
2023-10-12,171.43,174.07,170.48,172.92,3980057,100888275
2023-10-13,169.54,173.92,168.64,169.84,3828930,97855170
2023-10-16,167.15,170.28,165.06,170.18,3230784,94898158
2023-10-17,176.26,177.01,167.6,168.99,11425810,92289647
2023-10-18,174.37,185.57,172.77,178.15,16767220,89929572
2023-10-19,178.15,180.79,173.57,174.27,6152869,87311550
2023-10-20,175.36,180.74,174.62,178.7,3401682,84689366
2023-10-23,166.65,177.7,165.8,176.46,5466657,82213657
2023-10-25,164.96,170.08,161.67,169.29,3701887,79760164
2023-10-26,171.48,172.72,161.37,165.3,5038029,77425097
2023-10-27,175.46,179.2,172.03,173.27,4251314,75138416
2023-10-30,169.04,176.66,167.79,176.66,5625385,72966134
2023-10-31,168.84,172.18,167.3,170.73,2413657,70761369
2023-11-01,167.45,172.77,166.95,170.13,2823188,68638301
2023-11-02,171.03,172.28,168.84,169.79,1766150,66548546
2023-11-03,170.73,173.97,169.49,171.33,2521359,64547697
2023-11-06,187.51,187.76,176.46,178.25,20256520,63163597
2023-11-07,205.04,206.23,186.57,193.59,23030250,61909430
2023-11-08,201.5,214.55,200.66,207.53,18757430,60560930
2023-11-09,198.57,205.64,197.37,201.65,5998279,58855847
2023-11-10,196.18,205.73,194.03,198.52,7928580,57264370
2023-11-13,199.56,202.1,198.42,202.1,3623579,55588095
2023-11-15,197.02,201.4,196.32,201.15,2728869,53936245
2023-11-16,201.95,205.78,195.68,197.62,6737642,52461288
2023-11-17,208.42,219.08,206.88,212.56,16087740,51324615
2023-11-20,205.69,211.56,204.64,210.12,3768056,49838472
2023-11-21,206.38,208.92,203.2,207.08,3695871,48396516
2023-11-22,207.33,211.06,204.34,206.63,3523114,46994222
2023-11-23,205.04,209.42,203.54,208.52,2434510,45601731
2023-11-24,205.14,207.03,201.7,204.94,3374870,44282142
2023-11-28,207.53,208.52,201.75,205.88,3513501,43008122
2023-11-29,209.87,216.24,206.68,208.03,6690057,41873182
2023-11-30,209.62,214.5,206.93,214.1,3401542,40670943
2023-12-01,218.93,223.56,210.22,210.96,10488870,39727754
2023-12-04,216.69,226.65,215.64,226.65,5283493,38651370
2023-12-05,226.1,233.82,221.07,221.87,11620460,37806655
2023-12-06,237.95,243.87,228.04,228.54,10704710,36959719
2023-12-07,235.21,246.46,234.02,239.99,9396753,36098376
2023-12-08,227.44,239.0,223.86,236.85,7482839,35204140
2023-12-11,230.18,234.51,228.69,229.04,4621566,34248435
2023-12-12,236.95,240.24,228.49,231.03,6968428,33395935
2023-12-13,237.85,240.99,235.01,238.0,3906056,32474376
2023-12-14,235.21,241.38,234.26,240.39,3414212,31566246
2023-12-15,230.63,237.8,229.83,236.7,3399180,30686025
2023-12-18,231.03,234.86,219.08,219.08,7612490,29964977
2023-12-19,223.86,232.52,222.61,231.92,4194862,29159661
2023-12-20,209.97,228.64,209.12,224.56,6646370,28456121
2023-12-21,213.4,217.09,204.79,207.13,5087234,27725843
2023-12-22,219.58,220.72,213.1,215.99,4041864,26985719
2023-12-26,219.98,221.97,218.18,220.37,2093766,26207845
2023-12-27,211.31,222.07,210.37,221.07,4343792,25524593
2023-12-28,209.97,214.2,209.32,213.1,4210099,24858515
2023-12-29,207.43,213.3,207.13,210.37,4144780,24211211
2024-01-01,209.77,211.51,207.43,207.43,4134909,23583827
