Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,73.15,75.75,72.3,73.95,2374,2374
2021-10-01,73.4,74.65,71.35,74.65,2384,2374
2021-10-04,75.9,76.5,71.0,71.0,26404,3125
2021-10-05,76.85,77.0,75.15,76.0,11517,3387
2021-10-06,78.45,80.65,75.0,75.05,26058,4095
2021-10-07,79.3,80.95,75.05,75.05,14308,4415
2021-10-08,76.9,81.0,76.1,77.75,4635,4421
2021-10-11,80.5,80.7,75.25,76.0,30058,5223
2021-10-12,81.9,84.15,79.2,80.0,9567,5358
2021-10-13,84.85,85.95,80.1,82.9,15750,5683
2021-10-14,82.6,88.95,81.35,88.9,7855,5751
2021-10-18,82.25,83.95,80.0,82.0,7555,5807
2021-10-19,80.05,85.75,79.25,85.75,5671,5803
2021-10-20,80.0,83.5,79.0,79.0,10131,5938
2021-10-21,80.2,83.0,80.0,80.0,10800,6090
2021-10-22,83.45,84.2,80.05,84.0,14578,6355
2021-10-25,85.5,86.95,83.0,83.0,15839,6652
2021-10-26,84.2,87.7,83.05,86.5,4892,6597
2021-10-27,85.7,88.0,85.1,85.9,7039,6611
2021-10-28,85.75,87.0,83.6,85.15,1193,6441
2021-10-29,82.5,87.5,82.5,87.5,2117,6306
2021-11-01,85.75,86.6,80.0,84.15,15886,6605
2021-11-02,87.65,89.7,82.1,88.85,14090,6839
2021-11-03,87.75,89.4,85.0,89.4,5624,6801
2021-11-04,87.75,87.75,87.75,87.75,2024,6652
2021-11-08,88.45,91.2,84.0,85.2,23115,7166
2021-11-09,90.05,92.85,85.0,85.0,19997,7567
2021-11-10,94.55,94.55,87.1,87.1,21816,8013
2021-11-11,98.8,99.25,97.5,98.95,23882,8509
2021-11-12,100.25,102.95,97.0,97.05,12334,8628
2021-11-15,95.4,105.2,95.25,105.2,22078,9048
2021-11-16,93.3,99.5,91.05,95.0,10094,9081
2021-11-17,94.5,95.05,92.0,93.3,1977,8859
2021-11-18,89.8,94.5,89.8,90.2,8821,8858
2021-11-22,85.4,89.75,85.35,88.0,14703,9040
2021-11-23,86.85,87.4,81.75,84.0,5218,8921
2021-11-24,84.2,88.85,83.1,88.85,2179,8710
2021-11-25,84.25,85.5,82.0,82.0,1649,8490
2021-11-26,82.2,85.8,81.05,85.8,7679,8464
2021-11-29,79.05,82.35,78.15,80.0,9812,8506
2021-11-30,83.0,83.0,76.1,76.1,5593,8415
2021-12-01,82.5,86.95,82.1,83.25,2746,8238
2021-12-02,83.1,84.15,80.5,84.15,3593,8093
2021-12-03,83.85,87.0,83.5,87.0,726,7863
2021-12-06,84.85,87.8,84.5,87.8,4250,7750
2021-12-07,86.25,87.8,84.85,85.95,2274,7579
2021-12-08,86.0,86.95,84.05,86.25,4743,7490
2021-12-09,85.65,87.0,83.15,86.0,3924,7379
2021-12-10,84.1,85.9,83.05,85.65,4196,7279
2021-12-13,83.75,86.8,82.0,82.7,19798,7670
2021-12-14,84.0,84.65,80.2,80.5,2757,7517
2021-12-15,84.45,86.95,84.0,84.0,5942,7468
2021-12-16,83.5,86.15,82.05,86.15,3535,7345
2021-12-17,83.75,87.0,81.05,83.55,2460,7192
2021-12-20,82.9,87.8,79.65,84.0,5569,7141
2021-12-21,84.1,86.75,82.6,84.6,5162,7079
2021-12-22,88.3,88.3,84.2,86.9,11245,7210
2021-12-23,92.7,92.7,92.7,92.7,4485,7124
2021-12-24,97.3,97.3,97.3,97.3,4192,7033
2021-12-27,102.15,102.15,100.0,102.15,30603,7769
2021-12-28,107.25,107.25,107.25,107.25,28171,8407
2021-12-29,112.6,112.6,112.6,112.6,17689,8697
2021-12-30,118.2,118.2,118.2,118.2,13146,8836
2021-12-31,124.1,124.1,124.1,124.1,10318,8882
2022-01-03,130.3,130.3,130.3,130.3,5253,8769
2022-01-04,136.8,136.8,136.8,136.8,53757,10175
2022-01-05,130.0,143.6,130.0,143.6,61406,11776
2022-01-06,123.5,123.5,123.5,123.5,4709,11555
2022-01-07,129.65,129.65,117.35,117.35,45353,12611
2022-01-10,136.1,136.1,129.0,129.65,36776,13366
2022-01-11,142.7,142.9,136.1,142.9,65507,14995
2022-01-12,137.05,149.8,135.6,147.8,23684,15267
2022-01-13,130.2,130.4,130.2,130.4,4495,14930
2022-01-14,134.55,136.5,123.7,123.7,13186,14876
2022-01-17,132.6,137.0,127.85,137.0,20158,15041
2022-01-18,126.0,130.0,126.0,126.55,6785,14783
2022-01-19,129.75,132.3,119.7,120.0,62582,16277
2022-01-20,129.5,136.0,126.0,136.0,10937,16110
2022-01-21,127.3,132.0,124.05,127.0,10886,15946
2022-01-24,124.5,133.65,120.95,130.0,63752,17440
2022-01-25,127.7,130.7,118.55,127.0,14351,17344
