Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,717.84,728.18,700.98,719.31,97821,97821
2021-10-01,716.76,738.52,711.37,720.34,80539,97280
2021-10-04,719.31,729.65,715.98,718.38,42382,95565
2021-10-05,758.51,765.42,718.72,719.31,239622,100067
2021-10-06,732.3,771.11,726.86,766.11,142194,101383
2021-10-07,743.81,774.24,737.34,737.79,131900,102337
2021-10-08,735.97,751.8,728.77,746.31,59017,100983
2021-10-11,727.74,741.36,721.32,736.02,67947,99951
2021-10-12,750.53,757.09,723.33,729.16,133825,101009
2021-10-13,736.41,754.64,735.04,751.7,101877,101036
2021-10-14,737.79,745.82,730.39,737.0,59682,99744
2021-10-18,735.24,745.04,731.56,744.84,84028,99253
2021-10-19,727.74,743.86,707.8,739.06,145935,100712
2021-10-20,695.79,731.61,692.51,725.24,99940,100687
2021-10-21,684.18,709.56,657.18,695.84,243807,105160
2021-10-22,676.48,688.05,668.45,686.14,72626,104143
2021-10-25,661.59,669.33,641.99,657.62,211274,107491
2021-10-26,655.61,669.97,651.54,656.74,121959,107943
2021-10-27,678.2,697.65,657.72,661.54,304586,114088
2021-10-28,644.34,663.35,627.58,656.64,307451,120131
2021-10-29,635.22,665.41,632.63,644.34,102813,119590
2021-11-01,624.3,641.1,602.05,609.59,247047,123573
2021-11-02,652.42,661.54,635.17,637.13,159352,124691
2021-11-03,642.08,658.6,635.08,651.0,92170,123674
2021-11-04,657.32,660.8,653.55,656.74,21978,120496
2021-11-08,690.5,703.68,658.89,661.39,314286,126552
2021-11-09,691.67,703.68,682.22,686.04,143030,127067
2021-11-10,696.33,707.89,690.94,699.76,144204,127603
2021-11-11,708.68,724.26,690.01,695.25,98827,126703
2021-11-12,717.35,726.02,702.36,712.21,121255,126533
2021-11-15,733.96,739.84,719.51,722.1,90096,125395
2021-11-16,745.48,757.09,727.25,739.94,110488,124929
2021-11-17,749.6,759.44,740.82,750.18,92285,123909
2021-11-18,728.62,763.37,720.34,755.43,83539,122647
2021-11-22,716.67,732.49,675.26,728.67,120811,122590
2021-11-23,723.38,733.08,687.26,718.28,88114,121512
2021-11-24,743.72,758.17,679.96,728.87,193143,123751
2021-11-25,733.87,797.77,721.86,751.7,836474,146023
2021-11-26,702.06,726.17,681.29,725.14,184266,147218
2021-11-29,661.29,694.76,652.81,686.14,111945,146116
2021-11-30,643.46,690.94,622.53,687.02,513031,157582
2021-12-01,654.82,680.35,634.14,634.98,130272,156729
2021-12-02,689.13,714.46,668.59,671.34,1388093,195209
2021-12-03,703.92,710.44,669.77,694.86,170530,194438
2021-12-06,674.62,703.68,666.44,701.28,84729,191009
2021-12-07,673.3,683.25,668.54,681.14,35548,186151
2021-12-08,687.31,690.94,674.38,681.09,60304,182218
2021-12-09,678.39,692.56,674.33,689.91,35851,177644
2021-12-10,676.53,681.14,670.6,676.24,25763,172898
2021-12-13,669.33,692.9,666.44,692.9,33953,168556
2021-12-14,662.27,673.64,657.62,668.01,27821,164158
2021-12-15,648.11,662.91,645.07,661.54,41920,160338
2021-12-16,661.44,681.14,642.28,653.11,320688,165349
2021-12-17,646.0,663.5,638.21,657.42,70076,162372
2021-12-20,645.95,663.25,619.4,636.89,148408,161935
2021-12-21,650.76,659.19,639.58,650.76,118109,160566
2021-12-22,666.68,670.85,648.4,650.76,85488,158219
2021-12-23,664.43,674.28,658.7,661.59,82735,155861
2021-12-24,650.41,664.48,647.03,664.48,27228,151841
2021-12-27,644.09,651.74,638.11,646.3,21986,147783
2021-12-28,658.99,664.13,648.8,650.76,41298,144455
2021-12-29,657.13,664.38,656.2,661.44,17777,140496
2021-12-30,652.67,665.46,640.96,659.58,60353,137992
2021-12-31,667.22,672.66,649.58,661.64,73062,135963
2022-01-03,679.23,681.14,661.49,669.38,74603,134045
2022-01-04,671.78,681.97,666.63,679.23,29379,130774
2022-01-05,662.13,674.28,656.64,671.78,30674,127646
