Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,41.25,42.8,41.0,42.1,414043,414043
2021-10-01,41.45,41.95,41.0,41.0,259476,409212
2021-10-04,41.9,42.5,41.4,41.45,443370,410280
2021-10-05,43.95,44.25,41.7,41.7,1059137,430556
2021-10-06,43.05,45.1,42.8,44.25,963050,447197
2021-10-07,43.4,44.4,42.7,43.35,498507,448800
2021-10-08,42.95,43.75,42.8,43.7,296336,444036
2021-10-11,42.55,43.55,42.5,43.3,303498,439644
2021-10-12,43.3,44.55,42.0,42.9,539861,442776
2021-10-13,43.05,43.65,42.85,43.65,400748,441462
2021-10-14,42.7,43.9,42.55,43.3,382112,439608
2021-10-18,42.7,43.85,42.5,43.1,392311,438130
2021-10-19,41.75,43.9,41.3,42.8,478030,439376
2021-10-20,40.8,42.0,40.2,42.0,444387,439533
2021-10-21,40.55,41.65,40.1,41.2,432718,439320
2021-10-22,40.0,41.2,39.6,41.0,381476,437512
2021-10-25,39.75,40.8,39.4,40.05,347713,434706
2021-10-26,40.5,40.8,39.7,40.4,176372,426633
2021-10-27,43.3,44.3,40.35,40.95,1694218,466245
2021-10-28,41.35,43.5,41.0,43.0,634746,471511
2021-10-29,40.65,42.55,40.25,41.0,561713,474330
2021-11-01,41.55,41.75,41.0,41.5,168784,464781
2021-11-02,43.85,45.65,41.5,41.85,1722567,504087
2021-11-03,42.85,44.5,42.45,44.1,663563,509071
2021-11-04,43.65,44.15,43.0,43.2,251891,501034
2021-11-08,46.7,47.9,43.35,43.8,1827773,542494
2021-11-09,46.8,47.65,45.9,46.85,928325,554552
2021-11-10,47.45,49.4,46.25,46.75,1271275,576949
2021-11-11,46.25,47.8,45.8,47.65,631546,578655
2021-11-12,45.75,47.35,45.1,46.55,487555,575808
2021-11-15,43.5,45.7,43.05,45.7,584990,576095
2021-11-16,41.05,44.4,40.65,43.05,952140,587847
2021-11-17,40.65,42.3,39.8,41.4,973353,599894
2021-11-18,40.7,41.35,39.7,40.5,496019,596648
2021-11-22,39.4,40.95,39.1,40.85,542216,594947
2021-11-23,40.45,40.65,38.6,39.85,414205,589298
2021-11-24,41.6,42.1,40.5,40.75,531735,587500
2021-11-25,41.35,41.85,41.15,41.85,145349,573682
2021-11-26,40.2,41.45,40.0,40.95,333985,566192
2021-11-29,39.2,40.2,38.35,40.0,433487,562045
2021-11-30,39.4,40.7,39.0,40.0,219134,551329
2021-12-01,40.05,42.9,39.55,40.0,357049,545258
2021-12-02,40.5,40.75,39.75,40.3,312442,537982
2021-12-03,40.45,41.15,40.2,40.5,173489,526592
2021-12-06,39.65,40.9,39.15,40.9,190807,516098
2021-12-07,40.55,41.0,39.8,39.8,268983,508376
2021-12-08,41.25,41.5,40.65,40.65,305143,502025
2021-12-09,41.35,41.7,40.8,41.5,155166,491186
2021-12-10,41.9,43.4,41.1,41.8,571023,493680
2021-12-13,41.9,43.05,41.55,43.0,374567,489958
2021-12-14,43.0,43.8,41.5,41.5,723374,497252
2021-12-15,42.15,43.4,41.9,43.0,401214,494251
2021-12-16,41.1,42.8,40.9,42.5,284862,487708
2021-12-17,40.05,41.4,40.0,41.4,210188,479035
2021-12-20,38.0,39.8,37.5,39.8,484101,479194
2021-12-21,38.25,39.35,38.05,39.1,346129,475035
2021-12-22,38.95,39.2,38.35,38.5,173264,465605
2021-12-23,40.75,41.4,39.0,39.6,811965,476429
2021-12-24,39.8,40.8,39.7,40.7,275029,470135
2021-12-27,40.35,41.5,39.0,39.8,420150,468573
2021-12-28,41.2,42.3,40.55,40.7,418759,467016
2021-12-29,42.35,43.05,41.0,41.45,744836,475698
2021-12-30,41.6,42.4,41.45,42.2,225923,467892
2021-12-31,42.45,43.2,41.55,41.6,620576,472664
2022-01-03,43.4,43.95,42.05,42.6,707395,479999
2022-01-04,42.95,43.9,42.3,43.4,617309,484290
2022-01-05,42.7,43.7,42.2,42.9,342811,479869
2022-01-06,43.7,44.25,41.8,42.2,595419,483480
2022-01-07,43.9,44.85,42.85,44.0,1053824,501303
2022-01-10,44.4,45.65,44.05,44.5,882552,513217
2022-01-11,45.8,46.45,43.8,44.5,1266304,536751
2022-01-12,45.15,47.1,44.6,46.3,988776,550877
2022-01-13,44.75,45.35,44.05,45.35,435002,547256
2022-01-14,44.65,45.2,44.25,44.5,260174,538284
2022-01-17,46.4,46.95,44.75,44.75,1010590,553044
2022-01-18,45.25,47.75,44.55,46.75,1071766,569254
2022-01-19,44.85,46.2,44.4,45.0,578356,569538
2022-01-20,45.6,46.45,44.95,45.0,558059,569180
