Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,17.08,17.59,16.75,17.59,345938,345938
2021-10-01,17.03,17.45,16.94,17.45,645159,355288
2021-10-04,17.68,17.82,16.99,17.12,1162502,380514
2021-10-05,17.91,18.0,17.68,17.77,567715,386364
2021-10-06,17.77,18.33,17.36,18.33,148585,378933
2021-10-07,17.5,18.37,17.4,18.37,131383,371197
2021-10-08,17.59,17.87,17.45,17.63,98157,362665
2021-10-11,17.54,17.91,17.5,17.63,104610,354600
2021-10-12,17.45,18.1,17.4,17.59,178245,349089
2021-10-13,17.54,17.73,17.4,17.59,47912,339677
2021-10-14,17.5,17.77,17.4,17.77,99470,332171
2021-10-18,19.21,19.21,17.4,17.59,994639,352873
2021-10-19,18.19,20.27,17.77,19.16,747117,365193
2021-10-20,18.05,18.65,17.68,18.47,135838,358026
2021-10-21,18.19,18.56,18.0,18.42,89062,349621
2021-10-22,17.4,18.37,16.89,18.37,359596,349932
2021-10-25,17.5,18.28,17.5,17.59,437401,352666
2021-10-26,17.63,18.05,17.5,17.87,559858,359140
2021-10-27,17.5,18.42,17.22,18.42,112886,351445
2021-10-28,17.59,17.91,17.4,17.63,66934,342554
2021-10-29,17.36,17.87,17.31,17.87,180135,337478
2021-11-01,17.45,17.68,17.4,17.5,52994,328588
2021-11-02,17.73,18.05,17.5,17.5,147005,322914
2021-11-03,17.59,17.96,17.54,17.73,42472,314150
2021-11-04,17.82,17.96,17.59,17.68,131952,308456
2021-11-08,17.59,18.14,17.22,18.0,268297,307201
2021-11-09,17.5,17.82,17.5,17.59,283066,306447
2021-11-10,17.63,17.77,17.54,17.59,165737,302050
2021-11-11,17.59,17.91,17.59,17.82,265114,300896
2021-11-12,17.68,17.96,17.5,17.82,232453,298757
2021-11-15,17.54,17.87,17.54,17.73,90943,292262
2021-11-16,17.54,17.73,17.54,17.68,52637,284774
2021-11-17,17.45,17.73,17.4,17.73,115939,279498
2021-11-18,16.89,17.68,16.71,17.54,86760,273475
2021-11-22,17.03,18.56,16.89,17.12,153522,269726
2021-11-23,17.12,17.5,17.08,17.5,93499,264219
2021-11-24,18.47,18.84,17.26,17.26,941429,285382
2021-11-25,18.19,19.16,18.0,18.61,474318,291286
2021-11-26,18.05,18.7,18.0,18.28,93802,285115
2021-11-29,18.05,18.7,17.96,18.14,72942,278485
2021-11-30,18.42,19.02,18.05,18.42,448393,283794
2021-12-01,17.91,18.79,17.87,18.79,130308,278998
2021-12-02,18.42,18.7,18.28,18.42,96539,273296
2021-12-03,18.42,18.84,18.37,18.51,92307,267640
2021-12-06,17.87,18.79,17.22,18.79,115608,262889
2021-12-07,18.24,18.47,17.96,17.96,227828,261793
2021-12-08,20.32,21.85,18.33,18.42,3696025,369113
2021-12-09,20.74,21.57,20.18,20.97,1091829,391698
2021-12-10,21.2,21.61,20.18,20.46,526925,395924
2021-12-13,20.74,22.17,20.64,21.43,432158,397056
2021-12-14,20.55,21.48,20.41,20.64,324278,394782
2021-12-15,19.62,21.15,19.3,20.83,217556,389243
2021-12-16,18.79,20.55,18.74,20.09,165258,382244
2021-12-17,17.54,19.21,16.11,19.21,540895,387202
2021-12-20,16.11,17.54,15.32,17.54,235856,382472
2021-12-21,17.12,17.82,16.43,16.66,241946,378081
2021-12-22,17.54,17.82,17.12,17.12,75690,368631
2021-12-23,17.91,18.05,17.36,17.36,66216,359180
2021-12-24,18.19,18.42,17.4,18.14,162537,353035
2021-12-27,17.54,18.19,14.81,18.19,363886,353374
2021-12-28,17.36,18.0,17.22,17.77,139642,346695
2021-12-29,17.96,18.98,17.45,17.96,325868,346044
2021-12-30,17.5,18.47,17.31,18.47,169994,340543
2021-12-31,17.59,18.05,16.8,17.68,162173,334969
2022-01-03,17.45,17.77,17.4,17.68,107767,327869
2022-01-04,17.4,17.73,17.31,17.59,84084,320250
2022-01-05,17.12,17.63,16.94,17.4,131156,314341
2022-01-06,17.03,17.26,16.29,17.12,85620,307194
2022-01-07,18.37,20.41,17.03,17.03,2108551,363486
2022-01-10,19.53,19.9,16.43,18.98,1085906,386062
2022-01-11,18.74,21.24,17.68,21.24,763916,397869
2022-01-12,18.37,19.39,18.24,18.56,170754,390772
2022-01-13,18.14,18.65,17.63,18.1,210220,385130
2022-01-14,20.87,21.57,17.73,18.14,2081225,438133
2022-01-17,25.04,25.04,21.15,21.15,3719614,540679
2022-01-18,23.47,27.4,23.14,25.59,2626010,605846
2022-01-19,24.16,24.48,23.14,23.84,837069,613071
2022-01-20,24.02,24.99,23.6,24.35,566420,611613
2022-01-21,22.96,23.97,21.71,23.97,587843,610871
2022-01-24,21.2,23.6,20.87,23.6,361951,603092
2022-01-25,22.22,22.86,19.95,21.2,390130,596437
2022-01-27,22.08,22.36,20.92,21.94,285335,586715
2022-01-28,21.75,23.23,21.38,22.12,345234,579169
2022-01-31,21.2,22.49,20.92,22.49,293879,570253
