Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,6.3,6.3,5.85,6.0,769842,769842
2021-10-01,6.6,6.6,6.4,6.4,342781,756496
2021-10-04,6.9,6.9,6.9,6.9,141699,737283
2021-10-05,7.2,7.2,7.0,7.2,659569,734855
2021-10-06,7.55,7.55,7.55,7.55,425153,725177
2021-10-07,7.9,7.9,7.9,7.9,279300,711243
2021-10-08,8.25,8.25,8.25,8.25,263377,697247
2021-10-11,8.65,8.65,8.65,8.65,96811,678484
2021-10-12,8.25,9.05,8.25,9.05,1216912,695309
2021-10-13,7.85,7.85,7.85,7.85,81193,676118
2021-10-14,7.5,7.5,7.5,7.5,38162,656182
2021-10-18,7.15,7.45,7.15,7.15,793608,660477
2021-10-19,6.8,7.1,6.8,6.8,736330,662847
2021-10-20,7.05,7.1,6.55,6.55,396853,654535
2021-10-21,6.95,7.2,6.9,7.1,174027,639519
2021-10-22,7.25,7.25,6.9,7.1,208324,626044
2021-10-25,6.9,7.3,6.9,7.25,118373,610179
2021-10-26,6.75,7.0,6.6,6.85,125735,595040
2021-10-27,6.8,6.85,6.6,6.65,164803,581595
2021-10-28,6.7,6.95,6.65,6.7,72541,565687
2021-10-29,6.85,7.0,6.65,6.85,121363,551802
2021-11-01,7.15,7.15,6.85,7.0,219786,541427
2021-11-02,7.25,7.45,6.85,7.45,160677,529528
2021-11-03,7.1,7.4,7.05,7.35,101487,516152
2021-11-04,7.05,7.4,7.0,7.4,39326,501251
2021-11-08,7.15,7.25,7.0,7.2,83995,488212
2021-11-09,7.0,7.35,6.9,7.2,244517,480596
2021-11-10,7.15,7.3,7.05,7.2,152503,470343
2021-11-11,7.15,7.35,7.1,7.3,76063,458022
2021-11-12,6.95,7.3,6.85,7.15,157490,448631
2021-11-15,7.2,7.25,6.95,7.05,364833,446012
2021-11-16,7.1,7.3,7.05,7.15,99825,435194
2021-11-17,6.9,7.2,6.85,7.2,89820,424401
2021-11-18,6.9,7.0,6.85,6.9,45370,412556
2021-11-22,6.8,7.05,6.75,7.05,57883,401472
2021-11-23,6.95,6.95,6.7,6.8,60260,390809
2021-11-24,6.85,7.1,6.8,7.05,104743,381870
2021-11-25,7.0,7.15,6.8,6.95,134782,374148
2021-11-26,7.35,7.35,6.95,7.0,502128,378148
2021-11-29,7.7,7.7,7.1,7.65,476882,381233
2021-11-30,7.35,7.65,7.35,7.65,346787,380157
2021-12-01,7.7,7.7,7.1,7.1,308487,377917
2021-12-02,7.5,8.05,7.4,8.05,229935,373292
2021-12-03,7.5,7.6,7.35,7.5,209090,368161
2021-12-06,7.8,7.85,7.35,7.6,479564,371642
2021-12-07,8.0,8.15,7.8,7.95,213143,366689
2021-12-08,7.8,8.2,7.7,8.2,517147,371391
2021-12-09,8.0,8.05,7.7,7.7,184144,365540
2021-12-10,8.25,8.4,8.0,8.25,662498,374820
2021-12-13,8.25,8.5,8.2,8.5,356063,374233
2021-12-14,8.15,8.35,8.05,8.35,80407,365051
2021-12-15,8.15,8.4,8.0,8.3,205591,360068
2021-12-16,8.05,8.45,7.95,8.2,314458,358643
2021-12-17,7.7,8.15,7.65,7.95,371642,359049
2021-12-20,7.35,7.8,7.35,7.65,93416,350748
2021-12-21,7.05,7.4,7.05,7.4,225897,346846
2021-12-22,7.3,7.4,7.1,7.1,123391,339863
2021-12-23,7.65,7.65,7.3,7.5,118033,332931
2021-12-24,7.45,7.8,7.35,7.8,109767,325957
2021-12-27,7.8,7.8,7.6,7.7,142124,320212
2021-12-28,8.15,8.15,8.05,8.1,367232,321682
2021-12-29,8.55,8.55,8.15,8.15,292704,320776
2021-12-30,8.25,8.95,8.15,8.55,422620,323959
2021-12-31,8.35,8.65,7.85,8.35,261329,322002
2022-01-03,8.75,8.75,8.2,8.35,461345,326356
2022-01-04,8.55,9.15,8.5,9.1,565635,333834
2022-01-05,8.15,8.65,8.15,8.65,516970,339557
2022-01-06,8.55,8.55,7.9,8.0,367432,340428
2022-01-07,8.95,8.95,8.5,8.95,507749,345656
2022-01-10,9.35,9.35,9.3,9.35,111954,338353
2022-01-11,9.8,9.8,9.3,9.75,588691,346176
2022-01-12,9.9,10.25,9.8,10.2,679021,356578
2022-01-13,9.75,10.2,9.45,10.2,515570,361546
