Date,Close,High,Low,Open,Volume,EMA_63_Volume
2022-04-07,159.35,159.5,153.0,159.5,154209,154209
2022-04-08,161.95,164.15,152.15,163.7,48757,150913
2022-04-11,159.4,164.8,157.5,158.5,25972,147009
2022-04-12,159.35,162.0,152.0,159.35,30352,143363
2022-04-13,157.55,162.25,155.05,162.25,36510,140024
2022-04-18,152.15,160.0,151.2,160.0,22454,136350
2022-04-19,158.55,159.75,152.4,155.0,22178,132782
2022-04-20,152.25,159.9,150.65,159.1,66708,130717
2022-04-21,154.55,157.4,150.0,153.05,11152,126981
2022-04-22,151.35,155.6,148.9,153.95,8805,123288
2022-04-25,144.35,157.8,144.0,157.8,9595,119735
2022-04-26,146.05,149.2,141.1,149.2,24404,116756
2022-04-27,144.05,149.65,140.05,146.05,43500,114466
2022-04-28,145.45,148.9,145.0,148.9,24167,111645
2022-04-29,143.5,148.85,141.1,146.0,15450,108639
2022-05-02,137.95,145.9,136.35,145.9,34194,106312
2022-05-04,138.4,143.9,135.55,143.9,47723,104481
2022-05-05,137.35,141.2,136.9,138.0,2633,101298
2022-05-06,133.85,144.0,131.0,139.95,16873,98660
2022-05-09,131.5,139.95,131.0,139.95,8162,95832
2022-05-10,133.65,135.0,128.2,134.95,20157,93467
2022-05-11,129.25,134.0,127.0,134.0,18401,91121
2022-05-12,122.8,130.65,122.8,129.0,17552,88822
2022-05-13,122.35,128.9,118.2,122.6,19936,86670
2022-05-16,123.65,128.4,119.0,127.0,13611,84386
2022-05-17,129.35,129.8,122.0,122.0,20854,82401
2022-05-18,125.6,133.05,123.25,129.3,18376,80400
2022-05-19,124.65,127.75,121.1,124.0,8232,78145
2022-05-20,125.7,130.85,122.4,130.85,6097,75893
2022-05-23,123.25,128.45,122.15,128.45,7190,73746
2022-05-24,119.65,126.25,118.3,126.25,9146,71728
2022-05-25,114.9,123.4,114.0,121.75,5978,69673
2022-05-26,112.7,116.9,110.05,116.0,20405,68133
2022-05-27,118.3,118.3,114.0,117.0,2524,66083
2022-05-30,119.7,123.8,119.0,123.7,3933,64141
2022-05-31,119.05,122.0,118.05,122.0,6515,62340
2022-06-01,122.05,124.5,120.3,124.5,7131,60615
2022-06-02,123.55,124.05,121.65,122.3,6847,58934
2022-06-03,127.9,129.7,123.85,127.6,20569,57736
2022-06-06,129.85,132.8,125.95,128.0,7594,56169
2022-06-07,128.35,136.95,126.0,131.55,2561,54493
2022-06-08,126.7,134.95,122.0,134.95,5524,52963
2022-06-09,127.45,135.75,123.0,135.75,8371,51570
2022-06-10,128.9,136.0,125.0,127.0,1155,49994
2022-06-13,123.9,128.5,120.0,126.5,6398,48632
2022-06-14,127.95,129.15,121.65,125.3,2550,47192
2022-06-15,123.75,133.5,119.0,133.5,10310,46039
2022-06-16,115.85,132.5,111.55,132.5,14600,45057
2022-06-17,116.7,124.5,108.05,124.45,8820,43924
2022-06-20,115.5,124.0,110.1,124.0,6701,42761
2022-06-21,115.0,121.0,113.5,121.0,8313,41684
2022-06-22,117.0,118.8,113.0,117.9,10511,40710
2022-06-23,117.6,124.0,115.0,124.0,73978,41750
2022-06-24,120.3,122.05,114.0,119.95,28385,41332
2022-06-27,121.9,122.45,119.6,120.9,5693,40218
2022-06-28,120.95,132.0,116.95,132.0,27335,39816
2022-06-29,120.35,122.0,117.25,122.0,8360,38833
2022-06-30,119.55,124.4,116.05,120.1,16265,38128
2022-07-01,119.15,125.0,117.0,125.0,4732,37084
2022-07-04,117.0,119.95,114.25,116.65,2507,36003
2022-07-05,118.1,124.0,110.0,124.0,5577,35052
2022-07-06,114.9,125.9,111.95,125.9,11688,34322
2022-07-07,117.8,119.65,115.95,117.85,2909,33341
2022-07-08,118.9,125.95,117.5,125.95,17581,32848
2022-07-11,119.6,120.95,117.1,120.95,9732,32126
2022-07-12,117.95,125.0,115.0,125.0,1859,31180
2022-07-13,117.5,120.0,113.3,120.0,2707,30290
2022-07-14,113.85,119.45,111.05,119.45,15618,29832
2022-07-15,114.4,122.0,112.0,122.0,10764,29236
2022-07-18,113.7,119.5,110.65,119.35,25621,29123
2022-07-19,113.35,117.0,110.0,113.9,5912,28397
2022-07-20,108.55,114.05,105.0,114.05,12501,27901
2022-07-21,104.7,112.7,101.4,108.0,19605,27641
2022-07-22,114.95,115.15,104.5,107.95,146599,31359
2022-07-25,116.35,122.0,112.5,115.0,16521,30895
2022-07-26,110.55,119.3,107.1,117.0,19656,30544
2022-07-27,117.45,120.0,109.15,117.9,18898,30180
2022-07-28,116.8,120.5,115.3,117.7,27819,30106
2022-07-29,114.8,117.9,113.8,117.9,5332,29332
2022-08-01,108.15,116.75,106.0,116.75,19154,29014
2022-08-02,107.4,111.55,105.95,107.35,9392,28401
2022-08-03,109.25,110.95,107.0,110.4,1846,27571
2022-08-04,108.95,110.8,102.8,110.8,8987,26990
2022-08-05,121.85,130.7,112.5,112.5,291617,35260
2022-08-08,119.9,125.0,117.4,121.85,44051,35534
2022-08-10,114.65,121.9,109.45,119.0,44835,35825
2022-08-11,115.1,118.7,112.0,113.0,16448,35219
2022-08-12,113.7,122.0,112.2,122.0,14669,34577
