Date,Close,High,Low,Open,Volume,EMA_63_Volume
2025-10-08,85.57,85.57,81.1,81.5,1881994,1881994
2025-10-09,89.84,89.84,89.84,89.84,30070,1824121
2025-10-10,94.33,94.33,94.33,94.33,19062,1767713
2025-10-13,99.03,99.04,96.22,99.04,856454,1739236
2025-10-14,95.62,98.05,94.07,94.07,491515,1700245
2025-10-15,90.87,94.8,90.83,94.0,286238,1656057
2025-10-16,89.83,91.0,87.05,90.81,166140,1609497
2025-10-17,90.97,91.99,87.05,88.75,84438,1561839
2025-10-20,90.16,93.5,88.14,90.5,84778,1515681
2025-10-21,91.44,93.0,90.0,90.0,36365,1469452
2025-10-23,92.09,93.45,90.27,91.0,45806,1424963
2025-10-24,93.36,98.39,91.99,93.0,386650,1392516
2025-10-27,94.46,100.0,93.56,94.89,359187,1360224
2025-10-28,93.75,96.5,92.5,95.98,119634,1321456
2025-10-29,89.93,91.95,87.2,91.95,297376,1289453
2025-10-30,89.86,90.79,89.0,89.99,194883,1255248
2025-10-31,90.78,91.8,89.12,91.4,86189,1218715
2025-11-03,89.43,90.77,89.0,90.05,80127,1183134
2025-11-04,88.9,89.76,88.51,89.05,53534,1147834
2025-11-06,91.02,92.34,87.0,88.9,228594,1119108
2025-11-07,90.59,91.23,89.89,91.02,48683,1085657
2025-11-10,89.71,90.5,88.67,89.2,68799,1053880
2025-11-11,90.14,91.0,89.18,90.71,52411,1022584
2025-11-12,90.03,90.44,89.0,89.0,47369,992109
2025-11-13,89.18,90.99,89.01,90.99,39351,962335
2025-11-14,90.85,94.31,87.97,89.17,171850,937632
2025-11-17,94.25,95.9,89.89,90.0,1299790,948950
2025-11-18,101.9,107.4,95.0,96.55,2282266,990616
2025-11-19,97.68,104.59,95.35,104.12,1210242,997479
2025-11-20,94.78,97.51,93.4,97.51,270285,974754
2025-11-21,93.04,94.7,92.5,93.9,99873,947414
2025-11-24,88.49,92.99,87.25,91.4,118981,921526
2025-11-25,88.69,89.73,88.5,88.8,46592,894184
2025-11-26,89.39,91.05,88.7,88.7,46460,867693
2025-11-27,88.75,90.02,88.51,90.01,37192,841739
2025-11-28,95.31,97.78,88.16,88.75,186697,821269
2025-12-01,95.78,96.5,91.76,93.99,82444,798181
2025-12-02,92.06,98.28,91.82,95.78,95847,776233
2025-12-03,90.93,92.57,89.81,91.25,47341,753455
2025-12-04,90.12,91.99,89.99,90.7,38214,731104
2025-12-05,89.53,90.59,89.05,90.12,21221,708920
2025-12-08,87.39,90.44,86.0,89.07,46970,688234
2025-12-09,91.39,92.0,85.1,87.39,72741,669000
2025-12-10,91.98,93.01,88.81,91.0,56760,649867
2025-12-11,90.38,91.59,90.0,90.0,16476,630074
2025-12-12,88.91,91.25,88.45,90.83,30132,611326
