Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,12.93,13.19,12.66,13.19,76666,76666
2021-10-01,12.9,13.16,12.75,13.16,18132,74836
2021-10-04,13.25,13.46,12.78,13.07,222906,79463
2021-10-05,13.63,13.72,13.16,13.55,187020,82825
2021-10-06,13.4,14.11,13.13,13.99,193250,86275
2021-10-07,13.99,14.46,13.57,13.57,435012,97173
2021-10-08,13.63,14.4,13.46,14.19,110760,97598
2021-10-11,13.69,14.16,13.55,13.63,129922,98608
2021-10-12,13.49,13.99,13.34,13.69,92471,98416
2021-10-13,13.6,13.9,13.52,13.9,86193,98034
2021-10-14,13.43,13.99,13.31,13.6,89227,97759
2021-10-18,13.4,14.05,13.28,13.43,72461,96968
2021-10-19,12.96,13.57,12.93,13.4,106771,97275
2021-10-20,13.16,13.57,12.54,13.4,66030,96298
2021-10-21,13.57,14.08,13.28,13.69,213683,99967
2021-10-22,13.43,14.11,13.16,13.87,120354,100604
2021-10-25,13.57,13.99,13.07,13.78,256585,105478
2021-10-26,14.93,14.93,13.87,13.87,608335,121192
2021-10-27,16.41,16.41,14.93,16.41,2809347,205197
2021-10-28,15.86,16.97,14.75,14.75,995406,229891
2021-10-29,15.72,16.29,15.57,16.15,177477,228253
2021-11-01,15.43,16.05,15.23,16.05,102072,224310
2021-11-02,15.14,15.76,14.99,15.43,123112,221148
2021-11-03,14.37,15.43,14.12,15.38,207479,220720
2021-11-04,14.94,15.19,13.98,14.37,98728,216908
2021-11-08,15.14,15.33,14.8,15.28,142061,214569
2021-11-09,14.37,15.33,14.17,15.33,276759,216513
2021-11-10,14.12,14.56,14.03,14.51,205845,216179
2021-11-11,15.52,15.52,13.98,14.32,1019484,241282
2021-11-12,15.04,16.29,14.94,15.96,300176,243123
2021-11-15,14.61,15.23,14.56,14.56,109988,238962
2021-11-16,14.75,15.38,14.46,14.85,169536,236793
2021-11-17,15.04,15.28,14.56,15.04,172783,234792
2021-11-18,14.41,15.33,14.27,15.33,175494,232939
2021-11-22,13.93,14.7,13.74,14.7,86320,228358
2021-11-23,14.08,14.65,13.55,13.93,158050,226160
2021-11-24,14.12,14.56,13.98,14.41,57064,220876
2021-11-25,15.52,15.52,14.41,14.41,791897,238720
2021-11-26,14.9,15.52,14.7,15.09,158381,236210
2021-11-29,14.22,15.09,13.98,15.04,78075,231268
2021-11-30,14.32,15.04,14.22,14.85,101754,227221
2021-12-01,14.32,14.75,14.27,14.56,20930,220774
2021-12-02,14.51,15.04,14.32,14.61,63517,215860
2021-12-03,14.22,14.7,14.12,14.51,97221,212152
2021-12-06,14.08,14.56,13.98,14.41,114500,209101
2021-12-07,14.32,15.47,14.08,14.37,347841,213436
2021-12-08,14.37,14.61,14.27,14.37,75457,209125
2021-12-09,14.37,14.61,14.22,14.51,86144,205281
2021-12-10,14.37,14.8,14.22,14.61,385854,210924
2021-12-13,14.37,14.75,14.32,14.75,129174,208370
2021-12-14,14.37,14.61,14.27,14.46,62553,203813
2021-12-15,14.56,14.75,14.27,14.7,166216,202638
