Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,683.13,695.46,680.91,693.59,135872,135872
2021-10-01,676.91,685.89,671.14,677.5,110235,135070
2021-10-04,697.78,705.38,678.19,678.78,318048,140788
2021-10-05,707.21,724.38,689.84,693.39,406258,149084
2021-10-06,690.23,712.83,687.86,709.08,158798,149388
2021-10-07,712.88,736.07,700.69,700.69,567559,162456
2021-10-08,727.09,742.14,706.61,715.5,499755,172996
2021-10-11,733.36,755.96,728.33,728.33,452436,181729
2021-10-12,729.56,739.87,718.46,736.91,291479,185158
2021-10-13,740.91,758.62,733.36,735.14,534122,196064
2021-10-14,726.85,746.73,721.02,741.25,247220,197662
2021-10-18,724.87,744.12,721.42,732.27,205996,197923
2021-10-19,690.97,734.25,683.52,728.82,245054,199395
2021-10-20,667.24,692.8,663.73,692.8,188567,199057
2021-10-21,671.14,682.93,661.22,675.72,167553,198072
2021-10-22,666.25,692.8,654.56,677.8,189521,197805
2021-10-25,643.75,672.02,639.21,664.18,128868,195651
2021-10-26,662.99,669.11,651.3,651.3,144265,194045
2021-10-27,655.54,676.76,651.94,665.12,122031,191795
2021-10-28,646.96,673.41,643.7,659.24,231990,193051
2021-10-29,638.96,650.36,632.75,650.36,129327,191059
2021-11-01,644.05,650.36,638.91,645.33,131721,189205
2021-11-02,650.76,656.78,644.05,644.14,167272,188520
2021-11-03,654.51,668.13,651.94,655.1,115202,186228
2021-11-04,656.43,659.24,653.32,653.32,17789,180965
2021-11-08,654.41,664.28,651.45,659.24,130159,179377
2021-11-09,658.65,663.19,652.34,657.12,95203,176747
2021-11-10,660.67,668.18,652.93,655.1,159168,176197
2021-11-11,662.99,680.96,657.27,662.8,134066,174881
2021-11-12,658.6,668.27,655.2,667.14,65106,171450
2021-11-15,643.11,663.14,641.23,662.94,108983,169498
2021-11-16,645.77,651.35,639.7,643.45,84059,166828
2021-11-17,656.92,676.96,641.04,644.93,171910,166987
2021-11-18,648.83,666.15,647.4,657.86,85412,164438
2021-11-22,609.5,650.36,602.99,650.36,125251,163213
2021-11-23,615.33,625.0,602.05,608.67,138010,162425
2021-11-24,610.0,624.41,604.62,617.3,80972,159880
2021-11-25,731.98,731.98,610.0,610.34,2087230,220110
2021-11-26,683.52,766.67,673.31,720.43,1794322,269304
2021-11-29,659.59,705.33,646.71,680.46,1017068,292671
2021-11-30,645.87,690.28,642.47,656.63,360172,294781
2021-12-01,716.29,735.23,649.37,661.12,2161662,353121
2021-12-02,701.88,724.38,697.73,715.5,644363,362222
2021-12-03,770.52,819.02,691.91,702.47,5643593,527265
2021-12-06,801.6,841.62,771.75,773.53,3361002,615819
2021-12-07,822.13,860.47,802.74,809.15,2774523,683279
2021-12-08,983.64,986.55,858.89,865.5,6059866,851297
2021-12-09,926.2,1008.6,916.67,986.89,3094044,921383
2021-12-10,961.53,998.69,916.92,925.41,2809304,980380
2021-12-13,940.85,985.91,930.64,973.08,895377,977724
