Date,Close,High,Low,Open,Volume,EMA_63_Volume
2022-04-12,118.75,118.75,118.75,118.75,16155,16155
2022-04-13,124.65,124.65,124.65,124.65,21410,16319
2022-04-18,130.0,130.85,118.5,130.85,400462,28323
2022-04-19,135.9,136.5,129.0,134.6,289553,36487
2022-04-20,129.55,142.65,129.15,142.65,226290,42418
2022-04-21,128.6,134.0,123.1,129.9,125146,45003
2022-04-22,128.3,135.0,125.0,132.7,94436,46548
2022-04-25,121.9,128.3,121.9,128.3,28352,45979
2022-04-26,127.95,127.95,115.85,126.0,49877,46101
2022-04-27,134.25,134.3,121.6,134.3,134382,48860
2022-04-28,140.95,140.95,134.5,136.95,87729,50074
2022-04-29,147.55,147.95,135.35,144.0,135873,52756
2022-05-02,153.05,154.9,140.2,152.0,121974,54919
2022-05-04,145.4,160.7,145.4,160.7,76000,55578
2022-05-05,138.15,144.95,138.15,138.15,49386,55384
2022-05-06,135.55,145.05,131.25,131.25,119247,57380
2022-05-09,136.85,139.45,129.0,135.0,38985,56805
2022-05-10,130.05,137.0,130.05,137.0,15771,55523
2022-05-11,123.6,135.8,123.55,127.05,70572,55993
2022-05-12,118.2,126.5,117.45,126.5,53258,55907
2022-05-13,124.1,124.1,115.0,123.5,27521,55020
2022-05-16,130.3,130.3,120.35,126.5,20807,53951
2022-05-17,127.3,136.0,124.85,136.0,26798,53103
2022-05-18,133.65,133.65,123.05,130.0,155591,56305
2022-05-19,127.95,133.05,127.0,133.05,16062,55048
2022-05-20,132.7,133.9,123.25,130.3,13657,53754
2022-05-23,128.95,136.0,128.2,128.5,8797,52349
2022-05-24,126.0,132.45,125.15,131.5,5913,50898
2022-05-25,119.7,131.5,119.7,131.5,91618,52171
2022-05-26,117.05,124.0,113.75,120.9,33744,51595
2022-05-27,122.9,122.9,117.4,119.8,17332,50524
2022-05-30,121.0,123.4,119.8,119.8,40031,50196
2022-05-31,121.1,127.05,116.1,116.1,26184,49446
2022-06-01,127.15,127.15,119.55,119.55,48732,49423
2022-06-02,125.1,131.55,123.25,130.0,13360,48296
2022-06-03,128.65,129.9,126.0,129.9,7131,47010
2022-06-06,126.6,130.3,124.6,129.6,35532,46651
2022-06-07,130.65,133.0,126.35,126.95,8178,45449
2022-06-08,143.7,143.7,128.8,129.45,84981,46684
2022-06-09,142.05,158.05,141.0,152.0,179661,50840
2022-06-10,151.0,153.95,138.0,142.05,51343,50856
2022-06-13,139.55,153.0,136.55,153.0,36974,50422
2022-06-14,138.9,143.3,132.65,135.8,16471,49361
2022-06-15,138.25,142.25,133.35,138.65,13957,48254
2022-06-16,128.85,141.85,126.1,137.0,31657,47736
2022-06-17,124.9,134.95,120.55,129.6,27140,47092
2022-06-20,120.5,127.0,112.45,127.0,35955,46744
2022-06-21,128.8,129.95,122.6,124.35,10803,45621
2022-06-22,123.45,127.55,120.45,124.6,91935,47068
2022-06-23,123.55,126.45,122.65,125.05,7778,45840
2022-06-24,128.15,129.9,123.75,127.95,6771,44619
2022-06-27,134.1,137.85,124.6,129.4,45144,44636
2022-06-28,129.35,137.0,128.7,137.0,10267,43562
2022-06-29,134.45,140.0,126.6,126.6,15621,42689
2022-06-30,135.2,139.45,135.0,135.0,7063,41575
2022-07-01,132.5,135.0,129.0,132.6,5709,40454
2022-07-04,129.2,144.5,128.05,135.15,33955,40251
2022-07-05,128.9,136.8,126.0,136.8,13610,39419
2022-07-06,128.0,134.65,126.25,134.65,9712,38490
2022-07-07,129.0,130.0,127.0,128.05,22235,37982
2022-07-08,131.6,132.65,126.5,127.0,9029,37078
2022-07-11,132.25,134.0,129.0,134.0,4343,36055
2022-07-12,130.0,133.15,128.5,131.35,33418,35972
2022-07-13,132.6,133.95,130.85,130.9,5996,35035
2022-07-14,132.7,135.9,131.0,132.6,8118,34194
2022-07-15,133.85,137.45,130.05,130.05,3491,33235
2022-07-18,134.5,135.0,130.95,134.9,6664,32404
2022-07-19,132.2,136.05,128.5,128.5,21191,32054
2022-07-20,130.55,137.7,124.95,132.65,47816,32546
2022-07-21,136.8,143.0,130.2,135.8,18662,32113
2022-07-22,139.15,141.0,130.6,136.2,40433,32373
2022-07-25,136.05,141.15,135.0,139.55,34973,32454
2022-07-26,137.9,143.0,134.0,136.15,18678,32023
2022-07-27,136.0,140.6,135.0,138.05,8108,31276
2022-07-28,139.65,144.6,135.1,137.65,22105,30989
2022-07-29,136.0,142.9,135.2,142.9,5433,30191
2022-08-01,134.9,139.9,131.35,135.05,17101,29782
2022-08-02,143.95,147.1,135.0,136.15,34616,29933
2022-08-03,148.9,154.5,140.0,144.7,56045,30749
2022-08-04,151.75,156.0,147.35,156.0,38583,30993
2022-08-05,157.05,165.4,153.0,156.1,98916,33116
2022-08-08,157.8,162.55,154.95,162.55,28367,32968
2022-08-10,161.7,165.0,154.0,157.65,84270,34571
2022-08-11,154.8,169.25,152.5,169.25,36156,34620
2022-08-12,152.6,160.6,148.4,151.6,87140,36262
2022-08-16,176.8,183.1,148.55,148.55,328011,45379
2022-08-17,181.2,188.6,174.0,177.95,152132,48715
2022-08-18,199.65,208.0,179.95,181.95,347514,58052
2022-08-19,207.75,212.0,192.65,199.7,149098,60897
2022-08-22,188.45,215.0,186.0,206.5,116699,62641
2022-08-23,194.45,198.8,185.0,188.6,44148,62063
2022-08-24,220.45,233.3,193.9,196.0,287640,69112
2022-08-25,209.1,229.0,178.25,222.9,346511,77781
2022-08-26,219.75,227.0,212.7,212.8,110465,78803
2022-08-29,228.4,238.7,205.0,214.2,138613,80672
2022-08-30,238.6,249.0,226.85,233.65,181742,83830
2022-09-01,242.15,255.0,235.25,239.6,189378,87128
2022-09-02,231.5,245.7,230.1,243.95,120471,88170
2022-09-05,235.45,240.0,223.0,231.0,52289,87049
2022-09-06,226.9,238.0,225.0,232.9,42095,85644
2022-09-07,223.75,233.0,222.15,228.0,49467,84514
2022-09-08,229.95,235.05,220.5,223.6,50005,83435
2022-09-09,226.85,235.0,225.5,232.2,30438,81779
2022-09-12,221.95,230.4,220.1,229.9,43315,80577
2022-09-13,229.25,233.0,211.0,227.0,58310,79881
2022-09-14,238.45,240.7,224.0,229.3,41695,78688
2022-09-15,235.45,245.0,230.0,245.0,21173,76890
2022-09-16,225.4,238.0,223.7,235.45,13077,74896
2022-09-19,227.85,236.65,225.0,231.8,40613,73825
2022-09-20,232.0,235.1,230.0,233.0,10801,71855
2022-09-21,228.85,235.0,224.55,232.0,7099,69832
2022-09-22,222.3,230.0,218.0,220.0,12165,68030
2022-09-23,211.2,225.0,211.2,221.0,17916,66464
2022-09-26,200.65,210.95,200.65,210.95,4236,64519
2022-09-27,198.65,210.0,194.05,200.65,13186,62915
2022-09-28,201.6,202.05,188.75,199.95,60762,62847
2022-09-29,192.3,211.0,191.55,201.0,19365,61489
2022-09-30,185.35,195.9,182.7,185.15,36518,60708
2022-10-03,186.6,189.45,177.0,185.5,40964,60091
2022-10-04,188.1,189.0,180.0,187.85,6799,58426
