Date,Close,High,Low,Open,Volume,EMA_63_Volume
2024-03-19,43.59,45.85,43.59,45.85,1746582,1746582
2024-03-20,41.43,41.43,41.43,41.43,694857,1713715
2024-03-21,39.37,39.37,39.37,39.37,588654,1678557
2024-03-22,37.4,37.4,37.4,37.4,808838,1651378
2024-03-26,35.54,35.54,35.54,35.54,963027,1629867
2024-03-27,37.31,37.31,35.34,35.34,9146555,1864764
2024-03-28,39.17,39.17,39.17,39.17,511075,1822461
2024-04-01,41.09,41.09,41.09,41.09,213164,1772170
2024-04-02,43.1,43.1,43.1,43.1,304383,1726302
2024-04-03,45.21,45.21,45.21,45.21,279117,1681077
2024-04-04,54.24,54.24,47.47,48.11,23536380,2364056
2024-04-05,64.45,65.09,58.9,58.9,37768090,3470432
2024-04-08,64.26,68.13,62.1,64.26,11799540,3730716
2024-04-09,61.02,66.02,58.56,65.38,5680775,3791656
2024-04-10,57.97,62.83,56.3,60.82,4354890,3809257
2024-04-12,60.48,61.85,58.41,58.51,4048574,3816735
2024-04-15,59.1,61.46,54.68,57.92,3448266,3805221
2024-04-16,59.49,60.87,57.92,58.02,2525006,3765214
2024-04-18,58.56,61.11,57.43,59.84,2200804,3716326
2024-04-19,58.56,59.1,56.65,57.43,2013964,3663127
2024-04-22,59.4,60.08,58.32,59.69,1709006,3602061
2024-04-23,58.61,60.52,58.32,60.33,2048250,3553504
2024-04-24,64.45,64.45,58.02,58.76,7523798,3677576
2024-04-25,70.88,70.88,64.8,65.19,9553306,3861193
2024-04-26,73.68,76.43,71.86,73.43,11840800,4110555
2024-04-29,71.42,75.59,68.87,75.05,6124503,4173491
2024-04-30,67.2,71.08,66.07,68.77,6573157,4248481
2024-05-02,66.96,69.16,66.02,68.13,2920993,4206997
2024-05-03,67.94,69.66,67.0,69.61,2045445,4139448
2024-05-06,64.84,68.92,63.42,68.43,2329164,4082877
2024-05-07,62.83,65.09,62.0,64.8,2349005,4028693
