Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,113.84,116.42,111.12,111.16,10457594,10457594
2021-10-01,117.45,120.18,113.09,113.7,9396914,10424447
2021-10-04,123.65,125.25,118.3,118.49,10921728,10439987
2021-10-05,120.41,125.1,119.99,124.73,3875912,10234860
2021-10-06,115.48,121.58,114.82,121.35,3071811,10011015
2021-10-07,116.51,118.49,116.04,117.31,1464521,9743937
2021-10-08,117.78,120.13,116.89,117.83,2836846,9528090
2021-10-11,130.55,131.44,119.24,119.24,15499136,9714685
2021-10-12,131.91,132.62,128.16,130.83,7198257,9636047
2021-10-13,132.94,134.26,128.63,132.8,6117603,9526095
2021-10-14,133.32,136.61,131.25,135.2,4839337,9379634
2021-10-18,134.21,135.9,131.91,135.57,3696847,9202047
2021-10-19,126.98,135.2,125.81,135.2,3985613,9039034
2021-10-20,125.71,129.19,121.82,126.75,2957685,8848991
2021-10-21,124.21,127.64,122.62,126.37,1582978,8621928
2021-10-22,123.74,127.17,122.99,124.82,1664980,8404524
2021-10-25,121.91,124.49,116.04,124.49,2453341,8218549
2021-10-26,125.06,128.3,121.54,122.38,1639068,8012941
2021-10-27,124.21,126.47,123.56,125.81,948726,7792184
2021-10-28,124.73,127.64,122.1,123.74,2319680,7621168
2021-10-29,120.32,121.87,118.77,121.11,1971162,7444605
2021-11-01,124.31,124.78,120.6,121.02,1219544,7250072
2021-11-02,125.15,129.94,124.73,126.98,2954098,7115823
2021-11-03,124.26,126.28,123.7,126.28,1008091,6924956
2021-11-04,124.17,125.43,124.02,124.92,294596,6717758
2021-11-08,125.39,126.18,122.57,124.31,1016850,6539604
2021-11-09,127.36,128.44,125.06,125.34,1741664,6389668
2021-11-10,126.75,130.03,125.86,128.11,1297074,6230525
2021-11-11,127.12,130.41,124.68,126.18,1842811,6093409
2021-11-12,125.53,128.48,124.59,128.48,1077163,5936651
2021-11-15,123.41,125.9,122.15,125.53,1118733,5786091
2021-11-16,121.21,125.06,120.41,122.99,1254088,5644466
2021-11-17,121.63,125.25,120.22,121.11,3543104,5578798
2021-11-18,132.05,134.07,122.48,122.62,18175796,5972455
2021-11-22,129.28,134.82,127.03,132.15,5865134,5969101
2021-11-23,130.36,132.38,128.67,129.28,2539115,5861914
2021-11-24,133.98,140.08,130.03,130.03,10175083,5996700
2021-11-25,135.24,137.07,133.46,134.63,3483826,5918173
2021-11-26,138.25,142.29,132.47,133.32,9800352,6039491
2021-11-29,140.64,144.91,133.23,138.91,8566665,6118465
2021-11-30,139.52,144.4,139.05,141.77,5077897,6085947
2021-12-01,141.39,144.02,140.13,141.86,2934561,5987467
2021-12-02,147.59,150.41,141.11,141.77,8856579,6077126
2021-12-03,144.35,148.76,143.08,148.06,3327561,5991202
2021-12-06,140.03,145.43,138.95,145.38,2768818,5890503
2021-12-07,138.91,142.38,138.25,141.11,2036452,5770064
2021-12-08,139.66,143.6,139.09,140.17,2026801,5653087
2021-12-09,140.45,142.05,139.23,140.6,1641614,5527728
2021-12-10,140.17,143.08,139.09,141.21,1537573,5403036
2021-12-13,138.62,141.96,137.26,141.39,1668133,5286320
