Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,1177.86,1217.1,1173.17,1217.1,25448,25448
2021-10-01,1181.06,1209.06,1162.04,1188.15,16947,25182
2021-10-04,1202.67,1225.39,1163.18,1189.14,67392,26501
2021-10-05,1190.89,1213.16,1188.15,1212.61,13275,26088
2021-10-06,1189.19,1236.07,1183.15,1190.14,49923,26832
2021-10-07,1239.51,1284.99,1196.13,1197.13,100480,29134
2021-10-08,1238.92,1248.05,1204.12,1238.07,44571,29616
2021-10-11,1231.03,1273.01,1218.1,1246.95,52034,30317
2021-10-12,1191.69,1238.07,1169.52,1218.1,46577,30825
2021-10-13,1225.89,1243.36,1168.28,1168.28,41326,31153
2021-10-14,1212.31,1256.74,1208.11,1256.74,7504,30414
2021-10-18,1245.06,1249.05,1213.11,1228.08,19969,30088
2021-10-19,1213.66,1248.05,1211.11,1248.05,7924,29395
2021-10-20,1188.99,1217.5,1153.0,1214.65,27102,29323
2021-10-21,1167.98,1198.08,1155.2,1186.15,3567,28518
2021-10-22,1173.97,1192.14,1119.3,1119.3,23345,28357
2021-10-25,1137.27,1208.11,1115.31,1168.18,8823,27746
2021-10-26,1136.38,1167.13,1094.29,1137.27,6756,27090
2021-10-27,1163.18,1178.11,1082.31,1082.31,6076,26434
2021-10-28,1141.12,1177.16,1120.25,1177.16,3472,25716
2021-10-29,1159.24,1187.15,1084.31,1166.18,22522,25616
2021-11-01,1141.57,1197.13,1123.25,1176.16,6705,25025
2021-11-02,1170.47,1180.06,1148.21,1148.21,2980,24336
2021-11-03,1167.78,1198.13,1148.21,1193.89,4861,23728
2021-11-04,1207.17,1213.11,1159.19,1203.12,8331,23247
2021-11-08,1180.71,1262.03,1179.16,1262.03,5782,22701
2021-11-09,1180.56,1213.11,1159.19,1159.19,2000,22054
2021-11-10,1164.23,1200.13,1163.18,1200.13,1809,21421
2021-11-11,1140.42,1172.07,1133.23,1163.18,3535,20862
2021-11-12,1141.47,1167.18,1088.3,1166.18,9712,20514
2021-11-15,1123.4,1173.17,1123.25,1168.18,17626,20423
2021-11-16,1116.01,1148.21,1068.43,1148.21,10337,20108
2021-11-17,1102.63,1138.07,1070.33,1138.07,26541,20309
2021-11-18,1114.26,1131.23,1063.34,1116.21,5190,19837
2021-11-22,1066.73,1118.1,1058.55,1118.1,14878,19682
2021-11-23,1065.99,1098.09,1030.39,1098.09,9218,19355
2021-11-24,1063.49,1076.32,1042.37,1065.34,1400,18794
2021-11-25,1055.2,1080.31,1024.4,1063.49,9031,18489
2021-11-26,1034.34,1091.2,1008.43,1091.2,3078,18007
2021-11-29,1007.28,1043.37,988.86,1043.37,10179,17762
2021-11-30,1013.17,1043.37,998.44,998.54,6244,17402
