Date,Close,High,Low,Open,Volume,EMA_63_Volume
2026-01-28,109.98,119.67,109.0,112.6,28514464,28514464
2026-01-29,100.85,108.9,99.85,108.0,13323901,28039758
2026-01-30,106.62,109.3,98.55,99.95,7085928,27384951
2026-02-02,107.52,108.8,104.5,107.03,2562057,26609236
2026-02-03,111.08,112.25,104.9,109.04,3443049,25885292
2026-02-04,116.08,116.9,107.5,109.02,4118930,25205094
2026-02-05,114.16,119.5,113.4,117.0,2452084,24494062
2026-02-06,113.95,117.07,111.74,114.0,1379988,23771747
2026-02-09,114.62,116.29,112.51,115.29,2265476,23099676
2026-02-10,118.11,122.98,114.81,116.89,7330989,22606905
2026-02-11,118.99,120.0,117.15,118.69,2268134,21971318
2026-02-12,124.28,125.32,117.1,118.0,11127467,21632448
2026-02-13,124.73,127.75,121.86,124.0,8281576,21215233
2026-02-16,121.09,124.72,119.04,123.0,2213287,20621422
2026-02-17,119.36,121.19,116.26,121.0,3007472,20070986
2026-02-18,122.54,123.02,119.39,121.0,1214767,19481729
2026-02-19,120.77,122.75,119.94,122.54,2029273,18936340
2026-02-20,116.85,121.22,115.1,120.43,1601846,18394637
2026-02-23,117.13,118.16,113.16,115.09,1353269,17862094
2026-02-24,116.32,116.9,112.75,116.58,846924,17330370
2026-02-25,118.43,119.0,114.28,115.73,1406814,16832759
2026-02-26,121.2,124.0,117.18,118.7,1625655,16357537
2026-02-27,121.14,122.55,120.0,120.01,535621,15863102
2026-03-02,120.59,121.92,114.5,114.5,1350770,15409592
2026-03-04,119.01,120.59,116.21,119.0,1343387,14970023
2026-03-05,124.11,124.9,119.89,119.89,1901133,14561620
2026-03-06,119.95,124.3,117.35,124.06,978339,14137142
2026-03-09,115.02,119.96,111.55,119.95,1630893,13746322
2026-03-10,114.67,117.43,113.75,116.74,703368,13338730
2026-03-11,112.3,117.51,111.47,114.89,851254,12948496
2026-03-12,111.97,113.33,108.07,112.0,759179,12567580
2026-03-13,107.47,112.0,106.0,112.0,944363,12204354
2026-03-16,108.78,109.79,104.03,107.0,708953,11845123
2026-03-17,111.74,112.3,107.37,108.45,468607,11489607
2026-03-18,112.39,113.3,110.9,111.74,383555,11142543
2026-03-19,109.52,111.0,106.97,108.13,1469513,10840261
2026-03-20,112.11,113.63,109.0,109.0,685224,10522916
2026-03-23,111.78,114.0,107.96,111.87,1032695,10226346
2026-03-24,113.58,114.2,110.29,111.78,509782,9922704
2026-03-25,116.99,118.0,113.0,113.0,2284365,9684006
2026-03-27,116.03,117.0,112.6,114.53,1244363,9420267
2026-03-30,114.87,115.91,111.11,115.0,719520,9148368
2026-04-01,117.6,118.53,115.31,115.38,726992,8885200
2026-04-02,117.04,118.43,113.69,117.29,390394,8619738
2026-04-06,117.85,118.5,114.55,114.9,653038,8370778
2026-04-07,118.26,120.7,117.01,117.56,498036,8124755
2026-04-08,124.28,126.8,121.27,122.5,3403338,7977211
2026-04-09,124.09,128.0,123.0,123.66,1013287,7759588
2026-04-10,132.34,136.4,124.94,125.1,5965068,7703509
2026-04-13,138.35,140.0,127.3,128.0,2418825,7538363
2026-04-15,143.06,145.0,136.97,136.97,3420168,7409669
2026-04-16,140.82,143.0,136.1,143.0,1576942,7227397
2026-04-17,140.44,145.32,139.0,141.04,1489427,7048085
2026-04-20,146.13,147.9,138.0,139.49,2005079,6890491
2026-04-21,154.47,156.1,144.68,145.2,3481865,6783972
2026-04-22,158.7,161.0,152.94,153.0,2087793,6637216
2026-04-23,155.01,160.0,148.81,156.1,3460154,6537933
2026-04-24,150.56,155.9,149.11,155.0,954866,6363462
2026-04-27,156.26,157.8,151.56,152.08,1039416,6197085
2026-04-28,158.89,161.0,153.75,155.81,1186759,6040513
