Date,Close,High,Low,Open,Volume,EMA_63_Volume
2025-08-26,254.46,274.31,251.57,269.32,14197871,14197871
2025-08-28,252.57,257.31,251.97,256.56,2428033,13830063
2025-08-29,252.17,255.26,251.37,253.96,1878998,13456592
2025-09-01,254.66,258.9,252.37,252.37,2047238,13100050
2025-09-02,252.37,256.26,252.37,254.46,866076,12717738
2025-09-03,252.42,254.41,252.37,252.62,731040,12343154
2025-09-04,253.12,261.34,252.47,261.34,570627,11975262
2025-09-05,252.72,254.16,252.37,253.17,587529,11619396
2025-09-08,252.37,254.26,252.37,253.86,345055,11267073
2025-09-09,252.42,253.76,252.37,253.46,220177,10921857
2025-09-10,251.72,253.36,251.37,253.36,496320,10596059
2025-09-11,251.67,252.32,251.37,251.42,353758,10275987
2025-09-12,254.71,261.84,251.47,252.27,2578200,10035431
2025-09-15,254.71,262.34,252.62,257.85,3524833,9831975
2025-09-16,254.66,261.59,253.36,256.26,1506302,9571798
2025-09-17,252.42,255.91,252.37,255.26,567910,9290426
2025-09-18,252.42,255.31,252.37,253.61,268211,9008482
2025-09-19,254.66,258.35,251.37,252.37,634262,8746788
2025-09-22,252.92,258.45,235.41,253.86,2600241,8554708
2025-09-23,252.17,254.41,251.42,254.36,567745,8305115
2025-09-24,249.33,253.36,244.44,249.37,558167,8063023
2025-09-25,251.02,253.32,249.03,251.17,455679,7825294
2025-09-26,245.68,253.07,244.39,251.37,287306,7589732
2025-09-29,239.7,245.34,239.4,242.49,226127,7359619
2025-09-30,237.36,244.39,234.51,238.4,221673,7136558
2025-10-01,242.52,244.73,234.52,237.6,230302,6920738
2025-10-03,240.81,243.39,239.45,243.39,104959,6707744
2025-10-06,236.84,241.45,235.21,241.45,120385,6501889
2025-10-07,226.14,237.38,224.44,236.66,189606,6304631
2025-10-08,222.88,227.02,221.51,225.39,149181,6112273
2025-10-09,245.17,245.17,221.44,221.44,606725,5940224
2025-10-10,251.63,253.36,240.66,251.37,956763,5784491
2025-10-13,249.35,251.27,242.0,245.39,288177,5612731
2025-10-14,239.56,248.88,236.71,247.93,241854,5444891
2025-10-15,241.82,243.03,236.67,236.67,161420,5279783
2025-10-16,239.49,242.71,237.56,241.82,67513,5116899
2025-10-17,235.08,241.85,233.96,241.84,91189,4959846
2025-10-20,232.62,237.29,230.45,237.29,76311,4807236
2025-10-21,241.08,244.38,233.25,233.32,139412,4661366
2025-10-23,237.04,240.44,236.41,238.45,60864,4517600
2025-10-24,239.71,242.19,234.06,237.08,216276,4383184
2025-10-27,240.6,243.89,237.78,243.89,183699,4251950
2025-10-28,244.07,245.29,234.51,235.41,310362,4128775
2025-10-29,249.36,252.87,242.89,246.18,1077597,4033426
2025-10-30,264.48,269.23,252.52,254.56,3869962,4028318
2025-10-31,265.8,270.95,261.74,268.33,2458897,3979273
2025-11-03,271.52,276.21,267.63,270.32,1328465,3896436
2025-11-04,269.37,273.31,268.33,272.42,416433,3787685
2025-11-06,267.83,272.57,266.13,270.22,578681,3687404
2025-11-07,271.37,277.4,264.64,265.53,820694,3597819
2025-11-10,269.03,273.66,267.53,271.32,287534,3494373
2025-11-11,270.62,275.81,268.93,270.42,859298,3412027
2025-11-12,289.52,292.92,268.88,272.32,3360097,3410404
