Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,40.19,40.94,40.05,40.19,446249,446249
2021-10-01,40.38,40.84,39.63,39.95,479031,447273
2021-10-04,40.47,41.17,40.19,40.38,665903,454105
2021-10-05,40.94,41.45,40.24,40.28,1128034,475165
2021-10-06,40.33,41.92,40.24,41.36,1326359,501765
2021-10-07,40.42,41.08,40.33,40.47,941198,515497
2021-10-08,40.47,41.17,40.33,40.66,665622,520189
2021-10-11,40.09,40.7,40.0,40.61,696443,525697
2021-10-12,39.63,40.14,39.35,40.14,861348,536186
2021-10-13,40.14,40.75,39.81,40.05,1025968,551491
2021-10-14,40.14,40.84,40.05,40.42,818472,559835
2021-10-18,40.75,41.36,40.14,40.14,1307193,583190
2021-10-19,40.14,41.87,39.86,41.03,1416303,609224
2021-10-20,42.25,43.51,39.53,40.38,8379186,852036
2021-10-21,41.78,44.45,41.36,43.7,3588235,937542
2021-10-22,41.59,43.98,41.4,41.78,2731052,993589
2021-10-25,39.39,41.87,38.55,41.31,1762870,1017629
2021-10-26,38.36,40.33,37.47,39.35,1400200,1029584
2021-10-27,38.5,39.49,38.36,38.36,1094024,1031598
2021-10-28,37.99,39.07,37.9,38.5,535823,1016105
2021-10-29,38.27,38.88,37.29,37.94,756567,1007995
2021-11-01,38.18,38.88,37.9,38.36,518085,992685
2021-11-02,39.21,39.77,38.36,38.36,1808540,1018180
2021-11-03,38.78,39.72,38.6,39.53,671408,1007344
2021-11-04,40.05,40.42,38.83,39.07,1175202,1012589
2021-11-08,40.7,41.5,39.67,40.14,1934382,1041395
2021-11-09,40.19,41.08,40.05,40.75,774712,1033061
2021-11-10,40.38,41.45,39.81,40.09,1313367,1041821
2021-11-11,39.58,40.42,39.44,40.38,551030,1026484
2021-11-12,39.16,40.0,39.02,39.86,440666,1008177
2021-11-15,39.49,39.95,38.46,39.3,586582,995002
2021-11-16,38.93,39.67,38.83,39.44,491991,979283
2021-11-17,38.88,39.21,38.6,39.21,510673,964639
2021-11-18,38.18,39.07,38.04,38.83,476476,949384
2021-11-22,37.05,38.46,36.87,38.41,748748,943114
2021-11-23,37.62,38.18,36.59,37.05,547822,930761
2021-11-24,37.9,38.88,37.62,37.8,734921,924641
2021-11-25,37.9,38.55,37.52,38.08,568450,913510
2021-11-26,37.1,37.85,37.01,37.43,575850,902958
2021-11-29,36.31,37.15,35.04,36.63,625861,894299
2021-11-30,36.21,37.62,36.07,36.87,401171,878888
2021-12-01,36.35,36.91,36.02,36.07,294567,860628
2021-12-02,36.77,37.43,36.12,36.59,423475,846967
2021-12-03,36.68,37.24,36.59,36.91,330627,830832
2021-12-06,35.65,36.91,35.46,36.91,364490,816259
2021-12-07,36.02,36.73,35.93,36.59,294144,799942
2021-12-08,36.87,37.43,36.21,36.26,698751,796780
2021-12-09,37.66,37.94,36.68,37.05,703761,793873
2021-12-10,38.41,38.6,37.43,37.47,732091,791943
2021-12-13,37.9,39.53,37.76,38.5,933154,796355
2021-12-14,37.76,38.13,37.33,37.71,379407,783326
2021-12-15,37.57,38.78,37.43,37.8,922079,787662
2021-12-16,37.01,37.99,36.77,37.9,454169,777240
2021-12-17,36.21,37.19,36.07,37.19,311545,762687
2021-12-20,34.39,35.74,33.87,35.65,655744,759345
2021-12-21,35.0,36.07,34.62,35.28,391235,747842
2021-12-22,35.46,35.84,34.71,35.23,298788,733809
2021-12-23,39.21,39.72,35.56,35.7,4684083,857255
2021-12-24,37.66,39.25,37.47,39.21,1932006,890841
2021-12-27,39.49,40.33,36.87,37.66,3346063,967566
2021-12-28,38.69,39.77,38.41,39.77,764074,961207
2021-12-29,38.32,39.49,37.94,38.74,771268,955272
2021-12-30,37.94,38.64,37.8,38.27,386998,937513
2021-12-31,37.9,38.69,37.43,37.99,525621,924641
2022-01-03,38.08,38.69,37.8,38.04,595668,914361
2022-01-04,38.08,38.78,37.9,38.32,696895,907565
2022-01-05,38.04,38.46,37.9,38.08,387261,891306
2022-01-06,38.88,39.39,37.71,37.85,1148163,899332
2022-01-07,38.32,39.21,38.18,39.02,575401,889210
2022-01-10,38.69,39.11,38.27,38.6,727572,884158
2022-01-11,38.93,40.19,38.36,38.97,1418364,900852
2022-01-12,39.95,41.36,38.83,39.21,3408574,979219
2022-01-13,39.35,40.14,39.16,40.0,867770,975736
2022-01-14,39.35,40.0,38.97,39.11,619342,964598
2022-01-17,39.3,39.81,39.11,39.58,725322,957121
2022-01-18,40.89,42.29,39.3,39.3,5873584,1110761
2022-01-19,42.06,42.95,40.98,41.17,4002805,1201137
2022-01-20,41.4,42.95,40.98,42.39,1767849,1218847
2022-01-21,39.77,41.4,39.21,41.08,1412655,1224903
2022-01-24,37.15,40.52,36.35,39.72,1610868,1236965
2022-01-25,37.05,39.02,36.35,37.19,1485980,1244746
2022-01-27,37.05,37.62,36.49,37.15,783415,1230330
2022-01-28,37.05,38.22,36.91,37.43,666932,1212723
2022-01-31,37.15,37.76,37.05,37.47,469008,1189482
2022-02-01,37.24,38.55,36.96,37.43,888534,1180078
2022-02-02,37.62,38.18,37.33,37.57,678593,1164406
2022-02-03,37.99,38.74,37.38,37.71,952993,1157800
2022-02-04,37.62,38.5,37.52,38.18,477738,1136548
2022-02-07,36.91,37.8,36.73,37.76,409646,1113832
2022-02-08,36.21,37.19,35.84,37.15,439160,1092748
2022-02-09,36.26,36.73,36.21,36.49,252553,1066492
2022-02-10,36.07,36.73,35.79,36.49,403617,1045777
2022-02-11,35.93,36.35,35.74,36.31,264394,1021359
2022-02-14,33.92,35.51,33.69,35.09,579736,1007558
2022-02-15,33.83,34.43,32.66,34.15,519138,992295
2022-02-16,34.67,35.46,34.2,34.34,427377,974642
2022-02-17,34.67,35.37,34.57,35.04,267249,952536
2022-02-18,33.87,34.57,33.73,34.48,224557,929786
2022-02-21,33.26,33.97,32.52,33.22,736892,923758
