Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,68.33,68.33,68.33,68.33,12000,12000
2021-10-01,68.33,68.33,68.33,68.33,15000,12093
2021-10-04,68.0,68.0,68.0,68.0,1500,11762
2021-10-05,68.33,68.33,68.33,68.33,16500,11910
2021-10-06,68.33,68.33,68.33,68.33,0,11538
2021-10-07,68.33,68.33,68.33,68.33,0,11177
2021-10-08,66.73,66.73,66.73,66.73,15000,11297
2021-10-11,66.73,66.73,66.73,66.73,0,10944
2021-10-12,66.73,66.73,66.73,66.73,0,10602
2021-10-13,66.73,66.73,66.73,66.73,0,10271
2021-10-14,68.23,68.67,66.67,66.67,31500,10934
2021-10-18,68.23,68.23,68.23,68.23,0,10592
2021-10-19,68.77,69.27,68.07,68.33,31500,11246
2021-10-20,68.13,68.17,68.0,68.17,39000,12113
2021-10-21,68.57,69.0,68.0,68.0,25500,12531
2021-10-22,69.33,69.33,68.67,68.67,36000,13265
2021-10-25,69.33,69.33,69.33,69.33,0,12850
2021-10-26,69.93,69.93,69.5,69.5,30000,13386
2021-10-27,69.83,69.83,69.5,69.5,24000,13718
2021-10-28,68.67,68.67,68.67,68.67,1500,13336
2021-10-29,68.67,68.67,68.67,68.67,0,12919
2021-11-01,69.67,69.67,69.33,69.33,43500,13875
2021-11-02,69.67,69.67,69.67,69.67,0,13441
2021-11-03,68.67,68.67,68.67,68.67,1500,13068
2021-11-04,68.67,68.67,68.67,68.67,0,12660
2021-11-08,69.83,69.83,69.5,69.5,30000,13201
2021-11-09,69.83,69.83,69.83,69.83,0,12789
2021-11-10,69.83,69.83,69.83,69.83,0,12389
2021-11-11,69.83,69.83,69.83,69.83,0,12002
2021-11-12,69.83,69.83,69.83,69.83,0,11627
2021-11-15,69.83,69.83,69.83,69.83,0,11264
2021-11-16,69.83,69.83,69.83,69.83,0,10912
2021-11-17,69.83,69.83,69.83,69.83,0,10571
2021-11-18,69.83,69.83,69.83,69.83,0,10240
2021-11-22,68.67,68.67,68.67,68.67,1500,9967
2021-11-23,68.67,68.67,68.67,68.67,0,9656
2021-11-24,68.67,68.67,68.67,68.67,0,9354
2021-11-25,68.67,68.67,68.67,68.67,0,9062
2021-11-26,70.67,70.67,70.0,70.0,3000,8872
2021-11-29,70.0,70.0,70.0,70.0,1500,8642
2021-11-30,68.0,68.67,68.0,68.67,3000,8465
2021-12-01,68.0,68.0,68.0,68.0,0,8201
2021-12-02,68.0,68.0,68.0,68.0,0,7945
2021-12-03,68.0,68.0,68.0,68.0,0,7696
2021-12-06,68.0,68.0,68.0,68.0,0,7456
2021-12-07,68.0,68.0,68.0,68.0,0,7223
2021-12-08,68.0,68.0,68.0,68.0,0,6997
2021-12-09,71.33,71.33,71.33,71.33,1500,6825
2021-12-10,71.33,71.33,71.33,71.33,0,6612
2021-12-13,71.33,71.33,71.33,71.33,6000,6593
2021-12-14,71.33,71.33,71.33,71.33,0,6387
2021-12-15,74.0,74.0,74.0,74.0,1500,6234
2021-12-16,74.0,74.0,74.0,74.0,0,6039
2021-12-17,74.0,74.0,74.0,74.0,0,5850
