Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,1486.17,1500.23,1421.85,1439.37,64188,64188
2021-10-01,1465.13,1499.94,1458.1,1499.94,20640,62827
2021-10-04,1464.74,1491.56,1452.13,1463.64,16495,61379
2021-10-05,1460.94,1490.74,1454.97,1467.49,15724,59952
2021-10-06,1463.06,1511.78,1454.01,1461.71,31739,59070
2021-10-07,1476.88,1502.11,1463.78,1476.15,33429,58269
2021-10-08,1512.02,1526.23,1476.88,1476.88,59798,58317
2021-10-11,1541.3,1555.11,1502.2,1512.02,55254,58221
2021-10-12,1496.95,1556.8,1489.78,1544.52,28655,57297
2021-10-13,1531.04,1548.04,1493.58,1521.41,40411,56769
2021-10-14,1541.2,1588.62,1516.6,1531.04,77456,57416
2021-10-18,1559.78,1569.37,1519.97,1569.37,117331,59288
2021-10-19,1559.78,1586.89,1521.36,1560.89,35217,58536
2021-10-20,1543.94,1612.84,1415.64,1552.23,84028,59333
2021-10-21,1587.37,1649.48,1540.62,1567.63,172076,62856
2021-10-22,1542.79,1623.87,1497.34,1602.3,123406,64748
2021-10-25,1581.64,1615.78,1518.76,1579.19,75500,65084
2021-10-26,1767.68,1829.55,1584.0,1603.21,1068712,96447
2021-10-27,1782.84,1886.36,1714.14,1728.44,552909,110712
2021-10-28,1714.37,1789.16,1676.41,1774.65,138683,111586
2021-10-29,1766.21,1796.73,1695.94,1726.42,122035,111912
2021-11-01,1811.54,1875.92,1737.22,1766.21,156433,113304
2021-11-02,1932.19,2071.71,1814.19,1814.19,680398,131025
2021-11-03,1867.33,2004.19,1834.64,1954.04,181699,132609
2021-11-04,1921.78,1946.32,1871.53,1878.81,31634,129453
2021-11-08,1919.56,1943.43,1865.4,1937.88,104979,128688
2021-11-09,1881.7,1932.82,1855.71,1907.74,64346,126678
2021-11-10,1881.66,1927.03,1871.09,1927.03,42409,124044
2021-11-11,1873.6,1899.02,1846.98,1891.3,28420,121056
2021-11-12,1901.09,1914.5,1862.66,1878.81,45235,118687
2021-11-15,1926.89,1948.25,1911.55,1928.77,60878,116880
2021-11-16,1935.57,1963.44,1906.11,1944.39,45240,114641
2021-11-17,1869.5,2001.3,1844.62,1919.32,77024,113466
2021-11-18,1945.12,2015.77,1869.5,1869.5,265442,118215
2021-11-22,1986.83,2000.33,1854.31,1965.32,181264,120185
2021-11-23,2119.93,2168.83,1977.28,1996.48,228563,123572
2021-11-24,2077.3,2189.37,2045.47,2154.46,174231,125155
2021-11-25,2197.62,2232.77,2031.68,2107.39,229615,128420
2021-11-26,2170.23,2211.56,2141.58,2151.76,92457,127296
2021-11-29,2025.89,2160.44,1958.04,2139.46,125850,127250
2021-11-30,2065.58,2118.68,1938.61,2054.35,350461,134226
