Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,402.39,405.75,397.89,401.43,22059,22059
2021-10-01,405.84,417.06,398.56,400.76,57803,23176
2021-10-04,420.27,422.81,409.39,410.35,91628,25315
2021-10-05,426.75,440.07,417.06,421.86,161453,29569
2021-10-06,409.97,434.66,403.64,428.9,76180,31026
2021-10-07,414.47,423.77,411.41,416.1,49474,31602
2021-10-08,422.14,429.33,414.71,424.64,53283,32280
2021-10-11,429.81,435.28,422.81,432.69,74415,33596
2021-10-12,441.41,453.64,425.93,429.81,351076,43517
2021-10-13,445.39,464.9,433.98,444.87,277159,50819
2021-10-14,452.1,466.92,447.74,449.18,190732,55191
2021-10-18,454.21,460.97,445.92,459.82,90219,56286
2021-10-19,456.8,469.79,427.7,456.37,145879,59085
2021-10-20,538.01,548.12,464.04,465.96,3028170,151869
2021-10-21,551.0,589.35,528.23,548.41,3553286,258164
2021-10-22,559.73,598.94,538.82,541.41,737567,273145
2021-10-25,564.62,572.29,548.8,569.89,372122,276238
2021-10-26,557.52,570.46,545.82,560.88,191078,273577
2021-10-27,639.11,668.26,561.74,561.74,1482033,311341
2021-10-28,611.12,647.17,587.1,635.28,660720,322259
2021-10-29,603.45,622.09,590.6,620.32,133855,316371
2021-11-01,659.77,691.27,615.53,618.4,536898,323263
2021-11-02,740.31,771.8,646.54,651.96,789078,337819
2021-11-03,705.03,739.59,666.29,732.5,660720,347910
2021-11-04,733.17,745.29,705.7,709.48,90361,339862
2021-11-08,749.7,805.98,721.73,735.28,375935,340989
2021-11-09,726.82,779.55,720.96,746.67,185113,336118
2021-11-10,731.68,744.99,719.04,719.04,121068,329397
2021-11-11,732.59,749.8,727.21,732.4,112415,322617
2021-11-12,694.33,738.65,691.64,738.16,119116,316257
2021-11-15,695.68,711.35,694.04,699.71,51135,307972
2021-11-16,660.88,700.48,645.83,700.48,149289,303013
2021-11-17,658.43,687.31,654.25,660.21,56599,295313
2021-11-18,643.58,679.77,640.21,656.55,77783,288515
2021-11-22,623.68,667.13,607.48,643.58,77875,281933
2021-11-23,674.1,679.43,620.22,629.64,75509,275482
2021-11-24,673.76,703.65,668.23,675.06,76634,269268
2021-11-25,671.26,687.27,655.16,665.2,53540,262526
2021-11-26,651.51,671.4,644.68,659.92,46375,255772
2021-11-29,633.39,645.16,589.89,640.4,64614,249798
2021-11-30,660.06,690.2,634.44,643.96,100507,245133
2021-12-01,659.58,681.98,654.63,668.09,36560,238615
2021-12-02,672.51,687.22,662.51,662.75,77640,233584
2021-12-03,662.42,699.62,656.99,682.51,77591,228709
2021-12-06,647.13,677.7,645.45,670.97,36798,222712
2021-12-07,651.07,692.12,646.03,663.09,55337,217482
2021-12-08,655.45,683.47,651.51,667.9,58183,212504
2021-12-09,654.15,663.91,649.49,656.55,27757,206730
2021-12-10,648.96,661.84,645.21,654.15,32148,201274
2021-12-13,644.01,668.04,641.03,649.82,59704,196850
2021-12-14,653.72,666.55,635.4,645.02,66263,192770
