Date,Close,High,Low,Open,Volume,EMA_63_Volume
2025-09-18,51.37,56.69,49.65,49.65,1367904,1367904
2025-09-19,50.48,54.9,50.0,52.04,585743,1343461
2025-09-22,46.23,51.79,45.22,50.73,442344,1315301
2025-09-23,52.04,54.37,46.26,46.5,1433032,1318980
2025-09-24,50.19,51.51,49.97,51.51,217844,1284570
2025-09-25,49.79,51.0,49.25,50.0,325750,1254606
2025-09-26,47.6,50.5,47.0,50.5,123673,1219265
2025-09-29,47.87,49.69,47.0,47.01,164242,1186295
2025-09-30,47.05,48.75,46.75,48.75,91981,1152098
2025-10-01,46.28,47.88,46.1,47.28,92368,1118981
2025-10-03,47.9,48.94,46.25,47.21,142571,1088469
2025-10-06,47.95,49.14,47.61,48.0,64623,1056473
2025-10-07,45.89,48.45,45.05,48.45,154025,1028272
2025-10-08,44.61,47.24,44.11,46.94,188484,1002028
2025-10-09,44.76,45.49,44.07,44.07,51853,972335
2025-10-10,44.86,45.58,43.78,45.4,108480,945340
2025-10-13,43.72,45.45,43.39,44.02,88731,918571
2025-10-14,42.31,45.27,41.5,44.45,445917,903800
2025-10-15,44.96,48.5,43.0,44.3,2956007,967932
2025-10-16,44.72,45.89,44.02,44.95,237894,945118
2025-10-17,42.69,45.71,41.2,44.51,377301,927374
2025-10-20,45.14,47.0,44.0,44.03,886343,926092
2025-10-21,45.37,45.85,44.85,45.15,50593,898732
2025-10-23,42.1,46.24,41.4,45.25,602676,889481
2025-10-24,42.79,43.48,41.52,42.79,286086,870624
2025-10-27,42.69,43.5,42.37,43.0,171902,848789
2025-10-28,42.53,43.38,41.91,43.1,169149,827551
2025-10-29,42.56,42.95,42.21,42.85,89993,804502
2025-10-30,42.56,42.79,42.33,42.58,61731,781290
2025-10-31,42.86,43.0,42.24,43.0,74773,759212
2025-11-03,42.0,43.1,41.8,43.1,151612,740224
2025-11-04,42.25,42.5,41.89,42.0,61102,719002
2025-11-06,41.33,42.94,41.11,42.0,87897,699279
2025-11-07,41.99,42.2,40.56,41.22,96367,680438
2025-11-10,41.54,42.65,41.37,42.65,77407,661594
2025-11-11,41.58,42.0,41.3,41.56,55800,642663
2025-11-12,42.76,43.88,42.4,42.4,178714,628164
2025-11-13,40.91,43.59,40.7,43.59,234517,615863
2025-11-14,40.49,41.9,39.96,41.2,411459,609475
2025-11-17,40.0,41.37,39.6,40.4,190366,596378
2025-11-18,39.34,40.56,39.0,40.01,156708,582638
2025-11-19,39.64,39.83,39.33,39.34,75606,566793
2025-11-20,39.43,40.04,39.33,39.5,83471,551690
2025-11-21,38.9,39.43,38.26,39.43,107036,537794
2025-11-24,38.25,39.9,38.02,39.9,65587,523038
2025-11-25,38.04,38.23,37.77,38.2,76018,509068
2025-11-26,38.93,39.43,38.02,38.02,88221,495917
2025-11-27,39.11,39.75,38.81,39.75,57151,482205
2025-11-28,39.12,39.75,38.96,39.11,45811,468568
2025-12-01,40.25,40.5,39.1,39.95,91534,456786
2025-12-02,39.96,40.75,39.85,40.75,50542,444091
2025-12-03,39.06,40.23,38.85,40.01,43706,431579
2025-12-04,39.34,40.14,39.1,39.69,27461,418950
2025-12-05,38.15,39.75,37.8,38.82,50337,407431
2025-12-08,36.79,39.48,36.0,39.48,144430,399212
2025-12-09,38.21,38.5,36.61,36.61,54380,388436
