Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,51.87,53.19,50.9,52.95,12309,12309
2021-10-01,50.22,53.63,48.36,53.09,103417,15156
2021-10-04,50.75,53.53,50.36,53.53,19864,15303
2021-10-05,51.58,51.78,50.22,51.48,23644,15563
2021-10-06,50.75,53.14,50.07,53.09,42789,16414
2021-10-07,50.9,52.56,50.31,52.56,31781,16894
2021-10-08,50.36,51.83,49.83,51.83,20695,17013
2021-10-11,51.09,51.39,50.22,51.05,14192,16925
2021-10-12,51.68,53.58,51.19,53.0,44075,17773
2021-10-13,51.73,52.17,50.51,50.51,22631,17925
2021-10-14,51.78,51.97,51.34,51.73,13753,17795
2021-10-18,51.19,52.56,50.85,52.56,24606,18008
2021-10-19,50.95,52.36,50.31,52.36,15944,17943
2021-10-20,48.9,52.07,48.85,52.07,31892,18379
2021-10-21,47.58,49.73,47.29,49.39,39282,19032
2021-10-22,47.49,48.66,47.0,48.66,20755,19086
2021-10-25,45.59,47.54,43.88,47.19,39812,19734
2021-10-26,46.27,47.34,45.39,47.29,14455,19569
2021-10-27,46.17,47.63,42.56,47.63,12822,19358
2021-10-28,46.66,47.39,43.98,46.8,13473,19174
2021-10-29,45.0,47.34,44.66,47.34,21357,19242
2021-11-01,47.49,47.63,43.88,43.88,24628,19410
2021-11-02,50.51,53.53,47.68,47.78,109135,22214
2021-11-03,53.29,54.02,50.75,51.68,76335,23906
2021-11-04,53.97,55.19,51.78,53.58,28964,24064
2021-11-08,53.29,55.43,53.09,55.43,19603,23924
2021-11-09,53.78,54.56,52.17,52.75,20355,23813
2021-11-10,52.75,55.38,52.65,55.38,16512,23585
2021-11-11,52.51,53.63,51.83,51.83,18623,23429
2021-11-12,51.14,53.34,50.8,51.78,13830,23129
2021-11-15,51.39,53.09,50.7,51.14,12317,22792
2021-11-16,50.12,52.65,49.73,52.65,5210,22242
2021-11-17,50.95,52.65,49.83,51.24,16917,22076
2021-11-18,51.34,52.17,50.7,50.7,10458,21713
2021-11-22,51.39,52.56,50.12,51.34,13006,21441
2021-11-23,52.52,52.97,51.44,51.44,10649,21103
2021-11-24,51.14,53.32,49.9,53.32,32389,21456
2021-11-25,55.79,58.36,50.55,52.97,239252,28262
2021-11-26,53.17,58.26,52.43,58.26,56065,29131
2021-11-29,51.88,52.57,50.25,52.57,21865,28904
2021-11-30,52.92,54.9,51.29,51.44,38348,29199
2021-12-01,52.57,54.01,51.93,54.01,8390,28549
2021-12-02,52.97,54.3,52.62,52.77,8283,27915
2021-12-03,52.97,54.16,52.92,52.97,17239,27582
2021-12-06,51.78,54.06,50.45,54.06,16815,27245
2021-12-07,51.98,53.86,50.94,50.94,5004,26550
2021-12-08,59.35,62.22,54.4,54.4,496432,41234
2021-12-09,60.88,63.21,58.41,62.32,99481,43054
2021-12-10,61.18,61.53,59.35,59.84,53757,43389
2021-12-13,73.4,73.4,62.32,62.32,771411,66139
2021-12-14,88.04,88.04,76.71,80.12,1913612,123873
2021-12-15,96.84,96.84,81.11,90.9,1213890,157936
2021-12-16,94.37,105.35,92.24,99.91,729918,175810
2021-12-17,89.62,92.98,84.97,91.99,406987,183034
2021-12-20,81.46,88.04,80.67,88.04,170825,182653
2021-12-21,84.97,89.02,82.1,84.47,136790,181220
2021-12-22,87.79,89.47,85.07,86.16,90670,178390
2021-12-23,88.93,93.43,87.39,89.87,92018,175691
2021-12-24,85.86,89.87,84.08,89.87,84850,172852
2021-12-27,86.55,91.0,80.12,87.05,80823,169976
2021-12-28,87.1,91.79,86.06,86.55,66293,166736
2021-12-29,86.6,90.26,84.47,88.88,58363,163349
2021-12-30,85.02,87.79,84.18,86.6,33785,159300
2021-12-31,87.79,92.14,85.41,85.41,99529,157433
2022-01-03,85.36,89.87,84.33,89.87,45325,153929
2022-01-04,83.39,87.94,83.09,85.36,28293,150003
2022-01-05,86.21,87.54,82.1,85.91,43239,146667
2022-01-06,84.97,86.6,82.15,84.92,27106,142930
2022-01-07,88.28,89.17,85.07,87.05,51456,140072
2022-01-10,87.69,91.94,87.05,91.65,48626,137214
2022-01-11,87.05,90.01,85.07,87.69,52193,134557
2022-01-12,87.19,91.0,85.61,91.0,58032,132166
2022-01-13,87.89,90.01,83.34,90.01,51159,129634
2022-01-14,89.32,90.76,83.53,85.07,73313,127874
2022-01-17,89.91,91.4,87.05,88.97,39061,125099
2022-01-18,88.63,91.99,87.44,88.23,64731,123212
2022-01-19,87.24,90.01,87.05,90.01,35890,120483
2022-01-20,87.34,90.95,86.06,89.02,30763,117680
2022-01-21,86.95,88.48,84.28,87.34,35192,115102
2022-01-24,82.64,86.5,82.64,85.56,26537,112334
2022-01-25,80.47,85.07,78.54,80.12,20865,109476
2022-01-27,80.02,83.44,77.15,80.62,16373,106566
2022-01-28,81.61,83.19,80.02,80.02,11612,103599
2022-01-31,79.83,83.04,79.23,79.97,13891,100796
2022-02-01,79.68,82.0,76.31,79.13,19964,98270
2022-02-02,80.07,81.61,77.4,81.06,54246,96894
2022-02-03,84.03,84.03,81.01,81.01,77593,96291
2022-02-04,88.18,88.18,83.29,87.49,92774,96181
2022-02-07,92.59,92.59,88.18,88.18,43350,94530
2022-02-08,91.74,97.19,87.99,97.19,85092,94235
2022-02-09,91.05,94.42,90.01,92.93,21052,91948
2022-02-10,88.53,93.92,87.74,91.0,48277,90583
2022-02-11,88.78,90.51,87.15,90.01,32763,88776
2022-02-14,84.38,89.02,84.38,89.02,43757,87369
2022-02-15,82.84,87.84,80.17,84.38,44164,86019
2022-02-16,78.84,86.7,78.74,81.11,30403,84281
2022-02-17,82.64,82.74,74.93,79.33,34665,82731
2022-02-18,82.64,84.08,79.18,83.09,12234,80528
2022-02-21,82.05,86.75,78.54,83.93,25458,78807
2022-02-22,78.0,79.13,78.0,78.14,10948,76686
2022-02-23,76.07,81.61,75.28,80.96,12671,74686
2022-02-24,72.31,74.19,72.31,74.19,14732,72812
2022-02-25,73.1,74.14,68.85,72.06,25573,71336
2022-02-28,71.66,72.11,69.69,72.11,11746,69474
2022-03-02,70.28,71.22,68.3,70.33,14861,67767
2022-03-03,70.72,71.57,68.75,71.57,5351,65816
2022-03-04,69.14,73.2,68.35,71.52,5917,63945
2022-03-07,66.03,69.14,65.78,69.14,10782,62283
2022-03-08,65.68,67.26,63.45,65.78,22178,61030
2022-03-09,66.72,68.94,66.37,67.07,22399,59823
2022-03-10,70.03,70.03,66.77,70.03,10966,58296
2022-03-11,70.87,73.4,67.31,73.2,18459,57051
2022-03-14,69.39,74.29,68.75,74.29,16734,55791
2022-03-15,70.72,72.85,69.24,72.65,14429,54498
2022-03-16,69.39,73.2,68.35,73.2,11292,53148
2022-03-17,69.79,71.86,69.29,69.29,12511,51878
2022-03-21,66.32,69.79,66.32,69.79,36057,51384
2022-03-22,64.1,67.26,63.01,64.34,31400,50759
2022-03-23,67.26,67.26,63.01,64.99,42901,50514
2022-03-24,70.63,70.63,67.11,67.21,28733,49833
2022-03-25,74.14,74.14,74.14,74.14,9253,48565
2022-03-28,74.04,77.8,71.27,77.8,33992,48110
2022-03-29,72.01,77.7,70.63,74.04,45771,48036
2022-03-30,72.55,75.13,72.01,75.13,26527,47364
2022-03-31,70.43,75.13,69.34,75.13,36463,47024
2022-04-01,67.91,70.92,67.02,69.54,88158,48309
2022-04-04,71.27,71.27,66.87,69.09,37017,47956
2022-04-05,74.83,74.83,71.12,71.12,30538,47412
2022-04-06,78.54,78.54,78.14,78.49,23612,46668
2022-04-07,79.78,85.91,78.14,85.81,37125,46370
2022-04-08,79.48,81.36,76.96,79.78,28551,45813
2022-04-11,79.03,81.11,78.29,81.11,13245,44795
2022-04-12,75.97,81.01,74.19,81.01,28230,44278
2022-04-13,76.56,78.89,76.17,78.69,10248,43214
2022-04-18,74.68,78.93,72.26,76.56,31444,42846
2022-04-19,77.75,82.1,73.74,76.91,67042,43602
2022-04-20,76.71,82.1,75.82,79.92,17427,42784
2022-04-21,78.74,80.62,77.15,79.97,25892,42256
2022-04-22,76.96,80.91,75.87,80.91,22446,41637
2022-04-25,72.8,77.7,72.21,74.24,39705,41577
2022-04-26,72.31,76.07,71.12,74.83,35958,41401
2022-04-27,69.14,72.65,67.26,70.87,49770,41663
2022-04-28,68.25,71.66,67.46,70.13,19873,40982
2022-04-29,69.19,71.62,67.71,68.25,11637,40065
2022-05-02,68.4,70.23,67.71,70.23,6770,39024
2022-05-04,65.78,71.42,65.24,70.92,24403,38567
2022-05-05,65.48,69.04,64.49,67.56,19771,37980
2022-05-06,65.38,66.92,63.7,65.48,13042,37201
2022-05-09,65.78,68.15,64.34,64.34,10008,36351
2022-05-10,66.03,67.66,64.79,67.36,8109,35468
2022-05-11,60.83,71.66,59.45,71.66,23367,35090
