Date,Close,High,Low,Open,Volume,EMA_63_Volume
2024-10-14,350.68,357.99,346.4,352.62,41821,41821
2024-10-15,355.9,363.86,344.71,348.09,85516,43186
2024-10-16,370.82,372.96,351.03,353.71,198575,48042
2024-10-17,371.27,382.9,368.68,377.93,158171,51483
2024-10-18,374.2,382.9,358.39,372.96,128386,53887
2024-10-21,364.85,379.22,361.52,375.74,51915,53825
2024-10-22,353.91,376.44,350.58,364.85,92705,55040
2024-10-23,351.62,366.99,338.2,340.73,34282,54391
2024-10-24,341.53,352.37,338.15,352.17,19992,53316
2024-10-25,326.06,350.53,322.24,343.02,37639,52826
2024-10-28,340.83,357.99,326.86,326.86,54041,52864
2024-10-29,346.85,350.38,341.18,341.23,16040,51713
2024-10-31,376.89,379.92,359.33,360.67,73156,52384
2024-11-01,381.91,385.89,376.89,380.62,29574,51671
2024-11-04,372.66,395.78,365.0,379.92,109688,53484
2024-11-06,388.07,396.83,382.7,384.79,119062,55533
2024-11-07,395.73,397.77,377.08,389.07,165729,58977
2024-11-08,373.11,396.98,370.12,396.98,52869,58786
2024-11-11,374.3,382.31,367.49,375.94,35464,58057
2024-11-12,364.95,375.79,360.67,375.2,19878,56864
2024-11-13,345.51,365.0,337.8,364.95,33398,56131
2024-11-14,376.94,382.31,360.28,362.96,199671,60616
2024-11-18,378.33,388.27,365.0,378.78,132975,62877
2024-11-19,377.98,391.85,373.01,375.0,55444,62645
2024-11-21,372.41,379.47,362.12,379.47,38025,61876
2024-11-22,370.22,377.38,366.1,373.45,21683,60620
2024-11-25,374.65,380.91,371.76,376.94,17465,59271
2024-11-26,379.17,387.78,371.52,376.34,56572,59187
2024-11-27,411.89,416.62,380.86,380.86,407805,70081
2024-11-28,412.94,421.69,404.78,413.63,200371,74153
2024-11-29,419.85,423.58,407.17,412.84,147495,76444
2024-12-02,451.83,473.31,425.87,427.76,953357,103848
2024-12-03,446.75,464.46,438.6,453.96,163766,105720
2024-12-04,443.22,462.47,438.6,447.05,261287,110582
2024-12-05,450.33,460.48,440.09,442.97,123056,110972
2024-12-06,458.59,477.39,445.56,450.33,218641,114336
2024-12-09,456.65,474.05,454.61,467.44,141198,115176
2024-12-10,462.67,470.22,448.69,459.33,124347,115462
2024-12-11,464.75,477.29,458.59,460.48,160031,116855
2024-12-12,465.0,489.32,460.68,469.23,338587,123784
2024-12-13,462.52,468.73,448.74,463.76,109343,123333
2024-12-16,468.68,474.4,463.01,465.25,60771,121378
2024-12-17,460.68,471.72,458.49,469.23,47320,119063
2024-12-18,455.85,463.26,445.61,463.26,57390,117136
2024-12-19,452.52,462.47,448.59,455.51,44187,114856
2024-12-20,425.87,455.6,419.2,451.83,87599,114005
2024-12-23,412.39,431.14,404.44,428.65,114843,114031
2024-12-24,418.76,426.61,411.35,412.39,36775,111617
2024-12-26,399.46,422.69,393.69,421.69,62708,110088
2024-12-27,397.87,404.24,391.56,399.76,33914,107708
2024-12-30,385.54,397.32,383.05,395.29,34031,105405
2024-12-31,412.14,419.6,382.01,382.01,139198,106461
2025-01-01,418.31,421.69,408.02,408.02,42804,104472
2025-01-02,414.48,422.09,404.34,418.81,30695,102166
2025-01-03,439.19,444.91,412.84,412.84,139526,103334
2025-01-06,408.56,441.58,401.05,441.28,82942,102697
2025-01-07,434.17,437.55,411.05,411.05,69971,101674
2025-01-08,418.21,435.37,404.83,434.62,74478,100824
2025-01-09,409.01,424.48,408.02,418.41,27100,98520
2025-01-10,391.95,412.69,387.83,409.01,57749,97246
2025-01-13,370.62,396.18,354.66,395.78,86076,96897
2025-01-14,380.32,387.63,366.1,376.39,49142,95405
2025-01-15,379.22,389.67,368.23,376.94,32911,93452
2025-01-16,394.39,399.81,379.22,379.22,25933,91342
2025-01-17,386.88,398.27,381.91,394.44,38120,89679
2025-01-20,371.47,387.88,369.73,383.5,48580,88394
2025-01-21,354.51,374.9,353.07,374.85,50560,87212
2025-01-22,355.16,359.73,336.11,359.73,64687,86508
2025-01-23,350.33,366.44,348.14,354.76,24746,84578
2025-01-24,338.99,355.06,338.15,351.77,28370,82821
2025-01-27,316.91,340.88,314.53,339.64,46166,81676
2025-01-28,315.27,328.2,298.96,321.39,42801,80461
2025-01-29,327.8,334.12,317.01,319.25,27150,78795
2025-01-30,324.82,337.55,319.25,327.21,33278,77373
2025-01-31,339.19,341.48,321.64,324.12,30489,75907
2025-02-01,336.9,362.02,333.18,339.09,58395,75360
2025-02-03,316.12,341.78,313.78,337.6,41789,74311
2025-02-04,324.82,329.5,313.18,320.89,31362,72969
2025-02-05,330.09,334.77,326.01,328.2,14115,71130
2025-02-06,331.34,333.47,324.17,330.34,13365,69325
2025-02-07,311.3,334.67,306.57,331.68,44758,68557
2025-02-10,311.89,322.09,305.33,310.3,31515,67399
2025-02-11,299.86,311.99,295.38,311.99,27848,66163
2025-02-12,293.44,302.84,273.5,299.96,67221,66196
2025-02-13,282.95,299.36,276.98,289.02,39437,65360
2025-02-14,284.69,288.47,254.66,287.18,87450,66050
2025-02-17,281.66,291.75,273.15,277.53,55144,65709
2025-02-18,257.59,283.45,254.61,279.47,43044,65001
2025-02-19,275.54,281.91,255.75,257.44,67340,65074
2025-02-20,277.23,287.38,274.25,277.48,34883,64131
2025-02-21,255.85,283.45,252.72,277.78,86759,64838
2025-02-24,254.61,261.57,251.52,255.85,52732,64460
