Date,Close,High,Low,Open,Volume,EMA_63_Volume
2023-08-10,35.77,38.6,35.77,37.61,2438071,2438071
2023-08-11,33.99,33.99,33.99,33.99,422933,2375097
2023-08-14,32.31,32.31,32.31,32.31,155723,2305742
2023-08-16,30.73,30.73,30.73,30.73,22953,2234405
2023-08-17,29.19,29.19,29.19,29.19,62087,2166520
2023-08-18,29.99,30.63,27.76,27.76,3799553,2217552
2023-08-21,28.5,30.38,28.5,29.29,1983746,2210246
2023-08-22,29.54,29.89,27.12,27.12,2324277,2213809
2023-08-23,30.33,30.58,29.19,29.69,1265846,2184185
2023-08-24,31.32,31.82,30.58,31.67,1042540,2148509
2023-08-25,35.33,37.11,32.46,32.46,3557704,2192546
2023-08-28,37.61,39.49,35.68,35.68,3060543,2219671
2023-08-29,38.55,39.29,36.76,38.2,1536432,2198320
2023-08-30,36.42,38.1,35.77,38.1,1081682,2163425
2023-08-31,34.29,36.96,32.76,36.42,890273,2123639
2023-09-01,33.15,35.18,32.76,34.39,749114,2080685
2023-09-04,34.54,36.02,33.2,33.2,699217,2037514
2023-09-05,33.0,35.08,32.51,34.64,690016,1995405
2023-09-06,37.61,38.89,32.76,32.76,3463967,2041297
2023-09-07,39.44,41.51,36.81,37.85,3898242,2099327
2023-09-08,44.09,45.52,39.88,39.88,9368888,2326501
2023-09-11,43.99,48.15,43.15,45.03,8809571,2529096
2023-09-12,40.72,44.73,39.58,44.43,2724710,2535209
2023-09-13,43.0,43.54,39.04,40.72,1763355,2511089
2023-09-14,41.86,44.58,41.42,43.3,1347576,2474729
2023-09-15,41.76,42.9,41.17,41.86,941091,2426803
2023-09-18,41.07,42.5,40.28,41.66,883068,2378561
2023-09-20,41.22,43.64,40.08,40.92,1661801,2356162
2023-09-21,41.96,43.3,41.61,42.06,1050140,2315349
2023-09-22,41.71,42.65,41.32,42.45,362470,2254322
2023-09-25,42.41,43.99,41.71,42.11,753226,2207412
2023-09-26,41.37,42.9,41.12,42.5,443824,2152300
2023-09-27,40.87,41.86,39.83,41.27,457352,2099333
2023-09-28,42.45,43.64,40.67,41.02,1496390,2080491
2023-09-29,43.05,45.47,42.5,42.85,1449643,2060777
2023-10-03,42.21,43.74,42.06,43.05,411939,2009251
2023-10-04,42.26,42.95,41.07,42.06,380027,1958338
2023-10-05,41.12,42.65,40.48,42.26,959296,1927118
2023-10-06,42.41,42.55,41.27,41.56,701298,1888811
