Date,Close,High,Low,Open,Volume,EMA_63_Volume
2021-09-30,179.0,181.65,176.42,177.15,161980,161980
2021-10-01,172.72,179.89,171.57,176.45,293000,166074
2021-10-04,171.34,175.74,141.63,173.4,174432,166335
2021-10-05,184.81,186.48,172.39,172.46,1130694,196471
2021-10-06,182.14,184.39,181.09,184.04,300382,199718
2021-10-07,188.96,196.36,183.71,183.71,998984,224695
2021-10-08,191.79,199.6,189.45,189.8,820110,243302
2021-10-11,189.47,201.52,188.42,193.93,790220,260393
2021-10-12,185.87,192.01,185.19,191.56,228884,259409
2021-10-13,182.19,190.18,179.05,186.85,649196,271589
2021-10-14,180.45,185.02,179.21,184.88,212256,269735
2021-10-18,178.63,186.99,177.69,181.04,480260,276314
2021-10-19,177.15,186.38,174.34,179.96,488824,282955
2021-10-20,178.95,182.14,176.26,180.41,1105032,308645
2021-10-21,177.95,182.14,176.35,179.63,224856,306027
2021-10-22,175.88,181.41,172.23,179.96,222748,303424
2021-10-25,178.11,180.43,164.99,179.49,374436,305643
2021-10-26,178.2,181.84,174.74,177.62,244060,303719
2021-10-27,175.74,179.12,173.89,176.68,194898,300318
2021-10-28,176.4,181.44,173.89,176.63,322454,301010
2021-10-29,175.32,179.45,171.9,176.33,398964,304071
2021-11-01,177.83,181.84,172.42,178.53,450228,308638
2021-11-02,186.69,201.14,184.88,187.74,4112396,427506
2021-11-03,200.42,203.25,183.01,187.93,3021598,508571
2021-11-04,205.64,207.56,201.52,201.99,515612,508791
2021-11-08,234.91,243.7,206.04,206.21,4696688,639663
2021-11-09,241.47,247.84,226.19,231.37,4475342,759528
2021-11-10,238.94,242.55,232.71,240.42,743758,759035
2021-11-11,245.67,250.63,231.68,239.01,955246,765167
2021-11-12,228.18,247.45,223.71,246.02,678546,762460
2021-11-15,223.26,232.38,220.73,228.18,276968,747288
2021-11-16,219.84,231.04,218.39,224.46,288790,732960
2021-11-17,215.55,228.89,214.66,219.8,359134,721278
2021-11-18,213.56,220.9,202.17,216.89,435026,712332
2021-11-22,201.24,220.1,198.5,214.88,496818,705598
2021-11-23,216.21,217.92,200.58,200.58,552432,700811
2021-11-24,214.95,221.2,211.88,218.39,264934,687190
2021-11-25,228.86,233.86,217.97,227.29,836330,691851
2021-11-26,218.25,230.72,216.09,228.86,437946,683916
2021-11-29,206.35,215.6,201.57,212.3,243348,670148
2021-11-30,213.02,221.41,206.35,206.35,243694,656822
2021-12-01,220.87,224.95,215.58,219.8,263954,644544
2021-12-02,224.74,225.89,220.97,221.2,171502,629762
2021-12-03,221.41,227.93,220.31,223.55,130396,614157
2021-12-06,212.34,223.76,210.89,221.2,144918,599493
2021-12-07,214.01,228.7,212.77,217.48,911716,609250
2021-12-08,215.98,217.71,212.7,215.58,186742,596047
2021-12-09,217.08,222.14,215.84,218.69,154438,582246
2021-12-10,214.97,220.05,213.91,218.39,141694,568479
2021-12-13,217.41,220.17,208.55,216.89,198680,556923
2021-12-14,217.34,221.67,216.14,218.62,172438,544908
2021-12-15,212.84,219.77,211.69,218.86,121214,531667
2021-12-16,211.34,216.98,207.47,214.83,140048,519429
2021-12-17,206.77,212.98,204.78,212.98,92358,506083
2021-12-20,192.52,204.33,189.83,204.33,209572,496817
2021-12-21,203.32,204.8,192.52,192.52,94618,484248
2021-12-22,203.39,209.93,201.75,207.61,61454,471036
2021-12-23,216.54,217.92,204.28,204.71,347608,467179
2021-12-24,210.26,227.29,204.33,227.29,453034,466737
2021-12-27,203.79,210.17,201.75,210.17,254164,460094
2021-12-28,207.0,208.55,204.56,204.8,181092,451375
2021-12-29,202.83,209.49,202.15,206.67,170276,442591
