Date,Close,High,Low,Open,Volume,EMA_63_Volume
2024-09-24,159.44,177.0,158.51,171.0,16765947,16765947
2024-09-25,166.41,167.68,158.45,159.01,5714186,16420579
2024-09-26,162.3,167.84,161.1,167.7,1499196,15954286
2024-09-27,160.59,163.6,159.36,162.6,881097,15483249
2024-09-30,155.02,160.53,153.6,160.0,1233102,15037931
2024-10-01,152.02,157.78,151.39,155.89,659380,14588602
2024-10-03,151.12,154.19,145.87,148.89,869517,14159880
2024-10-04,148.03,154.99,146.91,152.1,691544,13738995
2024-10-07,144.79,151.89,140.89,151.89,541799,13326582
2024-10-08,145.13,147.68,142.01,144.4,358034,12921315
2024-10-09,152.28,156.15,145.7,146.9,744722,12540797
2024-10-10,149.94,154.88,148.59,152.28,503760,12164639
2024-10-11,154.38,157.7,148.9,150.84,742276,11807690
2024-10-14,150.95,155.99,150.1,155.0,426365,11452024
2024-10-15,151.78,153.5,149.55,152.24,345486,11104945
2024-10-16,148.83,153.51,148.24,151.8,288721,10766938
2024-10-17,145.33,150.0,145.0,150.0,202789,10436808
2024-10-18,148.69,154.44,146.31,148.0,473648,10125459
2024-10-21,143.73,149.69,143.0,148.5,299021,9818383
2024-10-22,136.86,144.49,136.25,143.84,304219,9521065
2024-10-23,136.42,139.38,133.7,138.48,238137,9230974
2024-10-24,132.8,137.95,132.57,137.95,218790,8949343
2024-10-25,127.17,134.43,125.0,132.92,318929,8679643
2024-10-28,124.52,129.43,124.01,127.93,411316,8421257
2024-10-29,125.93,126.88,123.5,124.52,215755,8164835
2024-10-30,126.46,128.9,125.5,126.42,353998,7920747
2024-10-31,128.65,132.0,125.24,126.46,304568,7682741
2024-11-01,132.3,132.65,129.8,129.9,109253,7446070
2024-11-04,128.44,134.43,127.56,132.9,242186,7220948
2024-11-05,127.94,129.83,127.55,129.44,204446,7001683
2024-11-06,137.86,139.0,128.8,129.59,863047,6809850
2024-11-07,136.14,139.8,135.5,137.88,301935,6606478
2024-11-08,132.18,136.23,130.34,135.5,259913,6408148
2024-11-11,129.28,133.71,129.0,132.29,193284,6213933
2024-11-12,126.76,130.97,125.73,130.37,210484,6026325
2024-11-13,121.43,127.44,121.0,125.64,353290,5849043
2024-11-14,119.1,122.89,118.24,121.43,302513,5675714
2024-11-18,119.47,122.85,118.09,120.0,197951,5504534
2024-11-19,119.82,122.55,119.0,120.05,246294,5340214
2024-11-21,116.76,120.03,116.2,119.82,161357,5178374
2024-11-22,118.62,119.25,116.61,117.01,129850,5020608
2024-11-25,119.37,124.3,119.0,122.0,181758,4869394
2024-11-26,117.4,120.29,116.8,119.5,516515,4733367
2024-11-27,123.3,126.5,117.1,117.45,713915,4607759
2024-11-28,124.96,127.0,123.62,124.9,348194,4474647
2024-11-29,127.36,128.6,123.62,125.89,377387,4346608
2024-12-02,129.57,129.95,125.52,127.54,234109,4218092
2024-12-03,130.99,133.1,130.0,130.6,265594,4094577
2024-12-04,129.49,133.19,128.5,131.81,235782,3973989
2024-12-05,130.27,131.45,129.91,130.25,140976,3854208
2024-12-06,134.3,139.0,130.05,130.45,668715,3754661
