Date,Promoter,Public
2026-03-31,68.02,31.98
2025-12-31,68.02,31.98
2025-12-23,68.02,31.98
2025-09-30,65.89,34.11
2025-06-30,65.89,34.11
2025-03-31,65.89,34.11
2024-12-31,65.89,34.11
2024-09-30,65.89,34.11
2024-06-30,65.89,34.11
2024-03-31,65.89,34.11
2023-12-31,65.89,34.11
2023-09-30,65.53,34.47
2023-06-30,62.89,37.11
2023-03-31,61.03,38.97
2022-12-31,65.13,34.87
2022-10-19,64.56,35.44
2022-09-30,66.02,33.98
2022-06-30,66.02,33.98
2022-03-31,65.55,34.45
2022-02-21,65.04,34.96
2021-12-31,63.83,36.17
2021-09-30,63.83,36.17
2021-06-30,63.79,36.21
2021-03-31,63.74,36.26
2020-12-31,63.74,36.26
2020-09-30,63.65,36.35
2020-03-31,62.79,37.21
