Date,Promoter,Public
2026-03-31,40.28,59.72
2025-12-31,40.49,59.51
2025-11-12,41.52,58.48
2025-09-30,63.28,36.72
2025-06-30,63.28,36.72
2025-03-31,63.28,36.72
2024-12-31,63.28,36.72
2024-09-30,63.37,36.63
2024-06-30,63.66,36.34
2024-03-31,69.92,30.08
2024-01-04,69.92,30.08
2023-12-31,69.92,30.08
2023-09-30,69.92,30.08
2023-06-30,69.92,30.08
2023-03-31,69.92,30.08
2022-12-31,69.92,30.08
2022-09-30,69.92,30.08
2022-06-30,69.92,30.08
2022-03-31,69.92,30.08
2021-12-31,69.92,30.08
2021-09-30,69.95,30.05
2021-06-30,70.01,29.99
2021-03-31,70.01,29.99
2020-12-31,70.01,29.99
2020-09-30,70.01,29.99
2020-06-30,70.01,29.99
2020-03-31,70.01,29.99
