Date,Promoter,Public
2026-03-31,51.98,48.02
2025-12-31,51.98,48.02
2025-11-26,52.41,47.59
2025-09-30,50.33,49.67
2025-06-30,50.65,49.35
2025-06-02,50.65,49.35
2025-03-31,55.12,44.88
2024-12-31,55.12,44.88
2024-09-30,55.12,44.88
2024-06-30,55.12,44.88
2024-06-03,55.12,44.88
2024-05-03,55.8,44.2
2024-03-31,53.21,46.79
2023-12-31,53.21,46.79
2023-11-23,53.78,46.22
2023-10-04,57.35,42.65
2023-09-30,52.67,47.33
2023-06-30,59.1,40.9
2023-05-29,53.21,46.79
2023-05-23,53.21,46.79
2023-03-31,59.1,40.9
2022-12-31,59.1,40.9
2022-09-30,59.1,40.9
2022-06-30,59.1,40.9
2022-03-31,59.1,40.9
2021-12-31,59.1,40.9
2021-09-30,59.1,40.9
2021-06-30,59.1,40.9
2021-03-31,59.1,40.9
2020-12-31,63.92,36.06
2020-09-30,63.92,36.06
2020-06-30,63.92,36.06
2020-03-31,63.92,36.06
