Date,Promoter,Public
2026-03-31,64.46,35.54
2025-12-31,64.46,35.54
2025-09-30,64.46,35.54
2025-06-30,64.46,35.54
2025-03-31,64.46,35.54
2024-12-31,64.46,35.54
2024-09-30,64.46,35.54
2024-06-30,64.46,35.54
2024-03-31,64.46,35.54
2023-12-31,64.46,35.54
2023-09-30,64.46,35.54
2023-06-30,64.46,35.54
2023-03-31,64.46,35.55
2022-12-31,64.46,35.54
2022-09-30,64.46,35.54
2022-06-30,64.46,35.54
2022-03-31,64.46,35.52
2021-12-31,64.46,35.53
2021-09-30,64.46,35.54
2021-06-30,64.46,35.55
2021-03-31,64.46,35.54
2020-12-31,64.46,35.55
2020-09-30,64.46,35.54
2020-06-30,64.46,35.55
2020-03-31,64.46,35.54
