Date,Promoter,Public
2026-03-31,6.54,93.46
2025-12-31,6.54,93.46
2025-09-30,6.54,93.46
2025-06-30,6.54,93.46
2025-03-31,6.54,93.46
2024-12-31,6.54,93.46
2024-09-30,6.54,93.46
2024-06-30,6.54,93.46
2024-03-31,6.54,93.46
2023-12-31,6.54,93.46
2023-09-30,6.54,93.46
2023-06-30,6.54,93.46
2023-05-05,6.54,93.46
2023-03-31,7.17,92.83
2022-12-31,8.27,91.73
2022-09-30,8.28,91.72
2022-06-30,8.46,91.54
2022-03-31,8.71,91.29
2021-12-31,8.71,91.29
2021-09-30,8.71,91.29
2021-06-30,8.87,91.13
2021-03-31,8.98,91.02
2020-12-31,9.8,90.2
2020-09-30,10.03,89.97
2020-06-30,10.05,89.95
2020-03-31,10.05,89.95
