Date,Promoter,Public
2026-03-31,74.67,25.33
2025-12-31,74.67,25.33
2025-09-30,74.67,25.33
2025-06-30,74.67,25.33
2025-03-31,74.67,25.33
2024-12-31,74.67,25.33
2024-09-30,74.67,25.33
2024-06-30,73.33,26.67
2024-03-31,72.18,27.82
2023-12-31,71.96,28.04
2023-09-30,71.93,28.07
2023-06-30,71.93,28.07
2023-03-31,71.92,28.08
2022-12-31,71.82,28.18
2022-09-30,63.3,36.7
2022-06-30,63.3,36.7
2022-03-31,63.24,36.76
2021-12-31,62.66,37.34
2021-09-30,62.49,37.51
2021-06-30,62.27,37.73
2021-03-31,62.27,37.73
2020-12-31,62.27,37.73
2020-09-30,62.27,37.73
2020-06-30,62.27,37.73
2020-03-31,62.27,37.73
