Date,Promoter,Public
2026-03-31,51.2,48.8
2025-12-31,51.2,48.8
2025-09-30,52.51,47.49
2025-06-30,52.51,47.49
2025-03-31,52.51,47.49
2024-12-31,51.88,48.12
2024-11-16,52.38,47.62
2024-11-14,52.38,47.62
2024-09-30,51.54,48.46
2024-09-21,52.62,47.38
2024-06-30,52.76,47.24
2024-03-31,52.76,47.24
2024-02-27,52.78,47.22
2024-02-22,54.11,45.89
2023-12-31,61.22,38.78
2023-09-30,61.22,38.78
2023-06-30,61.22,38.78
2023-03-31,61.22,38.78
2022-09-30,61.22,38.78
2022-03-31,61.22,38.76
2021-09-30,61.22,38.77
2021-03-31,61.22,38.77
2020-09-30,61.21,38.78
2020-08-29,61.21,38.78
2020-03-31,69.99,30.01
