Date,Promoter,Public
2026-03-31,58.05,41.95
2025-12-31,58.05,41.95
2025-09-30,58.08,41.92
2025-06-30,58.2,41.8
2025-03-31,59.49,40.51
2024-12-31,59.56,40.44
2024-09-30,59.86,40.14
2024-06-30,60.27,39.73
2024-03-31,60.3,39.7
2024-01-15,60.51,39.49
2023-12-31,65.74,34.26
2023-09-30,65.74,34.26
2023-06-30,66.18,33.82
2023-03-31,66.18,33.82
2022-12-31,66.18,33.82
2022-09-30,66.53,33.47
2022-06-30,66.53,33.47
2022-03-31,67.67,32.33
2021-12-31,67.95,32.05
2021-09-30,67.95,32.05
2021-06-30,67.95,32.05
2021-03-31,67.95,32.05
2020-12-31,67.95,32.06
2020-09-30,67.95,32.05
2020-06-30,67.95,32.05
2020-03-31,67.95,32.05
