Date,Promoter,Public
2026-03-31,33.65,66.35
2025-12-31,33.65,66.35
2025-09-30,33.65,66.35
2025-06-30,33.65,66.35
2025-03-31,33.69,66.31
2024-12-31,33.69,66.31
2024-09-30,33.69,66.31
2024-06-30,33.69,66.31
2024-03-31,33.72,66.28
2023-12-31,33.72,66.28
2023-09-30,33.86,66.14
2023-06-30,33.86,66.14
2023-03-31,33.86,66.14
2022-12-31,33.86,66.14
2022-09-30,33.45,66.55
2022-06-30,33.45,66.55
2022-03-31,33.45,66.55
2021-12-31,33.45,66.55
2021-09-30,33.45,66.55
2021-06-30,33.45,66.55
2021-03-31,33.45,66.55
2020-12-31,33.45,66.55
2020-09-30,33.45,66.55
2020-06-30,33.45,66.55
2020-03-31,33.45,66.55
