Date,Promoter,Public
2026-03-31,46.88,53.12
2025-12-31,46.89,53.11
2025-09-30,46.99,53.01
2025-06-30,51.52,48.48
2025-03-31,51.52,48.48
2025-03-13,51.52,48.48
2024-12-31,58.75,41.25
2024-09-30,58.75,41.25
2024-06-30,58.75,41.25
2024-03-31,58.79,41.21
2023-12-31,58.79,41.21
2023-09-30,58.8,41.2
2023-06-30,58.8,41.2
2023-03-31,58.8,41.2
2022-12-31,58.8,41.2
2022-09-30,58.8,41.2
2022-06-30,58.8,41.2
2022-03-31,58.8,41.2
2021-12-31,58.8,41.2
2021-09-30,58.8,41.2
2021-06-30,58.8,41.2
2021-03-31,58.8,41.2
2020-12-31,58.8,41.2
2020-09-30,58.8,41.2
2020-06-30,58.8,41.2
2020-03-31,58.8,41.2
